ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,.33335988,.0000000,1,3,-329.22317,.0000000,.0000000,.0000000,.0000000
3,0,.40001593,.0000000,1,2,-324.07420,-1.2607762,-1.3206439,.65458513,-1.8471243
2,0,.37500996,.0000000,2,3,-306.72943,-3.5147151,-2.0850561,.55949039,-1.7869557
3,0,.44445329,.0000000,3,1,-274.33813,-3.3428159,-.96631178,2.0484745,-.59707290
1,0,.50000796,.0000000,4,1,-255.66814,-1.8852471,.77822537,2.7485396,-.29004484
1,0,.54546179,.0000000,5,1,-250.77471,-2.1270205,1.3469578,1.9774470,-1.3013560
1,0,.53847136,.0000000,6,2,-245.97982,-3.4724670,4.1365442,1.4154379,-2.0468473
2,0,.57143770,.0000000,7,1,-194.56195,-3.7036618,4.5412043,2.6257656,-3.2366298
1,0,.52946839,.75189960,8,3,-183.97659,-3.4349355,5.0883740,3.1222052,-3.0981088
3,0,.45474295,.0000000,9,5,-163.93061,-3.6753050,6.7941220,4.2868793,-2.6117757
2,0,.47844978,.0000000,10,1,-162.67458,-5.4283655,3.9239714,4.6219014,-2.2704100
1,0,.41394293,.0000000,10,6,-153.87470,-7.0578443,2.5687725,5.5809563,-3.6355333
3,0,.43347817,.0000000,12,1,-139.23900,-6.7923195,3.5619863,6.1208969,-3.8096719
1,0,.43763578,.44967181,13,2,-104.33372,-7.7254805,6.7298169,6.8251054,-4.2097037
2,0,.35724631,.0000000,14,10,-79.136589,-8.7528568,10.138226,8.5122673,-5.4458971
1,0,.37219407,.0000000,15,1,-56.109575,-10.980514,12.753399,11.557537,-6.1138769
1,0,.33847284,.0000000,16,8,-52.166194,-9.3290814,15.739559,12.601828,-6.1294303
2,0,.32040807,.0000000,17,6,-40.399151,-10.297167,11.520466,11.837046,-6.1026547
3,0,.33212518,.0000000,18,1,-38.570646,-11.850837,10.917168,13.214239,-6.4226262
1,0,.32682678,.0000000,18,4,-37.643501,-10.436889,13.661955,13.130933,-5.1737267
1,0,.33253094,.54111546,18,2,-33.604214,-7.0115587,14.066982,12.360707,-4.6451531
2,0,.31872124,.0000000,21,5,-33.947052,-6.6936087,14.830368,12.420754,-5.2998740
2,0,.30655701,.0000000,21,6,-31.729080,-7.3997072,13.679324,12.500775,-5.4913131
3,0,.30761627,.0000000,21,3,-30.666698,-8.2529637,19.426009,17.180729,-6.7968192
3,0,.21407059,.0000000,21,40,-27.647677,-5.4853432,17.375228,15.608858,-5.1789239
1,0,.21702752,.0000000,24,3,-24.753867,-5.5409633,17.869640,15.154929,-4.4936247
3,0,.19409631,.65448019,25,19,-24.853465,-8.5676290,19.283972,18.287439,-5.7829363
