ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,1.0000000,.0000000,1,1,-50.246916,.0000000,.0000000,.0000000
1,0,.31402324,.0000000,1,6,-22.191301,-2.2007287,-1.5059147,2.6058203
1,0,.32041674,.0000000,2,3,-21.321162,-2.7971107,-1.3274546,2.2645653
1,0,.32526337,.63392812,2,4,-14.676731,-.73179941,1.2410352,1.0411748
1,0,.37024581,.0000000,4,1,-12.543317,-.51113532,1.7703491,.46221118
1,0,.36409563,.0000000,5,3,-8.1053138,.37538352,2.1491032,.33763940
1,0,.15751068,.18155160,6,33,-5.5367637,1.2335464,1.5782421,-.48679264
1,0,.11144076,.0000000,7,27,-5.9586445,1.4059460,1.5276523,-.80792746
1,0,.86453122E-01,.0000000,7,45,-2.8590012,1.4249843,1.8319132,-.77420169
1,0,.67767343E-01,.39647887,9,52,-2.6755268,.97486079,2.1082163,-.61071463
1,0,.56370396E-01,.0000000,9,56,-4.2269535,.46175127,2.3244250,-.47535268
1,0,.53577773E-01,.0000000,9,47,-2.6696650,.82724718,2.2745967,-.75437939
1,0,.51932945E-01,.27910695,9,13,-4.4937361,.80016304,1.8925274,-.61239046
1,0,.50091102E-01,.0000000,9,39,-2.8487771,.72546523,2.3272384,-.79151349
1,0,.51479811E-01,.0000000,9,14,-2.0915796,1.1465238,2.0931424,-.90716492
1,0,.52358250E-01,.60498691E-01,9,11,-2.2278651,.69893486,2.2296205,-.92684812
1,0,.53275870E-01,.0000000,9,2,-3.0670068,.57991692,2.3456144,-.85712797
1,0,.53034800E-01,.0000000,9,22,-2.5557610,.70800373,2.3144976,-.94629193
1,0,.50662797E-01,.60320672E-01,9,46,-3.3210158,.55167481,2.3588465,-1.0043656
1,0,.49742354E-01,.0000000,9,28,-2.4808821,.77747010,2.2028448,-1.4658025
1,0,.50760250E-01,.0000000,9,2,-3.0583239,1.2370184,2.0266425,-1.4556771
1,0,.49174261E-01,.18179276,9,39,-1.3571460,1.0542051,1.9667059,-1.0519325
1,0,.49736092E-01,.0000000,9,3,-2.2508747,.84382259,2.2700399,-1.0235269
1,0,.49923736E-01,.0000000,9,21,-1.5852551,.90653330,2.1733072,-.97730205
1,0,.47495457E-01,.45427822E-01,9,36,-3.3745739,.52035367,2.3248355,-.75691558
1,0,.50229337E-01,.0000000,9,15,-2.6939121,1.3207929,1.8711874,-.69971080
1,0,.50494425E-01,.0000000,9,1,-4.2967242,.83225360,2.1069484,-.28846750
1,0,.49941782E-01,.33300484E-01,9,18,-5.1374427,.91280335,1.7927035,-.37670640
1,0,.51425053E-01,.0000000,9,6,-4.0043319,1.0784912,1.8587525,-.40187729
1,0,.51876604E-01,.0000000,9,2,-4.9932624,1.5123797,1.6950991,-.24022808
1,0,.52518351E-01,.44626013E-01,9,10,-6.7407752,1.7798621,1.9208523,-.54042683E-01
1,0,.53731209E-01,.0000000,9,5,-6.5034391,1.9648874,1.5476179,-.87464676E-01
1,0,.54459714E-01,.0000000,9,3,-7.1417500,1.9732384,1.3974453,.61481132E-01
1,0,.56141994E-01,.0000000,9,5,-6.0301810,1.7412726,1.5036661,-.13250302
1,0,.57664345E-01,.0000000,9,1,-5.3364986,1.3900221,2.1086201,-.25404712
1,0,.58608051E-01,.85524832E-01,9,6,-5.6592542,1.2190804,1.6601265,-.15851171
1,0,.60097961E-01,.0000000,9,4,-6.0371459,1.0901516,2.3992470,-.66267770
1,0,.61557284E-01,.0000000,9,3,-3.7803054,.90149052,2.2678352,-.45591726
1,0,.62660891E-01,.52769202E-02,9,7,-3.7281628,1.2634786,1.9511765,-.41519259
1,0,.62942113E-01,.0000000,9,4,-5.1051897,.91539439,1.8295119,-.28752152
1,0,.64224278E-01,.0000000,9,7,-4.9530739,.65170230,2.0151887,-.33467997
1,0,.64156291E-01,.0000000,9,3,-7.5180771,.18565794,2.2172984,.13760924
1,0,.64243359E-01,.0000000,9,1,-9.6285106,.51548150,2.8850714,-.51122220
1,0,.65399496E-01,.0000000,9,2,-9.7472168,.17519269,3.1325052,-.20474690
1,0,.66718465E-01,.0000000,9,2,-6.2947154,.13018687,2.6326207,-.14578495
1,0,.68029453E-01,.30563754E-01,9,2,-5.5248438,.47002610,2.5831097,-.27345853
1,0,.69183376E-01,.0000000,9,4,-4.5564111,.69577718,2.4327623,-.39315970
1,0,.70361162E-01,.0000000,9,8,-4.0766538,.52846695,2.2203111,-.49952225
1,0,.70849924E-01,.10902969E-01,9,22,-3.5912285,1.0658937,2.2470644,-.66938584
1,0,.72436696E-01,.0000000,9,5,-3.3998393,1.0453077,2.2545126,-.77051425
1,0,.72916824E-01,.0000000,9,11,-2.5815727,1.2211660,2.0739667,-.82998396
1,0,.71921728E-01,.17731936E-01,9,38,-1.6378994,1.0573691,1.9341748,-1.2694784
1,0,.72487970E-01,.0000000,9,8,-1.1267606,1.0049066,2.0835937,-1.0651707
1,0,.72624345E-01,.0000000,9,4,-2.7692041,1.0184037,1.8889842,-.77394550
1,0,.72200870E-01,.31128520E-01,9,20,-2.5789737,1.1659083,2.0898856,-1.3549396
1,0,.71819028E-01,.0000000,9,9,-3.6341041,1.2825364,1.9308482,-1.5980341
1,0,.71040951E-01,.0000000,9,29,-3.3233635,.95554224,1.9241171,-1.3276140
1,0,.70601304E-01,.47694303E-01,9,9,-4.6530282,.83752050,1.9926067,-1.4534695
1,0,.69181353E-01,.0000000,9,37,-3.2420079,1.0577559,1.8634402,-1.2882760
1,0,.68987207E-01,.0000000,9,17,-1.7820432,1.2552731,1.8816289,-1.2497323
1,0,.68486250E-01,.0000000,9,17,-2.8404248,1.3364659,1.8739841,-1.3964583
1,0,.69499548E-01,.34948686E-01,9,8,-2.1244945,1.0868430,1.9791911,-.74894845
1,0,.69765186E-01,.0000000,9,5,-3.0550779,1.0434928,2.2056310,-.67720976
1,0,.70646373E-01,.0000000,9,3,-3.0501690,1.3725145,1.8403537,-.63719695
1,0,.71299879E-01,.0000000,9,8,-2.4836522,.90324702,2.2667327,-.99262481
1,0,.71789484E-01,.81034583E-02,9,3,-4.3062389,.95414841,2.3067961,-.41045247
1,0,.72157685E-01,.0000000,9,2,-5.0525536,.91835924,2.0309304,-.13885907
1,0,.72927380E-01,.0000000,9,4,-4.4675514,1.5016915,1.5995888,-.84068583
1,0,.73921027E-01,.0000000,9,1,-4.2406319,1.2274598,1.6857579,-.59423355
