NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,77,.77009812E-01,.76932803E-01,.39999962E-01,.39999962E-01,10.349601
1999,195,.98269349E-01,.11950763,.46999931E-01,.86999893E-01,8.8360661
2999,340,.11274952,.14169539,.39000034E-01,.12599993,7.2857605
3999,520,.12937448,.17923273,.45000076E-01,.17100000,6.4059232
4999,688,.13887368,.17686096,.39000034E-01,.21000004,5.8946522
5999,861,.14397681,.16948738,.24999857E-01,.23499990,5.2237665
6999,1045,.14846647,.17539994,.29999971E-01,.26499987,4.8067679
7999,1269,.15711706,.21766253,.36000013E-01,.30099988,4.4428911
8999,1485,.16288192,.20899505,.29000044E-01,.32999992,4.1144435
9999,1699,.16757967,.20985475,.31000137E-01,.36100006,3.8885592
10999,1937,.17293024,.22643052,.27999878E-01,.38899994,3.6275198
11999,2125,.17426844,.18898736,.31000137E-01,.42000008,3.5329418
12999,2342,.17733110,.21407999,.32999992E-01,.45300007,3.4154890
13999,2608,.18310195,.25811713,.32999992E-01,.48600006,3.2409943
14999,2847,.18632861,.23149873,.32999992E-01,.51900005,3.1269434
15999,3111,.19020984,.24842430,.36999941E-01,.55599999,3.0184133
16999,3350,.19258480,.23058185,.32999992E-01,.58899999,2.9274178
17999,3540,.19290353,.19832165,.43999910E-01,.63299990,2.9432707
18999,3758,.19419663,.21747110,.32000065E-01,.66499996,2.8741164
19999,3979,.19509184,.21209999,.29000044E-01,.69400001,2.7943137
20999,4240,.19772764,.25044090,.30999899E-01,.72499990,2.6948110
21999,4427,.19699325,.18157187,.32000065E-01,.75699997,2.6629231
22999,4620,.19730328,.20412366,.38000107E-01,.79500008,2.6465587
23999,4828,.19804432,.21508735,.28999805E-01,.82399988,2.5894213
24999,5089,.20002336,.24751844,.35000086E-01,.85899997,2.5169087
25999,5298,.20060385,.21511555,.42999983E-01,.90199995,2.5030584
26999,5553,.20245833,.25067283,.46000004E-01,.94799995,2.4663705
27999,5771,.20339015,.22854841,.82999945E-01,1.0309999,2.5420374
28999,6002,.20445119,.23415937,.34000158E-01,1.0650001,2.4838172
29999,6242,.20538042,.23232696,.29999971E-01,1.0950000,2.4134909
30999,6477,.20658898,.24284477,.31999826E-01,1.1269999,2.3530059
31999,6705,.20722257,.22686320,.37000179E-01,1.1640000,2.3080359
32999,6962,.20841120,.24644607,.39999962E-01,1.2040000,2.2547762
33999,7279,.21093175,.29410728,.49999952E-01,1.2539999,2.1915281
34999,7542,.21257057,.26828900,.36999941E-01,1.2909999,2.1324949
35999,7770,.21305465,.22999687,.38000107E-01,1.3290000,2.0918494
36999,8011,.21385551,.24268587,.30999899E-01,1.3599999,2.0353313
37999,8281,.21536927,.27137681,.32999992E-01,1.3929999,1.9713278
38999,8527,.21601869,.24069591,.37000179E-01,1.4300001,1.9240519
39999,8797,.21714058,.26089323,.33999920E-01,1.4640000,1.8644074
40999,9039,.21799836,.25230867,.37999868E-01,1.5019999,1.8213763
41999,9332,.21945582,.27921012,.38000107E-01,1.5400000,1.7604715
42999,9611,.22072783,.27415099,.42000055E-01,1.5820000,1.7100612
43999,9842,.22115544,.23954249,.36999941E-01,1.6190000,1.6709817
44999,10126,.22253299,.28314387,.35000086E-01,1.6540000,1.6128379
45999,10381,.22329385,.25753135,.28999805E-01,1.6829998,1.5594621
46999,10664,.22437746,.27422280,.35000086E-01,1.7179999,1.5040555
47999,10935,.22520255,.26398102,.35000086E-01,1.7530000,1.4532186
48999,11218,.22615629,.27193485,.42000055E-01,1.7950001,1.4052140
49999,11467,.22661085,.24888365,.29999971E-01,1.8250000,1.3580470
50999,11747,.22760348,.27723411,.36000013E-01,1.8610001,1.3074686
51999,11992,.22799627,.24802782,.47999859E-01,1.9089999,1.2747891
52999,12247,.22857248,.25853491,.34000158E-01,1.9430001,1.2300220
53999,12494,.22910368,.25725695,.44999838E-01,1.9879999,1.1943275
54999,12745,.22958214,.25541843,.32000065E-01,2.0200000,1.1498705
55999,13014,.23029223,.26934642,.39999962E-01,2.0599999,1.1058214
56999,13254,.23037410,.23495883,.49999952E-01,2.1099999,1.0739444
57999,13477,.23046789,.23581359,.44000149E-01,2.1540000,1.0425571
58999,13738,.23095643,.25929136,.39999962E-01,2.1940000,1.0000603
59999,13979,.23109350,.23918042,.34999847E-01,2.2289999,.96006926
60999,14201,.23113039,.23334383,.34000158E-01,2.2630000,.92409950
61999,14479,.23192023,.28009988,.42999983E-01,2.3060000,.87930285
62999,14719,.23217748,.24812635,.33999920E-01,2.3399999,.83956380
63999,14998,.23274451,.26846734,.31000137E-01,2.3710001,.79075492
64999,15263,.23311959,.25712377,.40999889E-01,2.4119999,.74858440
65999,15535,.23375766,.27523166,.32999992E-01,2.4449999,.70273091
66999,15781,.23405663,.25378887,.49000025E-01,2.4940000,.66676293
67999,16017,.23401767,.23140690,.43999910E-01,2.5379999,.63113276
68999,16286,.23447361,.26547752,.39000034E-01,2.5769999,.58768130
69999,16576,.23515425,.28211711,.38000107E-01,2.6150000,.54016409
70999,16848,.23565168,.27047143,.36000013E-01,2.6510000,.49596107
71999,17080,.23575192,.24286904,.29000044E-01,2.6800001,.45817331
72999,17357,.23629271,.27522938,.32999992E-01,2.7130001,.41311627
73999,17644,.23681671,.27506796,.36999941E-01,2.7500000,.36720698
74999,17950,.23763262,.29800914,.42999983E-01,2.7930000,.31897771
75999,18195,.23770307,.24298676,.32999992E-01,2.8260000,.28034790
76999,18459,.23808007,.26673134,.32999992E-01,2.8590000,.23867593
77999,18737,.23845364,.26721872,.36999941E-01,2.8959999,.19520990
78999,19020,.23898961,.28079443,.41000128E-01,2.9370000,.15132808
79999,19300,.23941308,.27286717,.36999941E-01,2.9740000,.10786528
80999,19573,.23983475,.27356714,.45000076E-01,3.0190001,.65861801E-01
81999,19835,.24004017,.25667900,.44999838E-01,3.0639999,.25488277E-01
82708,20000,.24013856,.25151867,.24000168E-01,3.0880001,.0000000
