SampleLogFunc,intercept,slope,logSigma
-5.5367637,1.2335464,1.5782421,-.48679264
-5.9586445,1.4059460,1.5276523,-.80792746
-2.8590012,1.4249843,1.8319132,-.77420169
-2.6755268,.97486079,2.1082163,-.61071463
-2.6755268,.97486079,2.1082163,-.61071463
-4.2269535,.46175127,2.3244250,-.47535268
-4.2269535,.46175127,2.3244250,-.47535268
-2.6696650,.82724718,2.2745967,-.75437939
-2.6696650,.82724718,2.2745967,-.75437939
-2.8487771,.72546523,2.3272384,-.79151349
-2.8487771,.72546523,2.3272384,-.79151349
-2.2278651,.69893486,2.2296205,-.92684812
-2.5557610,.70800373,2.3144976,-.94629193
-3.3210158,.55167481,2.3588465,-1.0043656
-2.4808821,.77747010,2.2028448,-1.4658025
-1.3571460,1.0542051,1.9667059,-1.0519325
-1.3571460,1.0542051,1.9667059,-1.0519325
-1.5852551,.90653330,2.1733072,-.97730205
-3.3745739,.52035367,2.3248355,-.75691558
-2.6939121,1.3207929,1.8711874,-.69971080
-4.9932624,1.5123797,1.6950991,-.24022808
-6.0301810,1.7412726,1.5036661,-.13250302
-7.5180771,.18565794,2.2172984,.13760924
-3.5912285,1.0658937,2.2470644,-.66938584
-3.3998393,1.0453077,2.2545126,-.77051425
-1.6378994,1.0573691,1.9341748,-1.2694784
-2.7692041,1.0184037,1.8889842,-.77394550
-3.6341041,1.2825364,1.9308482,-1.5980341
-3.3233635,.95554224,1.9241171,-1.3276140
-3.2420079,1.0577559,1.8634402,-1.2882760
-3.2420079,1.0577559,1.8634402,-1.2882760
-2.8404248,1.3364659,1.8739841,-1.3964583
-2.4836522,.90324702,2.2667327,-.99262481
-2.5801089,1.2381570,1.9100371,-1.5329554
-3.4225689,1.2381069,2.0000809,-.48830263
-2.6261897,1.1945726,2.0911273,-1.2336495
-3.2292863,.66112261,2.1279650,-.69671776
-3.9021460,1.5854133,1.6892986,-.65881393
-2.1365372,1.3122919,1.8361943,-.99138245
-2.1365372,1.3122919,1.8361943,-.99138245
-1.9819187,.89994415,2.0315472,-.86941736
-6.0287759,1.8854172,1.7661677,-.45588270
-7.0665001,1.3575273,1.6986711,.19635643
-3.0532115,.95658163,2.2493344,-.67619897
-2.2512528,1.1288197,1.8981037,-.79038385
-3.6329985,1.4046164,2.0090806,-.92778034
-2.1793771,.75641027,2.2525725,-.89655601
-1.7062410,.92673966,2.1784271,-1.3784305
-5.1476430,.36930353,2.5631110,-.39194675
-10.433895,-1.0357271,3.0662990,.84698540E-01
-4.8897125,.70365503,2.1479873,-.19984981
-2.0661022,.79910394,2.1110819,-1.3462049
-3.1964126,.80733785,2.1977846,-.52739567
-2.0802930,1.2590732,2.0133207,-1.0715095
-2.4038165,.65556065,2.2406316,-1.0035145
-3.2135249,1.2619736,2.1008848,-.96029985
-2.4916547,1.0481928,1.9110537,-1.3737253
-4.1671636,.83064794,2.0330658,-1.5292674
