ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,.25000000,.0000000,1,4,-329.22317,.0000000,.0000000,.0000000,.0000000
1,0,.40000000,.0000000,1,1,-314.12764,1.4575688,1.7445371,.70006506,.30702805
1,0,.37515238,.0000000,2,3,-312.03715,1.2157954,2.3132696,-.71027475E-01,-.70428312
1,0,.33344875,.0000000,3,4,-300.92709,1.4845217,2.8604393,.42541209,-.56576212
1,0,.33342567,.0000000,4,3,-277.35150,.35032240,1.9202084,1.5794562,-1.8587646
1,0,.33341030,.84132788,5,3,-267.41661,-.29920465,2.9177579,1.1136858,-1.0799122
1,0,.35006927,.0000000,6,2,-249.89516,.87295497E-02,5.0150886,1.4410121,-1.4428646
1,0,.38101835,.0000000,7,1,-220.58014,-.74270848,4.6429626,2.3985969,-1.8889896
1,0,.40915388,.0000000,8,1,-185.59913,-.18564372,6.4590684,3.6762420,-3.4113489
1,0,.40632601,.0000000,9,5,-180.43236,.59265418,7.3526715,4.2365660,-2.9289126
1,0,.41278647,.0000000,10,2,-167.10607,1.0696101,8.9664245,4.7207988,-2.9091575
1,0,.43236026,.0000000,11,1,-159.66456,2.2250495,10.922904,5.6216281,-4.3830172
1,0,.45067122,.0000000,12,1,-157.39148,2.1174779,11.190948,5.5684103,-4.8526288
1,0,.44244368,.71026554,12,2,-157.85388,1.8638421,10.899544,5.0491009,-4.3966483
1,0,.44574868,.0000000,12,2,-102.34301,.98809203,17.084166,9.2521169,-7.3454780
1,0,.43872436,.0000000,15,2,-102.80287,.90963436,16.644574,8.1808873,-6.4137875
1,0,.43082003,.0000000,15,3,-95.461425,.44235066,16.447006,8.6435543,-6.5605461
1,0,.44470247,.0000000,17,1,-89.359987,-.13307346,19.075174,10.768711,-8.3832007
1,0,.40922862,.0000000,18,6,-89.123255,.25482575,18.558422,10.375711,-7.6854357
1,0,.41293357,.53465599,18,2,-86.792091,-.10176594,17.855698,10.673130,-7.5173594
1,0,.41634794,.0000000,18,2,-79.820893,-.11493946,18.601716,10.727283,-6.9656842
1,0,.32257731,.0000000,21,18,-77.450428,-.57415986,17.849569,10.192484,-6.6518093
1,0,.31434528,.0000000,21,5,-72.451841,-.98793607,19.334839,11.444876,-7.3917777
1,0,.31468935,.0000000,23,5,-64.072399,-2.6914085,16.992222,10.414735,-7.1829229
1,0,.30786265,.42401326,24,5,-62.115321,-2.5258342,17.419509,10.903763,-7.1398876
1,0,.30827240,.0000000,24,1,-63.186245,-3.9473569,13.279262,9.4163000,-5.5107552
1,0,.26607530,.0000000,24,18,-55.262044,-5.5858136,18.133973,13.553004,-9.0139633
1,0,.26547473,.0000000,27,4,-52.258635,-4.4621414,17.473256,11.733098,-7.8534625
