NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,78,.76494266E-01,.76494266E-01,.92999935E-01,.92999935E-01,59.522343
2000,204,.98822304E-01,.12115034,.44999838E-01,.13799977,33.685474
3000,355,.11668373,.15240658,.44000149E-01,.18199992,25.451792
4000,555,.13523024,.19086978,.39000034E-01,.22099996,19.688906
5000,745,.14784385,.19829827,.41999817E-01,.26299977,17.387992
6000,950,.15736573,.20497513,.33000231E-01,.29600000,15.282948
7000,1176,.16681873,.22353674,.36999941E-01,.33299994,13.825161
8000,1396,.17376646,.22240060,.40999889E-01,.37399983,13.021410
9000,1622,.18004827,.23030272,.39000034E-01,.41299987,12.318192
10000,1860,.18683033,.24786886,.48000097E-01,.46099997,11.931472
11000,2135,.19457868,.27206222,.37999868E-01,.49899983,11.187179
12000,2393,.20003918,.26010467,.34000158E-01,.53299999,10.603648
13000,2664,.20520347,.26717493,.38999796E-01,.57199979,10.163732
14000,2944,.21007869,.27345657,.47000170E-01,.61899996,9.8939069
15000,3233,.21513498,.28592298,.93999863E-01,.71299982,10.313907
16000,3507,.21810024,.26257911,.46000004E-01,.75899982,10.062212
17000,3799,.22245666,.29215948,.61000109E-01,.81999993,9.9723130
18000,4105,.22584913,.28352105,.69000006E-01,.88899994,9.9392575
19000,4374,.22833931,.27316258,.46999931E-01,.93599987,9.7635871
20000,4669,.23122710,.28609508,.59999943E-01,.99599981,9.6700937
21000,4958,.23368578,.28285947,.48000097E-01,1.0439999,9.4844381
22000,5227,.23534350,.27015564,.50999880E-01,1.0949998,9.3794577
23000,5509,.23721403,.27836573,.40000200E-01,1.1350000,9.1663250
24000,5804,.23936429,.28882007,.41999817E-01,1.1769998,8.9625575
25000,6075,.24095485,.27912830,.45000076E-01,1.2219999,8.8356123
26000,6349,.24230258,.27599602,.33999920E-01,1.2559998,8.6353201
27000,6651,.24441073,.29922243,.39000034E-01,1.2949998,8.4403771
28000,6937,.24569782,.28044924,.42999983E-01,1.3379998,8.3059372
29000,7217,.24667542,.27404836,.38000107E-01,1.3759999,8.1570465
30000,7523,.24866271,.30629396,.39000034E-01,1.4150000,7.9894927
31000,7822,.25026246,.29825521,.36000013E-01,1.4510000,7.8241213
32000,8118,.25216399,.31111120,.39999962E-01,1.4909999,7.6922961
33000,8407,.25331900,.29027932,.42000055E-01,1.5330000,7.5844021
34000,8673,.25388672,.27262145,.40999889E-01,1.5739999,7.5001376
35000,8977,.25486837,.28824454,.42000055E-01,1.6159999,7.3847795
36000,9255,.25554560,.27924884,.46000004E-01,1.6619999,7.3169300
37000,9555,.25672722,.29926553,.44999838E-01,1.7069998,7.2254951
38000,9839,.25751948,.28683314,.44000149E-01,1.7509999,7.1472617
39000,10119,.25829333,.28769952,.39000034E-01,1.7900000,7.0547474
40000,10426,.25934002,.30016079,.39999962E-01,1.8299999,6.9461363
41000,10695,.25975226,.27624192,.42999983E-01,1.8729999,6.8834279
42000,10979,.26040604,.28721104,.39000034E-01,1.9119999,6.7955324
43000,11292,.26147152,.30622169,.42999983E-01,1.9549999,6.7015708
44000,11586,.26244435,.30427588,.36999941E-01,1.9919999,6.6045816
45000,11870,.26322249,.29746086,.42000055E-01,2.0339999,6.5338178
46000,12174,.26422838,.30949359,.36000013E-01,2.0699999,6.4317248
47000,12457,.26489940,.29576625,.33999920E-01,2.1039999,6.3410505
48000,12760,.26578408,.30736394,.41000128E-01,2.1450000,6.2601724
49000,13030,.26599703,.27621841,.38999796E-01,2.1839998,6.1966594
50000,13339,.26678057,.30517428,.38000107E-01,2.2219999,6.1069599
51000,13669,.26772719,.31505819,.42000055E-01,2.2639999,6.0175128
52000,13966,.26832431,.29877718,.49999952E-01,2.3139999,5.9704047
53000,14290,.26908334,.30855310,.42999983E-01,2.3569999,5.8900256
