NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,78,.76494266E-01,.76494266E-01,.55999994E-01,.55999994E-01,35.841432
2000,204,.98822304E-01,.12115034,.42999983E-01,.98999977E-01,24.165700
3000,355,.11668373,.15240658,.49999952E-01,.14899993,20.836906
4000,555,.13523024,.19086978,.39999962E-01,.18899989,16.838017
5000,745,.14784385,.19829827,.35000086E-01,.22399998,14.809556
6000,950,.15736573,.20497513,.39999962E-01,.26399994,13.630734
7000,1176,.16681873,.22353674,.39000034E-01,.30299997,12.579652
8000,1396,.17376646,.22240060,.45000076E-01,.34800005,12.116185
9000,1622,.18004827,.23030272,.53999901E-01,.40199995,11.990107
10000,1860,.18683033,.24786886,.49000025E-01,.45099998,11.672655
11000,2135,.19457868,.27206222,.55999994E-01,.50699997,11.366536
12000,2393,.20003918,.26010467,.42999983E-01,.54999995,10.941850
13000,2664,.20520347,.26717493,.39000034E-01,.58899999,10.465805
14000,2944,.21007869,.27345657,.46000004E-01,.63499999,10.149647
15000,3233,.21513498,.28592298,.46000004E-01,.68099999,9.8510135
16000,3507,.21810024,.26257911,.40999889E-01,.72199988,9.5716968
17000,3799,.22245666,.29215948,.42000055E-01,.76399994,9.2912770
18000,4105,.22584913,.28352105,.52999973E-01,.81699991,9.1342779
19000,4374,.22833931,.27316258,.36999941E-01,.85399985,8.9082298
20000,4669,.23122710,.28609508,.42999983E-01,.89699984,8.7089097
21000,4958,.23368578,.28285947,.44000149E-01,.94099998,8.5487135
22000,5227,.23534350,.27015564,.52000046E-01,.99300003,8.5057567
23000,5509,.23721403,.27836573,.49999952E-01,1.0430000,8.4233277
24000,5804,.23936429,.28882007,.59999943E-01,1.1029999,8.3990670
25000,6075,.24095485,.27912830,.39000034E-01,1.1420000,8.2571767
26000,6349,.24230258,.27599602,.42000055E-01,1.1840000,8.1403031
27000,6651,.24441073,.29922243,.47999859E-01,1.2319999,8.0297643
28000,6937,.24569782,.28044924,.55000067E-01,1.2869999,7.9893439
29000,7217,.24667542,.27404836,.55000067E-01,1.3420000,7.9554921
30000,7523,.24866271,.30629396,.55999994E-01,1.3980000,7.8935061
31000,7822,.25026246,.29825521,.49000025E-01,1.4470000,7.8025527
32000,8118,.25216399,.31111120,.53999901E-01,1.5009999,7.7438875
33000,8407,.25331900,.29027932,.46000004E-01,1.5469999,7.6536658
34000,8673,.25388672,.27262145,.33999920E-01,1.5809999,7.5334925
35000,8977,.25486837,.28824454,.41000128E-01,1.6220000,7.4121984
36000,9255,.25554560,.27924884,.42999983E-01,1.6650000,7.3301376
37000,9555,.25672722,.29926553,.48000097E-01,1.7130001,7.2508935
38000,9839,.25751948,.28683314,.51999807E-01,1.7649999,7.2044069
39000,10119,.25829333,.28769952,.45000076E-01,1.8099999,7.1335713
40000,10426,.25934002,.30016079,.49000025E-01,1.8590000,7.0562118
41000,10695,.25975226,.27624192,.49000025E-01,1.9080000,7.0120561
42000,10979,.26040604,.28721104,.46999931E-01,1.9549999,6.9483607
43000,11292,.26147152,.30622169,.45000076E-01,2.0000000,6.8558271
44000,11586,.26244435,.30427588,.43999910E-01,2.0439999,6.7769906
45000,11870,.26322249,.29746086,.45000076E-01,2.0890000,6.7104945
46000,12174,.26422838,.30949359,.40999889E-01,2.1299999,6.6181514
47000,12457,.26489940,.29576625,.38000107E-01,2.1680000,6.5339346
48000,12760,.26578408,.30736394,.36000013E-01,2.2040000,6.4323636
49000,13030,.26599703,.27621841,.39000034E-01,2.2430000,6.3640607
50000,13339,.26678057,.30517428,.41999817E-01,2.2849998,6.2801094
51000,13669,.26772719,.31505819,.52000046E-01,2.3369999,6.2115402
52000,13966,.26832431,.29877718,.70000172E-01,2.4070001,6.2103566
53000,14290,.26908334,.30855310,.13399982,2.5409999,6.3498325
54000,14599,.26962451,.29830642,.75999975E-01,2.6169999,6.3459423
55000,14870,.27000163,.29036629,.78000069E-01,2.6949999,6.3668694
56000,15139,.27029799,.28659769,.81000090E-01,2.7760000,6.3923731
57000,15459,.27103867,.31251691,.66999912E-01,2.8429999,6.3522906
58000,15764,.27164166,.30601220,.62000036E-01,2.9050000,6.3090319
59000,16075,.27206859,.29683011,.55000067E-01,2.9600000,6.2468430
60000,16345,.27228878,.28527988,.49999952E-01,3.0100000,6.1977088
61000,16640,.27288221,.30848818,.47999859E-01,3.0579998,6.1307016
62000,16960,.27358389,.31638630,.47000170E-01,3.1050000,6.0488915
63000,17273,.27409075,.30551631,.46000004E-01,3.1510000,5.9701718
64000,17580,.27470961,.31369793,.37999868E-01,3.1889999,5.8809657
65000,17889,.27517184,.30475463,.46000004E-01,3.2349999,5.8068691
66000,18216,.27576853,.31455340,.42999983E-01,3.2779999,5.7195843
67000,18525,.27634866,.31463697,.51000118E-01,3.3290000,5.6561552
68000,18835,.27669164,.29967157,.43999910E-01,3.3729999,5.5810747
69000,19170,.27737365,.32375006,.36999941E-01,3.4099998,5.4841051
70000,19474,.27778211,.30596580,.42000055E-01,3.4519999,5.4110994
71000,19791,.27821208,.30831020,.32999992E-01,3.4849999,5.3195069
72000,20092,.27844575,.29503607,.64000130E-01,3.5490000,5.2828734
73000,20402,.27893571,.31421294,.43999910E-01,3.5929999,5.2125092
74000,20696,.27922024,.29999054,.43999910E-01,3.6369998,5.1497219
75000,20984,.27943295,.29517369,.49000025E-01,3.6859999,5.0968820
76000,21282,.27973143,.30211728,.52999973E-01,3.7389998,5.0454185
77000,21567,.27987620,.29087859,.40000200E-01,3.7790000,4.9820702
78000,21866,.28024670,.30877528,.44999838E-01,3.8239999,4.9201689
79000,22195,.28066737,.31347960,.45000076E-01,3.8690000,4.8469270
80000,22509,.28109362,.31476787,.60999870E-01,3.9299998,4.7998412
81000,22822,.28144921,.30989623,.62000036E-01,3.9919999,4.7539467
82000,23139,.28188152,.31689844,.62000036E-01,4.0539999,4.7061019
83000,23463,.28242269,.32679856,.42999983E-01,4.0969999,4.6337675
84000,23788,.28283549,.31709850,.46000004E-01,4.1429999,4.5651721
85000,24113,.28318835,.31282836,.45000076E-01,4.1880000,4.4961123
86000,24408,.28333935,.29617430,.39999962E-01,4.2279999,4.4330946
87000,24694,.28341875,.29024681,.46000004E-01,4.2739999,4.3799240
88000,25007,.28367215,.30571800,.53999901E-01,4.3279998,4.3255768
89000,25320,.28402707,.31526016,.73000193E-01,4.4010000,4.2897583
90000,25639,.28447031,.32391878,.69999933E-01,4.4710000,4.2481388
91000,25956,.28474562,.30952388,.72999954E-01,4.5439999,4.2092747
92000,26293,.28509310,.31671319,.62999964E-01,4.6069999,4.1538868
93000,26609,.28533286,.30739084,.52000046E-01,4.6589999,4.0955567
94000,26903,.28556095,.30677343,.65000057E-01,4.7240000,4.0556900
95000,27224,.28584113,.31217843,.47999859E-01,4.7719998,3.9923255
96000,27513,.28589120,.29064752,.52000046E-01,4.8239999,3.9427647
97000,27829,.28621347,.31715160,.42000055E-01,4.8659999,3.8766785
98000,28144,.28641231,.30569920,.46999931E-01,4.9129999,3.8153257
99000,28465,.28673752,.31860862,.60000181E-01,4.9730000,3.7622890
100000,28761,.28685656,.29864115,.40999889E-01,5.0139999,3.7026649
101000,29059,.28702553,.30392252,.72000027E-01,5.0860000,3.6651614
102000,29368,.28723592,.30848519,.86999893E-01,5.1729999,3.6342050
103000,29679,.28748218,.31260127,.95000029E-01,5.2679999,3.6069620
104000,29976,.28764550,.30446690,.75999975E-01,5.3439999,3.5697976
105000,30268,.28784196,.30827414,.42000055E-01,5.3859999,3.5111851
106000,30579,.28810125,.31532681,.39000034E-01,5.4250000,3.4454666
107000,30888,.28837186,.31705601,.38000107E-01,5.4630001,3.3802401
108000,31183,.28853878,.30639983,.42999983E-01,5.5060000,3.3225284
109000,31461,.28861814,.29718840,.49999952E-01,5.5560000,3.2739800
110000,31748,.28870165,.29780434,.34999847E-01,5.5909998,3.2142790
111000,32057,.28892575,.31357720,.39000034E-01,5.6299999,3.1512334
112000,32381,.28922105,.32199903,.65000057E-01,5.6949999,3.0987370
113000,32688,.28943199,.31305721,.46000004E-01,5.7409999,3.0405100
114000,33011,.28967923,.31761706,.46999931E-01,5.7879999,2.9787746
115000,33332,.28997792,.32402892,.44000149E-01,5.8320000,2.9163499
116000,33631,.29007563,.30131202,.41999817E-01,5.8739998,2.8590141
117000,33944,.29025906,.31153794,.59000015E-01,5.9329998,2.8063942
118000,34298,.29063599,.33473618,.50000191E-01,5.9830000,2.7390829
119000,34591,.29073482,.30239691,.56999922E-01,6.0400000,2.6905946
120000,34888,.29084803,.30432008,.63999891E-01,6.1039999,2.6439935
121000,35198,.29102794,.31261678,.55999994E-01,6.1599998,2.5904971
122000,35512,.29124575,.31760140,.41000128E-01,6.2010000,2.5298515
123000,35827,.29146459,.31816304,.42000055E-01,6.2430000,2.4697027
124000,36132,.29160098,.30837710,.43999910E-01,6.2869999,2.4130443
125000,36414,.29153165,.28293434,.46000004E-01,6.3329999,2.3628313
126000,36738,.29175692,.31991494,.42999983E-01,6.3759999,2.3016634
127000,37073,.29204549,.32840634,.51000118E-01,6.4270000,2.2410334
128000,37402,.29227449,.32135731,.51999807E-01,6.4789999,2.1823015
129000,37717,.29242260,.31138087,.42999983E-01,6.5219998,2.1239686
130000,38034,.29261552,.31750187,.51000118E-01,6.5730000,2.0679528
131000,38329,.29269072,.30246672,.49000025E-01,6.6220000,2.0163678
132000,38627,.29276787,.30287388,.39999962E-01,6.6619999,1.9615017
133000,38927,.29283628,.30186628,.48000097E-01,6.7100000,1.9086965
134000,39284,.29317688,.33847669,.64999819E-01,6.7749999,1.8481035
135000,39602,.29333120,.31401067,.57000160E-01,6.8320000,1.7938270
136000,39916,.29352594,.31981540,.46000004E-01,6.8780000,1.7375928
137000,40226,.29367243,.31359486,.49000025E-01,6.9270000,1.6831029
138000,40529,.29375085,.30449482,.55999994E-01,6.9830000,1.6318190
139000,40855,.29392851,.31844546,.56999922E-01,7.0400000,1.5758365
140000,41164,.29404782,.31063249,.65000057E-01,7.1050000,1.5251137
141000,41494,.29423326,.32019466,.62000036E-01,7.1670001,1.4691884
142000,41805,.29434916,.31069100,.44999838E-01,7.2119999,1.4137624
143000,42078,.29435799,.29561141,.48000097E-01,7.2600000,1.3668359
144000,42399,.29455848,.32322882,.50999880E-01,7.3109999,1.3106656
145000,42722,.29482007,.33248970,.61000109E-01,7.3720000,1.2558732
146000,43038,.29493145,.31108155,.86999893E-01,7.4589999,1.2065978
147000,43337,.29495295,.29809094,.90000153E-01,7.5490000,1.1606476
148000,43646,.29501764,.30452715,.12399983,7.6729999,1.1170380
149000,43978,.29521616,.32459729,.12600017,7.7990000,1.0679335
150000,44290,.29538170,.32004738,.17299986,7.9719999,1.0277742
151000,44590,.29555539,.32160838,.15400004,8.1259999,.98590849
152000,44883,.29560738,.30345825,.16700006,8.2930000,.94546445
153000,45203,.29571532,.31212244,.17400002,8.4670000,.89852884
154000,45529,.29582494,.31259651,.14199996,8.6090000,.84541367
155000,45871,.29599520,.32221581,.16199994,8.7709999,.78950663
156000,46198,.29613352,.31757351,.11100006,8.8820000,.73097026
157000,46519,.29632350,.32595952,.11800003,9.0000000,.67346676
158000,46857,.29654985,.33208639,.11299992,9.1129999,.61126745
159000,47176,.29671091,.32215873,.11599994,9.2289999,.55245666
160000,47523,.29695085,.33510205,.12100005,9.3499999,.48734191
161000,47845,.29704346,.31186051,.12400007,9.4740000,.42672108
162000,48187,.29726364,.33271241,.10500002,9.5790000,.36040274
163000,48509,.29736499,.31378397,.12800002,9.7070000,.29835983
164000,48836,.29748030,.31627532,.11599994,9.8230000,.23412998
165000,49139,.29751179,.30267738,.12700009,9.9500000,.17434116
166000,49469,.29764818,.32015162,.13999987,10.090000,.10830601
167000,49808,.29779491,.32215205,.12800002,10.218000,.39388371E-01
167575,50000,.29787057,.31984601,.84000111E-01,10.302000,.0000000
