NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,505,.50154043,.50154043,.65999985E-01,.65999985E-01,.58746521
2000,990,.49748458,.49342872,.33999920E-01,.99999905E-01,.40505012
3000,1502,.50260640,.51285004,.29999971E-01,.12999988,.30275604
4000,2023,.50323453,.50511892,.36000013E-01,.16599989,.24428160
5000,2530,.50402532,.50718849,.28000116E-01,.19400001,.18939922
6000,3058,.50570360,.51409501,.27999878E-01,.22199988,.14098227
7000,3588,.50929904,.53087164,.23000002E-01,.24499989,.96415786E-01
8000,4116,.50995442,.51454210,.28000116E-01,.27300000,.58632653E-01
9000,4630,.50995185,.50993130,.27999878E-01,.30099988,.24053986E-01
9713,5000,.51004752,.51125513,.18000126E-01,.31900001,.0000000
