SampleLogFunc,SampleVariable1
-1.0079366,.42189596
-1.6588139,-1.2164501
-1.8280596,1.3484221
-2.5368876,-1.7988603
-.92851181,-.13837105
-1.0138398,-.43566327
-2.3302745,1.6800809
-1.4480356,-1.0286856
-.91894693,-.40990338E-02
-.92916831,.14303688
-3.8383965,-2.4163849
-1.0526367,-.51710370
-1.7610851,1.2978032
-2.4403384,-1.7443623
-2.7254920,-1.9008175
-1.0803963,.56825655
-.91999140,-.45888309E-01
-1.0868347,.57947594
-1.1152277,-.62656072
-1.5956911,1.1634024
-1.0689934,.54782277
-1.0710203,-.55151022
-1.0705770,-.55070591
-2.8813347,1.9811088
-1.3841047,.96453741
-.92427611,-.10332064
-1.6397385,-1.2006665
-.93306214,-.16806908
-.98059617,-.35116274
-1.4170093,.99806894
-1.0008827,.40483120
-2.8391100,-1.9596793
-.91969162,-.38809385E-01
-2.8874256,-1.9841810
-1.4134312,-.99447746
-1.0079824,-.42200451
-1.6551395,-1.2134257
-.91899476,-.10604792E-01
-.93550964,-.18205004
-.92029442,-.52074765E-01
-2.0716854,-1.5183852
-3.9828032,-2.4754251
-.93137864,.15773466
-1.6947079,-1.2456078
-1.4914868,1.0700918
-1.2677282,.83521217
-1.4892761,-1.0680239
-.92403660,.10097592
-1.0054406,-.41593759
-1.0148187,.43790459
-1.1085297,-.61577776
-1.0025546,.40894017
-1.2066377,.75855012
-1.1690990,.70733367
-1.3402055,.91789646
-2.7914666,-1.9352148
-1.8973927,1.3988954
-1.3870451,.96758107
-1.1004281,-.60247747
-4.7179245,-2.7564419
-1.1977906,-.74679592
-1.5237088,-1.0997911
-.95463525,.26719551
-1.8473179,-1.3626294
-1.9039237,-1.4035563
-.97361244,.33067782
-.94241111,-.21666830
-2.4589114,1.7549774
-1.0978134,.59812185
-1.5795388,1.1494349
-1.2405167,.80197031
-1.5643886,-1.1361779
-.96990246,.31926141
-1.7726961,-1.3067192
-3.1031815,2.0900923
-.91987065,.43176686E-01
-1.0888407,.58292736
-1.0041734,-.41287982
-1.6233982,1.1869791
-5.2146574,-2.9311154
-1.0061290,.41758944
-1.2739249,.84259874
-.92193329,-.77391967E-01
-1.0098804,-.42647822
-1.1284910,-.64738313
-.91920784,.23207993E-01
-1.2950550,.86731361
-4.0579537,2.5055998
-.92756812,.13137421
-1.3631664,-.94257932
-.98064462,-.35130069
-2.5694727,-1.8168842
-1.1270970,-.64522626
-.92098015,.63900256E-01
-1.3478373,-.92617357
-1.0496389,-.51127360
-1.1577602,-.69111752
-1.0277315,-.46646107
-2.2442449,-1.6280703
-1.2171383,.77226908
-2.2115279,1.6078491
-1.0961218,-.59528693
-1.0546290,-.52094228
-1.1122767,.62183312
-1.1409457,.66634405
-1.3019481,.87522518
-1.1955213,.74375099
-1.6589419,1.2165553
-3.4138314,-2.2337828
-1.7034943,-1.2526419
-2.3682385,-1.7025275
-1.0412260,.49454518
-.99552219,.39136596
-3.0441180,-2.0616399
-2.5977975,1.8324077
-1.4703596,-1.0501629
-1.5590901,1.1315048
-.91907090,.16270743E-01
-1.2342380,.79410263
-.92922999,-.14346745
-.94743405,-.23872795
-1.4022937,-.98321431
-1.2928560,-.86477449
-1.0093772,.42529678
-1.0163091,-.44129479
-.94945315,-.24704096
-.98022426,.35010205
-.93764468,-.19342259
-1.4713886,-1.0511423
-1.0502053,.51238018
-2.8294806,-1.9547594
-2.4252423,-1.7356865
-.93564557,.18279516
-1.2392234,.80035599
-.92044652,.54917882E-01
-1.0138686,.43572934
-.97272448,-.32798154
-1.2625210,.82895409
-.97229220,-.32666090
-.91955182,-.35022477E-01
-.92223019,-.81137653E-01
-.99152516,.38101608
-1.1070726,-.61340699
-1.5112881,-1.0884389
-.99989176,.40237602
-1.0055393,.41617487
-1.2205429,-.77666509
-1.1707653,-.70968555
-1.0243325,.45911638
-1.1898520,.73608896
-1.2702084,-.83817649
-3.3444471,2.2025025
-1.0118139,.43098816
-1.0248787,-.46030464
-1.1460753,-.67399815
-.92327024,-.93077490E-01
-1.0810195,-.56935223
-1.7305635,1.2740683
-1.3781288,.95832176
-2.3576722,1.6963099
-1.1463674,-.67443147
-2.0148696,-1.4804939
-.92970701,.14675476
-.95538722,-.26999515
-1.2409336,-.80248993
-1.0854137,.57701853
-2.6771473,-1.8752113
-1.1471643,.67561202
-1.0579816,.52733871
-2.5390700,1.8000731
