NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,505,.50154043,.50154043,.55000067E-01,.55000067E-01,.48955505
2000,990,.49748458,.49342872,.38000107E-01,.93000174E-01,.37669767
3000,1502,.50260640,.51285004,.33999920E-01,.12700009,.29576986
4000,2023,.50323453,.50511892,.29999971E-01,.15700006,.23103766
5000,2530,.50402532,.50718849,.32999992E-01,.19000006,.18549413
6000,3058,.50570360,.51409501,.32000065E-01,.22200012,.14098242
7000,3588,.50929904,.53087164,.36000013E-01,.25800014,.10153183
8000,4116,.50995442,.51454210,.42999983E-01,.30100012,.64646284E-01
9000,4630,.50995185,.50993130,.36999941E-01,.33800006,.27010804E-01
9713,5000,.51004752,.51125513,.25000095E-01,.36300015,.0000000
