SampleLogFunc,SampleVariable1
-.94133118,.21162534
-.95888695,-.28266027
-1.6588139,-1.2164501
-.99085837,.37926200
-6.4550695,3.3275008
-1.0493205,.51065044
-.92851181,-.13837105
-.91951529,.33963368E-01
-.91903917,-.14187334E-01
-1.0956192,-.59444203
-.92636445,-.12186806
-.91894693,-.40990338E-02
-1.2842971,.85481992
-.92916831,.14303688
-1.1558851,-.68839892
-1.0398463,-.49174743
-2.4283847,-1.7374960
-1.7610851,1.2978032
-1.2703230,-.83831312
-1.4407836,-1.0216115
-1.8574461,1.3700420
-.94959775,-.24762559
-.91999140,-.45888309E-01
-1.3717518,.95164409
-2.5117998,-1.7848593
-2.7484856,-1.9128759
-1.5956911,1.1634024
-1.6049945,1.1713718
-1.2516818,.81577357
-1.0608559,-.53276140
-1.1985404,-.74779931
-2.8813347,1.9811088
-1.0533941,.51856636
-1.3841047,.96453741
-1.5835634,-1.1529310
-1.4622005,1.0423646
-2.0643360,-1.5135372
-.93306214,-.16806908
-.98059617,-.35116274
-.92460021,.10641126
-1.4170093,.99806894
-.94861344,.24361818
-2.8391100,-1.9596793
-1.2950537,.86731210
-.91969162,-.38809385E-01
-1.6078314,1.1737912
-1.3898532,-.97047895
-1.0035146,-.41128117
-1.0079824,-.42200451
-1.5103967,-1.0876196
-5.0113520,-2.8609136
-1.4003301,-.98121511
-.93550964,-.18205004
-1.6568855,-1.2148638
-1.1306484,-.65070711
-4.0918568,-2.5190944
-3.9828032,-2.4754251
-.93137864,.15773466
-.92425142,-.10308137
-1.4914868,1.0700918
-1.1029818,.60670133
-.93251684,.16479262
-1.2873283,-.85835860
-3.8119760,-2.4054261
-1.4855955,1.0645722
-1.0054406,-.41593759
-.95684659,.27534727
-.91984412,.42557832E-01
-1.5988453,-1.1661105
-.96080225,-.28935693
-2.2599796,-1.6377064
-1.2066377,.75855012
-1.1690990,.70733367
-1.1403222,.66540772
-.96867748,-.31540115
-1.0240530,-.45850731
-1.8973927,1.3988954
-1.6947210,1.2456183
-1.3870451,.96758107
-1.1004281,-.60247747
-4.7179245,-2.7564419
-2.4067645,-1.7250078
-.95128816,.25436049
-.92391390,.99753328E-01
-.95463525,.26719551
-.91987948,.43380734E-01
-.95005919,-.24948207
-1.9039237,-1.4035563
-.97361244,.33067782
-1.0910018,-.58662296
-.94241111,-.21666830
-2.4589114,1.7549774
-1.0978134,.59812185
-1.2931751,.86514341
-.99224633,.38290416
-1.2405167,.80197031
-1.5643886,-1.1361779
-1.1408351,.66617799
-.96990246,.31926141
-1.7726961,-1.3067192
-1.0067090,.41897599
-1.4076182,.98861482
-.93426924,.17510403
-1.0888407,.58292736
-1.1037632,.60798799
-1.0041734,-.41287982
-1.4311895,-1.0121769
-.92089407,-.62538524E-01
-1.0061290,.41758944
-1.0061290,.41758944
-1.1540015,-.68565724
-.92193329,-.77391967E-01
-.92193329,-.77391967E-01
-1.0098804,-.42647822
-1.1284910,-.64738313
-1.1353213,-.65784917
-.92831919,-.13697196
-2.3881753,-1.7141976
-1.1177233,.63053107
-.92756812,.13137421
-1.3462625,.92447171
-3.4797606,2.2631050
-1.1919043,-.73887185
-2.5694727,-1.8168842
-1.1270970,-.64522626
-1.6248379,-1.1881914
-.92098015,.63900256E-01
-1.1962691,.74475576
-1.4379151,1.0187999
-.91910793,-.18406392E-01
-1.1577602,-.69111752
-1.2474900,.81061880
