ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,1.0000000,.0000000,1,1,-329.22317,.0000000,.0000000,.0000000,.0000000
1,0,.66666667,.0000000,1,2,-319.38776,-1.1314671,-1.0114699,2.4409968,-1.6380039
1,0,.60000000,.0000000,2,2,-292.87086,-2.7086895,-1.7464301,2.8874169,.42833054
1,0,.57142857,.0000000,3,2,-290.73338,-4.9133278,-2.9019973,2.3510471,-.17945322E-01
1,0,.62500000,.0000000,4,1,-246.42733,-6.3118797,-1.0692085,3.3947139,.74613393
1,0,.44339013,.0000000,5,6,-221.08733,-6.0304844,-.79774808E-01,5.5681717,2.8266385
1,0,.48049746,.0000000,6,1,-202.40197,-4.3554141,.72122999,7.2478948,.97219316
1,0,.51296637,.59390401,7,1,-193.81687,-4.5113634,1.1759642,6.7295817,-.97407638E-01
1,0,.54161540,.0000000,8,1,-184.47848,-5.2852795,1.2274968,6.1575672,.90476793
1,0,.56708122,.0000000,9,1,-132.43471,-8.6517902,1.3597608,10.389047,2.3234489
1,0,.58986641,.0000000,10,1,-74.016495,-11.072057,5.1673705,15.561394,5.2464529
1,0,.58130771,.0000000,11,2,-52.732345,-11.785871,7.2550737,17.402937,5.1324109
1,0,.60033918,.0000000,12,1,-42.889482,-12.198813,6.4457901,18.136693,3.3685577
1,0,.56829849,.0000000,13,3,-40.160816,-13.490221,6.8333150,19.808658,4.3306435
1,0,.55865470,.0000000,14,3,-35.607210,-15.080492,8.6603437,22.913775,5.0956270
1,0,.48962612,.57419530,15,6,-31.535578,-13.959637,9.0189551,21.938921,3.1208826
1,0,.34603650,.0000000,16,17,-30.502694,-14.034488,9.3005642,21.682050,5.1765439
1,0,.35184644,.0000000,16,2,-23.821477,-13.151155,11.424302,23.817977,4.1172955
1,0,.31309038,.0000000,18,11,-20.961816,-14.393682,12.165129,23.134722,3.9582903
1,0,.31399679,.0000000,18,3,-19.055976,-13.452908,11.555436,22.329400,4.2395547
1,0,.18306535,.32312521,19,52,-20.479457,-13.445861,10.407751,22.132428,3.2089582
1,0,.14101423,.0000000,19,47,-13.787209,-11.276819,11.495309,21.384335,3.4949457
1,0,.14016183,.0000000,22,6,-14.145070,-11.579539,10.883603,20.054773,3.1553912
1,0,.13363773,.0000000,22,16,-13.899821,-9.9970679,10.912816,18.639108,1.5990461
1,0,.12157566,.26957744,22,33,-7.4378927,-10.602866,13.914840,21.541231,1.2392130
1,0,.12278146,.0000000,25,6,-6.8669389,-11.305132,14.502793,22.145923,1.0540452
1,0,.11082458,.0000000,25,35,-4.8338320,-11.356071,13.499396,20.976090,1.2356613
1,0,.10290753,.0000000,25,32,-3.4758616,-10.027649,13.937654,19.825461,.46733555
1,0,.10041991,.31944405,27,21,-4.2115435,-10.636030,14.984573,21.319248,.44011178
1,0,.93346442E-01,.0000000,26,45,-3.5706868,-9.2199500,14.844420,18.647387,-.68944252
1,0,.93562139E-01,.0000000,26,13,-3.3094856,-9.0187264,15.264621,19.139248,-.27247012
1,0,.94602400E-01,.0000000,27,3,-3.7072436,-10.667025,14.028025,20.741966,1.2222009
1,0,.92114770E-01,.16166897,27,13,-5.0712054,-10.628341,16.409775,21.785477,.55164749
1,0,.90826279E-01,.0000000,27,18,-4.1338575,-10.086313,13.606279,18.988851,-.34942364
1,0,.90365818E-01,.0000000,27,18,-3.4088744,-10.449107,15.529325,20.786118,-.29887925
1,0,.88192179E-01,.0000000,26,23,-3.2454929,-10.327866,15.688129,20.568316,-.47059199
1,0,.90222931E-01,.0000000,27,1,-3.1152640,-10.690281,14.841623,19.975814,-.68784821E-01
1,0,.90174702E-01,.0000000,27,3,-4.5194596,-9.3340130,13.781597,18.365574,-.33287879
1,0,.90071324E-01,.0000000,27,4,-5.7038197,-11.829467,13.173706,20.975463,1.0492449
1,0,.90951343E-01,.76472879E-01,27,8,-4.0745689,-11.550667,13.784075,20.613876,.58230987
1,0,.91023729E-01,.0000000,27,7,-5.1445264,-11.408318,13.179041,19.322439,.29321225
1,0,.90239457E-01,.0000000,27,16,-4.1810149,-11.330692,14.776581,20.111062,-.18167585
1,0,.91915369E-01,.0000000,26,2,-3.3018223,-10.433787,14.455400,19.960224,-.36893016
1,0,.89552806E-01,.0000000,26,19,-6.0383887,-10.081225,14.486124,19.316684,-1.4860493
1,0,.91341503E-01,.0000000,26,1,-5.9413215,-9.0128822,16.857576,19.497995,-1.9966041
1,0,.92318186E-01,.65791191E-01,26,7,-5.8294449,-10.534093,14.322737,19.105698,-1.7580566
1,0,.89554518E-01,.0000000,26,22,-6.7170702,-11.193139,13.138850,18.480780,-1.6241558
1,0,.88616405E-01,.0000000,26,8,-8.9424415,-9.2148450,15.636319,17.251643,-2.3383157
1,0,.87205876E-01,.0000000,26,25,-5.8775308,-9.7307259,15.571613,18.495962,-2.5327908
1,0,.85755955E-01,.13096094,26,13,-7.2825434,-10.767926,15.338645,19.053258,-2.7794620
1,0,.86046505E-01,.0000000,26,1,-8.6461850,-11.776560,12.231277,19.584944,1.5398524
1,0,.86168792E-01,.0000000,26,11,-4.8092235,-10.394193,16.389391,20.892103,.23727718E-01
1,0,.86583947E-01,.0000000,26,9,-3.6165096,-10.432746,13.658521,19.761137,.74233549
1,0,.83748378E-01,.23544131E-01,26,45,-3.1410600,-9.8422381,14.196507,19.154146,-.17134864
1,0,.81460574E-01,.0000000,26,33,-4.7338841,-11.963255,13.522330,20.216581,.13024187E-01
1,0,.80852255E-01,.0000000,26,6,-7.4115553,-9.9348982,12.567815,18.738689,.75504212E-01
1,0,.82220314E-01,.0000000,26,3,-6.5589081,-12.014910,15.661485,22.126403,.50146352
1,0,.83544671E-01,.0000000,26,1,-6.4324608,-10.357027,12.456731,18.255662,.10012400
1,0,.84043997E-01,.0000000,26,9,-3.5585519,-10.395028,15.560747,21.343441,.51234492
1,0,.79252424E-01,.54102663E-01,26,58,-3.3132888,-10.744364,14.595063,20.400149,.66291725
1,0,.79352092E-01,.0000000,26,2,-4.7637932,-11.180453,15.709618,20.776563,-.13484965
1,0,.80036170E-01,.0000000,26,6,-3.7912878,-9.8977986,16.098887,19.710819,-1.2048743
1,0,.80001068E-01,.0000000,26,3,-5.3379548,-10.254519,16.812642,21.045283,-.16444201
1,0,.81681029E-01,.0000000,26,2,-5.1196020,-9.9276764,16.869158,20.370068,-.84918586
1,0,.82760562E-01,.0000000,26,2,-4.6258174,-9.5516080,13.712800,19.927473,1.3204666
1,0,.83027296E-01,.42133012E-01,26,10,-4.2451539,-10.888313,15.654494,21.408058,.70894146
1,0,.82858147E-01,.0000000,26,14,-3.1006244,-10.460783,14.425640,19.674864,.15893692
1,0,.83730730E-01,.0000000,26,8,-3.4857067,-9.3787754,14.873978,19.749114,-.22828893
1,0,.82945638E-01,.0000000,26,16,-3.8739442,-10.449879,16.165597,21.053960,-.22908495
1,0,.83456680E-01,.0000000,26,7,-3.6852857,-11.373932,14.636765,20.444801,-.40252575
1,0,.82855765E-01,.21089825E-01,26,30,-3.4603609,-10.900420,14.157075,19.654107,-.61439532
1,0,.82204671E-01,.0000000,26,12,-4.5889258,-10.843518,15.439910,19.509585,-1.7399115
1,0,.82972007E-01,.0000000,26,4,-4.5087295,-10.931150,13.690756,18.976895,-.18041604
1,0,.82768262E-01,.0000000,26,16,-4.3496218,-10.213148,14.954130,18.580130,-1.7643574
1,0,.82546425E-01,.33253927E-01,26,17,-4.2078981,-10.440431,15.531605,19.320813,-1.6820097
1,0,.82220892E-01,.0000000,26,24,-3.9444120,-11.134854,15.214073,20.137997,-.57391934
1,0,.81956137E-01,.0000000,25,4,-6.4702902,-10.385704,16.425395,19.973414,-2.2397257
1,0,.82934862E-01,.0000000,25,1,-4.6012448,-9.6686953,16.324606,19.616762,-1.7098850
1,0,.82860929E-01,.19365494E-01,25,17,-3.5460409,-9.3174240,14.944337,19.718004,-.29637154
1,0,.83052580E-01,.0000000,25,1,-4.8700015,-8.5968865,14.724608,19.166989,-.25445589
1,0,.83861664E-01,.0000000,25,3,-3.9777877,-9.8596459,14.612197,18.465942,-1.4214445
1,0,.84013737E-01,.0000000,25,10,-5.7603698,-9.6160379,13.258407,17.880860,-.29462490
1,0,.84791501E-01,.11977805E-01,25,10,-6.6814522,-10.434556,13.462755,18.279829,.48661787E-01
1,0,.85118265E-01,.0000000,25,8,-6.2770002,-9.3784579,16.824781,19.274625,-1.3499735
1,0,.85490091E-01,.0000000,25,1,-7.0700065,-8.8286349,15.393598,18.295993,-2.3394075
1,0,.86360182E-01,.0000000,25,1,-7.1255086,-10.400354,16.275484,21.932289,-.27355137
1,0,.87107086E-01,.67250726E-02,25,3,-6.1638097,-10.985882,13.034177,20.674305,2.1376968
1,0,.87859742E-01,.0000000,25,3,-5.2659868,-9.9929724,15.663626,21.036078,1.4677344
1,0,.88246205E-01,.0000000,25,7,-4.1056159,-8.6167169,15.955957,19.733931,-.57396081
1,0,.89021585E-01,.0000000,25,4,-3.9381834,-9.7485645,14.405312,19.239421,.48579679
1,0,.88693923E-01,.0000000,25,7,-5.3825918,-11.892297,13.604826,21.301902,1.0783383
1,0,.88515013E-01,.12292087E-01,25,14,-4.4618535,-9.4695407,14.300218,19.178237,-.61654472
