NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,89,.88509059E-01,.88420550E-01,.45000076E-01,.45000076E-01,15.123565
1999,228,.11118529,.13383884,.14999866E-01,.59999943E-01,7.8347294
2999,394,.12805353,.16177315,.17000198E-01,.77000141E-01,5.7859548
3999,574,.14104365,.18000103,.15999794E-01,.92999935E-01,4.7676239
4999,784,.15552270,.21342442,.18000126E-01,.11100006,4.1364513
5999,979,.16326047,.20194156,.19000053E-01,.13000011,3.8536602
6999,1226,.17439229,.24117210,.21999836E-01,.15199995,3.5674116
7999,1442,.17998546,.21913205,.19000053E-01,.17100000,3.3865590
8999,1671,.18576228,.23197108,.23000002E-01,.19400001,3.2889444
9999,1909,.19227688,.25090175,.16999960E-01,.21099997,3.1048717
10999,2170,.19847635,.26046479,.16000032E-01,.22700000,2.9112488
11999,2423,.20372443,.26144813,.16999960E-01,.24399996,2.7770478
12999,2690,.20870627,.26848331,.17000198E-01,.26100016,2.6497823
13999,2989,.21404336,.28342019,.16999960E-01,.27800012,2.5122319
14999,3284,.21962190,.29771594,.17999887E-01,.29600000,2.4080195
15999,3571,.22241742,.26434742,.18000126E-01,.31400013,2.3239175
16999,3850,.22577997,.27957733,.18999815E-01,.33299994,2.2618048
17999,4120,.22825698,.27036368,.21000147E-01,.35400009,2.2236705
18999,4429,.23203220,.29998251,.22000074E-01,.37600017,2.1708513
19999,4719,.23466777,.28474081,.18999815E-01,.39499998,2.1161251
20999,5012,.23733297,.29063431,.16999960E-01,.41199994,2.0540811
21999,5276,.23924024,.27929110,.17000198E-01,.42900014,2.0103486
22999,5570,.24139355,.28876427,.19999981E-01,.44900012,1.9693129
23999,5850,.24337575,.28896440,.20999908E-01,.47000003,1.9402565
24999,6119,.24466818,.27568514,.16999960E-01,.48699999,1.9006450
25999,6384,.24597978,.27876833,.19000053E-01,.50600004,1.8718197
26999,6693,.24813575,.30418905,.19000053E-01,.52500010,1.8282052
27999,6993,.24975860,.29357376,.16999960E-01,.54200006,1.7831825
28999,7296,.25128150,.29392132,.16999960E-01,.55900002,1.7395198
29999,7629,.25386454,.32876988,.19000053E-01,.57800007,1.6949062
30999,7940,.25555639,.30631040,.20999908E-01,.59899998,1.6642241
31999,8276,.25767362,.32330542,.26000023E-01,.62500000,1.6405872
32999,8549,.25838759,.28123419,.28000116E-01,.65300012,1.6384964
33999,8845,.25948099,.29556208,.30999899E-01,.68400002,1.6359548
34999,9166,.26083759,.30696059,.29999971E-01,.71399999,1.6228972
35999,9477,.26199452,.30248575,.22000074E-01,.73600006,1.5938514
36999,9783,.26303821,.30061003,.26000023E-01,.76200008,1.5747067
37999,10068,.26401742,.30024729,.23000002E-01,.78500009,1.5540943
38999,10341,.26451025,.28323725,.26999950E-01,.81200004,1.5436717
39999,10635,.26549856,.30404161,.19999981E-01,.83200002,1.5149676
40999,10908,.26574445,.27557981,.26000023E-01,.85800004,1.5017360
41999,11218,.26664700,.30365068,.23999929E-01,.88199997,1.4767092
42999,11542,.26793090,.32185362,.23000002E-01,.90499997,1.4472786
43999,11836,.26861178,.29788890,.24000168E-01,.92900014,1.4256808
44999,12136,.26940678,.30438594,.20999908E-01,.95000005,1.3983850
45999,12459,.27030584,.31076274,.19999981E-01,.97000003,1.3656610
46999,12753,.27094562,.30037458,.23000002E-01,.99300003,1.3429210
47999,13042,.27159224,.30198262,.22000074E-01,1.0150001,1.3197647
48999,13312,.27175199,.27941991,.19000053E-01,1.0340002,1.2962286
49999,13634,.27262868,.31558584,.18999815E-01,1.0530000,1.2640016
50999,13959,.27354918,.31957310,.19000053E-01,1.0720000,1.2318900
51999,14273,.27422779,.30883628,.16999960E-01,1.0890000,1.1999371
52999,14569,.27464627,.29640658,.18000126E-01,1.1070001,1.1724977
53999,14850,.27497217,.29224491,.16999960E-01,1.1240001,1.1467071
54999,15148,.27551791,.30498743,.19000053E-01,1.1430001,1.1206653
55999,15432,.27582154,.29252056,.18999815E-01,1.1619999,1.0969424
56999,15719,.27622561,.29885298,.17000198E-01,1.1790001,1.0711433
57999,16010,.27680538,.30985176,.20999908E-01,1.2000000,1.0485947
58999,16335,.27743455,.31392586,.19000053E-01,1.2190001,1.0197512
59999,16641,.27788839,.30466431,.17999887E-01,1.2370000,.99303424
60999,16968,.27877329,.33186667,.18000126E-01,1.2550001,.96388269
61999,17313,.27955823,.32743902,.29000044E-01,1.2840002,.94091781
62999,17627,.28007112,.31186977,.37999868E-01,1.3220000,.92795747
63999,17938,.28077399,.32505418,.56999922E-01,1.3789999,.92727714
64999,18246,.28124212,.31120141,.39000034E-01,1.4180000,.91346990
65999,18556,.28173973,.31408448,.24000168E-01,1.4420002,.88932150
66999,18900,.28261555,.34041872,.23000002E-01,1.4650002,.86039692
67999,19189,.28279422,.29476457,.18999815E-01,1.4840000,.83607919
68999,19520,.28350368,.33174668,.24000168E-01,1.5080001,.80962302
69999,19856,.28409006,.32454915,.23999929E-01,1.5320001,.78266563
70999,20174,.28448684,.31226128,.19999981E-01,1.5520000,.75592111
71999,20494,.28495753,.31837592,.20999908E-01,1.5730000,.72962514
72999,20828,.28553460,.32708321,.19000053E-01,1.5920000,.70106703
73999,21124,.28585170,.30899993,.18000126E-01,1.6100001,.67649883
74999,21445,.28635695,.32374455,.21999836E-01,1.6320000,.65104965
75999,21777,.28685318,.32407040,.23000002E-01,1.6550000,.62492835
76999,22082,.28721151,.31444425,.21000147E-01,1.6760001,.60096771
77999,22387,.28758834,.31660320,.31999826E-01,1.7079999,.58082832
78999,22704,.28792218,.31396154,.32000065E-01,1.7400000,.55915434
79999,23036,.28834617,.32184149,.28000116E-01,1.7680001,.53448311
80999,23370,.28869893,.31691877,.26000023E-01,1.7940001,.50895255
81999,23693,.28925565,.33434926,.25999784E-01,1.8199999,.48447810
82999,24007,.28967016,.32366024,.28000116E-01,1.8480000,.46132646
83999,24335,.29014651,.32968241,.29000044E-01,1.8770001,.43695112
84999,24645,.29038185,.31015021,.22000074E-01,1.8990002,.41262511
85999,24953,.29060143,.30926619,.18999815E-01,1.9180000,.38793515
86999,25259,.29086615,.31363106,.19000053E-01,1.9370000,.36356614
87999,25600,.29128226,.32748385,.19999981E-01,1.9570000,.33635938
88999,25910,.29160097,.31964729,.18000126E-01,1.9750001,.31176189
89999,26232,.29198944,.32656314,.18999815E-01,1.9940000,.28642085
90999,26546,.29224719,.31544366,.18000126E-01,2.0120001,.26178891
91999,26869,.29253037,.31829940,.17999887E-01,2.0300000,.23655253
92999,27207,.29290828,.32767596,.18000126E-01,2.0480001,.21024237
93999,27521,.29320089,.32041358,.17999887E-01,2.0660000,.18609840
94999,27851,.29351815,.32334031,.18000126E-01,2.0840001,.16080271
95999,28139,.29355756,.29730116,.17999887E-01,2.1020000,.13901780
96999,28451,.29371809,.30912904,.18000126E-01,2.1200001,.11542231
97999,28756,.29388388,.30996528,.21999836E-01,2.1420000,.92664068E-01
98999,29087,.29418744,.32393551,.18000126E-01,2.1600001,.67799363E-01
99999,29403,.29434788,.31023120,.17999887E-01,2.1780000,.44222222E-01
100999,29714,.29458611,.31840910,.19000053E-01,2.1970000,.21146329E-01
101916,30000,.29478116,.31626387,.16000032E-01,2.2130001,.0000000
