SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-7.4378927,-10.602866,13.914840,21.541231,1.2392130
-7.4378927,-10.602866,13.914840,21.541231,1.2392130
-6.8669389,-11.305132,14.502793,22.145923,1.0540452
-4.8338320,-11.356071,13.499396,20.976090,1.2356613
-4.8338320,-11.356071,13.499396,20.976090,1.2356613
-4.8338320,-11.356071,13.499396,20.976090,1.2356613
-3.4758616,-10.027649,13.937654,19.825461,.46733555
-3.4758616,-10.027649,13.937654,19.825461,.46733555
-3.4758616,-10.027649,13.937654,19.825461,.46733555
-4.2115435,-10.636030,14.984573,21.319248,.44011178
-3.5706868,-9.2199500,14.844420,18.647387,-.68944252
-3.5706868,-9.2199500,14.844420,18.647387,-.68944252
-3.5706868,-9.2199500,14.844420,18.647387,-.68944252
-3.5706868,-9.2199500,14.844420,18.647387,-.68944252
-3.3094856,-9.0187264,15.264621,19.139248,-.27247012
-3.7072436,-10.667025,14.028025,20.741966,1.2222009
-5.0712054,-10.628341,16.409775,21.785477,.55164749
-4.1338575,-10.086313,13.606279,18.988851,-.34942364
-3.4088744,-10.449107,15.529325,20.786118,-.29887925
-3.4088744,-10.449107,15.529325,20.786118,-.29887925
-3.2454929,-10.327866,15.688129,20.568316,-.47059199
-3.2454929,-10.327866,15.688129,20.568316,-.47059199
-5.7038197,-11.829467,13.173706,20.975463,1.0492449
-5.1445264,-11.408318,13.179041,19.322439,.29321225
-4.1810149,-11.330692,14.776581,20.111062,-.18167585
-4.1810149,-11.330692,14.776581,20.111062,-.18167585
-6.0383887,-10.081225,14.486124,19.316684,-1.4860493
-5.8294449,-10.534093,14.322737,19.105698,-1.7580566
-6.7170702,-11.193139,13.138850,18.480780,-1.6241558
-6.7170702,-11.193139,13.138850,18.480780,-1.6241558
-8.9424415,-9.2148450,15.636319,17.251643,-2.3383157
-5.8775308,-9.7307259,15.571613,18.495962,-2.5327908
-5.8775308,-9.7307259,15.571613,18.495962,-2.5327908
-7.2825434,-10.767926,15.338645,19.053258,-2.7794620
-4.8092235,-10.394193,16.389391,20.892103,.23727718E-01
-3.6165096,-10.432746,13.658521,19.761137,.74233549
-3.1410600,-9.8422381,14.196507,19.154146,-.17134864
-3.1410600,-9.8422381,14.196507,19.154146,-.17134864
