NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,221,.21991341,.21991341,.10000014,.10000014,8.9497866
2000,250,.12481753,.29721635E-01,.99999905E-01,.20000005,15.800004
3000,309,.10238689,.57525608E-01,.99999905E-01,.29999995,19.117473
4000,450,.11302439,.14493691,.11600018,.41600013,18.072894
5000,620,.12678604,.18183261,.11599994,.53200006,16.629292
6000,836,.14090155,.21147913,.11599994,.64800000,14.854392
7000,1082,.15469373,.23744680,.13800001,.78600001,13.742651
8000,1307,.16361729,.22608223,.11599994,.90199995,12.900601
9000,1518,.16997046,.22079582,.14700007,1.0490000,12.771817
10000,1760,.17694873,.23975310,.15400004,1.2030001,12.467455
11000,2005,.18271934,.24042548,.16899991,1.3720000,12.313785
12000,2220,.18658347,.22908892,.13100004,1.5030000,12.037541
13000,2473,.19170434,.25315481,.13199997,1.6350000,11.587806
14000,2707,.19498017,.23756597,.13800001,1.7730000,11.326372
15000,2917,.19693329,.22427685,.13100004,1.9040000,11.150508
16000,3161,.20025673,.25010835,.13199997,2.0360000,10.845999
17000,3393,.20224469,.23405210,.11599994,2.1520000,10.532939
18000,3642,.20472382,.24686897,.13499999,2.2869999,10.272033
19000,3928,.20832403,.27312780,.15000010,2.4370000,9.9713505
20000,4171,.20963548,.23455317,.13400006,2.5710001,9.7569793
21000,4432,.21233082,.26623763,.13199997,2.7030001,9.4946537
22000,4714,.21569074,.28624898,.14100003,2.8440001,9.2221862
23000,4940,.21632402,.23025622,.12199998,2.9660001,9.0420974
24000,5187,.21778128,.25129818,.12399983,3.0899999,8.8244011
25000,5429,.21898487,.24787110,.13300014,3.2230000,8.6502733
26000,5685,.22040296,.25585511,.13100004,3.3540001,8.4454725
27000,5945,.22201644,.26396711,.12399983,3.4779999,8.2225886
28000,6222,.22355709,.26515455,.13300014,3.6110001,7.9962004
29000,6438,.22384342,.23186051,.13199997,3.7430000,7.8848348
30000,6706,.22506393,.26045883,.12299991,3.8659999,7.6639730
31000,6962,.22591509,.25144992,.11800003,3.9840000,7.4609870
32000,7199,.22647933,.24397061,.13199997,4.1159999,7.3189214
33000,7445,.22725248,.25199339,.11600018,4.2320001,7.1367040
34000,7709,.22828245,.26227138,.13099980,4.3629999,6.9562371
35000,8012,.23019319,.29515838,.14500022,4.5080001,6.7451205
36000,8256,.23079696,.25192898,.12299991,4.6310000,6.5875078
37000,8491,.23144261,.25468603,.12199998,4.7530000,6.4423834
38000,8742,.23212801,.25748797,.13199997,4.8850000,6.2909323
39000,8995,.23294566,.26401627,.13100004,5.0160000,6.1368627
40000,9272,.23403181,.27639145,.13199997,5.1480000,5.9564003
41000,9544,.23485520,.26779100,.12300014,5.2710001,5.7746833
42000,9800,.23552566,.26301432,.13099980,5.4020000,5.6224897
43000,10091,.23665371,.28403207,.13199997,5.5339999,5.4341894
44000,10363,.23748846,.27338238,.13000011,5.6640000,5.2671976
45000,10632,.23827739,.27299064,.12500000,5.7890000,5.1007668
46000,10873,.23847306,.24727805,.12100005,5.9100001,4.9609648
47000,11142,.23907064,.26655927,.13299990,6.0430000,4.8042446
48000,11427,.23995773,.28165123,.13000011,6.1730001,4.6312357
49000,11694,.24058704,.27079368,.12500000,6.2980001,4.4733358
50000,12000,.24186049,.30425943,.14199996,6.4400001,4.2933334
51000,12283,.24279735,.28964040,.16000009,6.6000001,4.1465604
52000,12536,.24294091,.25026242,.12399983,6.7240000,4.0035048
53000,12805,.24344025,.26940583,.13199997,6.8559999,3.8523170
54000,13066,.24374144,.25970494,.12199998,6.9779999,3.7031572
55000,13314,.24374512,.24394389,.12200022,7.1000001,3.5654650
56000,13618,.24446404,.28400438,.14099979,7.2409999,3.3934544
57000,13906,.24525316,.28944364,.13400006,7.3750000,3.2319323
58000,14178,.24570307,.27134843,.12199998,7.4970000,3.0785396
59000,14436,.24596873,.26137707,.13000011,7.6270001,2.9396390
60000,14678,.24605027,.25086058,.11399984,7.7409999,2.8067585
61000,14917,.24605168,.24613626,.12300014,7.8640001,2.6796750
62000,15201,.24656456,.27785066,.13199997,7.9960001,2.5243605
63000,15483,.24716733,.28453873,.13299990,8.1289999,2.3715490
64000,15750,.24740525,.26239425,.13100004,8.2600000,2.2288889
65000,16052,.24818895,.29834596,.12300014,8.3830001,2.0618044
66000,16301,.24817719,.24741273,.12999988,8.5130000,1.9317580
67000,16592,.24889460,.29624337,.13400006,8.6470001,1.7760955
68000,16845,.24905409,.25974009,.12299991,8.7700000,1.6425853
69000,17089,.24915157,.25578013,.12300014,8.8930001,1.5148647
70000,17370,.24968475,.28647457,.13199997,9.0250001,1.3664796
71000,17614,.24962042,.24511688,.13299990,9.1580000,1.2405466
72000,17872,.24980089,.26261467,.12199998,9.2800000,1.1049597
73000,18121,.24991184,.25789984,.13100004,9.4110000,.97584399
74000,18397,.25030577,.27906285,.12500000,9.5360000,.83090765
75000,18670,.25068846,.27900724,.13199997,9.6680000,.68872201
76000,18943,.25105962,.27889680,.13300014,9.8010001,.54688577
77000,19208,.25126950,.26722080,.13099980,9.9319999,.40952436
78000,19458,.25135811,.25818065,.13300014,10.065000,.28035924
79000,19701,.25144372,.25812140,.12999988,10.195000,.15472844
79998,20000,.25194886,.29193515,.13499999,10.330000,.0000000
