ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
1,0,.22342706E-02,1.0000000,1,498,-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
1,0,.40934380E-02,.37041752,1,21,-1924.0479,-.58905883E-02,-.12569396E-01,.88565951E-02,.20041593E-01,.70996937,1.5023118,-.15011582E-02
1,0,.50931385E-02,.33488341,1,14,-1924.6306,-.27738458E-02,-.14817765E-01,.56464762E-02,.12563803E-01,.71846792,1.5010994,-.23385751E-02
1,0,.69428522E-02,.0000000,1,11,-1926.4241,-.55945434E-02,-.91565373E-02,.11236951E-01,.16063617E-01,.72272372,1.5018467,-.49694409E-02
1,0,.87066500E-02,.0000000,1,8,-1926.1276,-.16379936E-02,-.21102721E-01,.12275017E-01,.24181661E-01,.71830214,1.5017218,-.45945818E-02
1,0,.10405145E-01,.0000000,1,6,-1923.8943,.56794504E-02,-.21831460E-01,.11912111E-01,.31047431E-01,.72858457,1.4964638,-.12994797E-02
1,0,.11919850E-01,.26907639,1,5,-1925.1726,.12992067E-01,-.26493113E-01,.18207021E-01,.32899502E-01,.73208831,1.4947163,-.27282265E-02
1,0,.14474406E-01,.0000000,1,9,-1925.0375,.90828033E-02,-.27900266E-01,.21034819E-01,.31626261E-01,.72674967,1.4929771,-.25508409E-02
1,0,.14867776E-01,.0000000,1,1,-1926.4651,.11324765E-01,-.28838587E-01,.15861323E-01,.23776693E-01,.72116212,1.4965109,-.47616743E-02
1,0,.16526451E-01,.0000000,1,3,-1926.2530,.10046115E-01,-.30610864E-01,.18670564E-01,.26855782E-01,.72865095,1.4988446,-.40472845E-02
1,0,.18499151E-01,.0000000,1,6,-1924.2864,.97935174E-02,-.25386978E-01,.19667074E-01,.18551659E-01,.72861701,1.5015965,-.91964432E-03
1,0,.21378713E-01,.98506269,1,9,-1923.9662,.11161796E-01,-.30381059E-01,.18917483E-01,.17883562E-01,.73322156,1.5015193,.82978353E-04
1,0,.22374876E-01,.0000000,1,1,-1924.4587,.81873515E-02,-.30604882E-01,.19561313E-01,.21315588E-01,.73294978,1.5022001,-.83874153E-03
1,0,.22935176E-01,.0000000,1,1,-1925.4954,.12792863E-01,-.40448896E-01,.25598459E-01,.29033143E-01,.74151951,1.5015090,-.11921640E-02
