NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,236,.24440488,.24416047,2.1050000,2.1050000,87.089916
1999,564,.28727323,.33009871,2.2059999,4.3109999,72.125168
2999,764,.25912970,.20287077,1.9360001,6.2470000,75.520015
3999,959,.24401055,.19866822,2.3060000,8.5530000,80.633653
4999,1123,.22937935,.17086921,2.0899999,10.643000,84.129929
5999,1328,.22605812,.20945526,2.0360000,12.679000,82.795397
6999,1470,.21794904,.16930272,1.9430001,14.622000,84.847388
7999,1667,.21400176,.18637469,2.3529999,16.975000,84.854634
8999,1811,.20677076,.14892999,2.0470002,19.022000,86.013892
9999,1976,.20193899,.15845796,2.2800000,21.302000,86.501644
10999,2147,.19888448,.16834238,1.8049998,23.107000,84.517592
11999,2288,.19441947,.14530883,1.7580001,24.865000,83.810699
12999,2424,.19099262,.14987382,2.0209999,26.886000,84.029841
13999,2575,.18894007,.16225899,2.5230000,29.409000,84.800709
14999,2753,.18802905,.17527566,2.4060001,31.815000,83.749839
15999,2945,.18804733,.18832155,1.9050000,33.720000,80.779151
16999,3118,.18717082,.17314761,2.0209999,35.741000,78.886967
17999,3335,.18796386,.20144473,2.5920000,38.333000,76.608529
18999,3531,.18775602,.18401498,2.4909999,40.824000,74.791973
19999,3677,.18629855,.15860822,2.2210002,43.045000,74.020543
20999,3851,.18550916,.16972208,2.4380000,45.483000,72.623985
21999,4054,.18587495,.19355615,2.7449999,48.228000,70.735986
22999,4216,.18492296,.16398008,3.0080001,51.236000,70.291514
23999,4366,.18374183,.15657711,2.5909998,53.827000,69.459761
24999,4519,.18225143,.14648331,2.3930001,56.220000,68.188055
25999,4684,.18151829,.16319044,2.8989999,59.119000,67.095774
26999,4878,.18173882,.18747249,2.7920001,61.911000,65.007819
27999,5037,.18111189,.16418549,2.3520000,64.263000,63.318894
28999,5178,.18023922,.15580535,2.2909999,66.554000,61.978252
29999,5349,.17993934,.17124302,2.2750001,68.829000,59.847388
30999,5489,.17883850,.14581445,2.1740000,71.003000,58.352074
31999,5644,.17834965,.16319588,3.1889999,74.192000,57.260870
32999,5819,.17820207,.17347964,2.9850001,77.177000,55.452318
33999,5980,.17770014,.16113666,2.3899999,79.567000,53.488184
34999,6151,.17745775,.16921701,2.1210001,81.688000,51.116422
35999,6292,.17647048,.14191706,2.6849999,84.373000,49.722677
36999,6432,.17575668,.15006045,2.5290000,86.902000,48.206831
37999,6607,.17564887,.17165996,2.0430000,88.945000,45.677370
38999,6751,.17488117,.14570939,2.4219999,91.367000,43.971468
39999,6925,.17491754,.17633598,2.5020001,93.869000,41.681903
40999,7113,.17525345,.18868960,2.5950000,96.464000,39.152477
41999,7257,.17456487,.14633381,2.4530001,98.917000,37.388636
42999,7448,.17494971,.19111229,2.6980000,101.61500,34.817599
43999,7588,.17410668,.13785724,2.3320000,103.94700,33.041666
44999,7717,.17333802,.13951770,2.2270000,106.17400,31.410554
45999,7858,.17267435,.14280983,2.5019999,108.67600,29.623822
46999,8013,.17229228,.15471747,2.8130000,111.48900,27.646155
47999,8162,.17184891,.15101127,2.6380000,114.12700,25.700248
48999,8320,.17144035,.15182963,2.3530002,116.48000,23.520000
49999,8483,.17128798,.16382223,3.0939999,119.57400,21.383209
50999,8702,.17218265,.21691525,3.2260001,122.80000,18.316985
51999,8894,.17239337,.18313991,2.5280001,125.32800,15.584975
52999,9078,.17261461,.18411854,2.5690000,127.89700,12.989759
53999,9223,.17225929,.15342778,2.9280000,130.82500,11.021471
54999,9401,.17231164,.17513876,3.7570000,134.58200,8.5751109
55999,9549,.17186427,.14725910,2.7770000,137.35900,6.4874761
56999,9711,.17175699,.16574934,3.0480001,140.40700,4.1785216
57999,9879,.17171395,.16926065,2.7319999,143.13900,1.7531956
58738,10000,.17162753,.16484550,1.8110001,144.95000,.0000000
