SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1923.4813,.0000000,.0000000,.0000000,.0000000,.70000000,1.5000000,.0000000
-1924.0479,-.58905883E-02,-.12569396E-01,.88565951E-02,.20041593E-01,.70996937,1.5023118,-.15011582E-02
-1926.4241,-.55945434E-02,-.91565373E-02,.11236951E-01,.16063617E-01,.72272372,1.5018467,-.49694409E-02
-1926.4651,.11324765E-01,-.28838587E-01,.15861323E-01,.23776693E-01,.72116212,1.4965109,-.47616743E-02
-1924.1212,.11190023E-01,-.24925370E-01,.16159158E-01,.10556842E-01,.72776831,1.5016977,-.31363874E-03
-1924.3678,.93399830E-02,-.55382252E-02,.29048606E-02,-.38051073E-02,.71640653,1.4958013,-.10452830E-02
-1926.7322,.25565147E-02,-.12285681E-01,.85332602E-02,.28662357E-01,.72438146,1.4931223,-.57973654E-02
-1925.8466,.81773240E-02,-.25432286E-02,.29151998E-02,.54235244E-02,.71826374,1.4954140,-.40100754E-02
-1923.4733,.74107181E-02,-.10737037E-01,.11316082E-01,.11927304E-01,.70840559,1.4991203,-.53545330E-03
-1925.0024,-.23619616E-03,-.11687919E-01,.11673735E-01,.16449728E-01,.70742984,1.5028290,-.27721327E-02
-1926.6417,-.93564441E-02,.29170730E-01,-.16759854E-01,-.18937497E-01,.67834669,1.4987129,-.80623198E-03
