NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,221,.21991341,.21991341,.14100003,.14100003,12.619184
2000,250,.12481753,.29721635E-01,.12399983,.26499987,20.934989
3000,309,.10238689,.57525608E-01,.12500000,.38999987,24.852710
4000,450,.11302439,.14493691,.14000010,.52999997,23.025554
5000,620,.12678604,.18183261,.17599988,.70599985,22.068189
6000,836,.14090155,.21147913,.15400004,.85999990,19.714160
7000,1082,.15469373,.23744680,.17100000,1.0309999,18.026300
8000,1307,.16361729,.22608223,.19400001,1.2249999,17.520217
9000,1518,.16997046,.22079582,.16499996,1.3899999,16.923569
10000,1760,.17694873,.23975310,.17000008,1.5599999,16.167272
11000,2005,.18271934,.24042548,.15100002,1.7110000,15.356331
12000,2220,.18658347,.22908892,.16199994,1.8729999,15.000873
13000,2473,.19170434,.25315481,.15799999,2.0309999,14.394394
14000,2707,.19498017,.23756597,.15900016,2.1900001,13.990274
15000,2917,.19693329,.22427685,.19999981,2.3899999,13.996698
16000,3161,.20025673,.25010835,.16000009,2.5500000,13.584135
17000,3393,.20224469,.23405210,.14499998,2.6949999,13.190647
18000,3642,.20472382,.24686897,.16499996,2.8599999,12.845656
19000,3928,.20832403,.27312780,.16000009,3.0200000,12.356782
20000,4171,.20963548,.23455317,.20499992,3.2249999,12.238917
21000,4432,.21233082,.26623763,.16000009,3.3850000,11.890271
22000,4714,.21569074,.28624898,.16499996,3.5500000,11.511519
23000,4940,.21632402,.23025622,.17100000,3.7210000,11.343777
24000,5187,.21778128,.25129818,.15400004,3.8750000,11.066199
25000,5429,.21898487,.24787110,.15499997,4.0300000,10.816196
26000,5685,.22040296,.25585511,.15000010,4.1800001,10.525365
27000,5945,.22201644,.26396711,.15999985,4.3399999,10.260504
28000,6222,.22355709,.26515455,.16499996,4.5049999,9.9758740
29000,6438,.22384342,.23186051,.15000010,4.6550000,9.8060127
30000,6706,.22506393,.26045883,.14499998,4.8000000,9.5155382
31000,6962,.22591509,.25144992,.15000010,4.9500000,9.2700518
32000,7199,.22647933,.24397061,.17999983,5.1299999,9.1219792
33000,7445,.22725248,.25199339,.20000005,5.3299999,8.9883343
34000,7709,.22828245,.26227138,.16000009,5.4900000,8.7530925
35000,8012,.23019319,.29515838,.16499996,5.6550000,8.4613255
36000,8256,.23079696,.25192898,.15499997,5.8099999,8.2646123
37000,8491,.23144261,.25468603,.15000010,5.9600000,8.0783936
38000,8742,.23212801,.25748797,.15599990,6.1159999,7.8762214
39000,8995,.23294566,.26401627,.15499997,6.2709999,7.6723017
40000,9272,.23403181,.27639145,.17100000,6.4419999,7.4535996
41000,9544,.23485520,.26779100,.15199995,6.5939999,7.2241055
42000,9800,.23552566,.26301432,.15300012,6.7470000,7.0223877
43000,10091,.23665371,.28403207,.18300009,6.9300001,6.8050115
44000,10363,.23748846,.27338238,.15999985,7.0899999,6.5932963
45000,10632,.23827739,.27299064,.15300012,7.2430000,6.3819060
46000,10873,.23847306,.24727805,.15299988,7.3959999,6.2083410
47000,11142,.23907064,.26655927,.15400004,7.5500000,6.0023245
48000,11427,.23995773,.28165123,.16000009,7.7100000,5.7843555
49000,11694,.24058704,.27079368,.17499995,7.8850000,5.6005481
50000,12000,.24186049,.30425943,.16499996,8.0500000,5.3666666
51000,12283,.24279735,.28964040,.18000007,8.2300000,5.1706350
52000,12536,.24294091,.25026242,.21099997,8.4410000,5.0258156
53000,12805,.24344025,.26940583,.15400004,8.5950000,4.8294436
54000,13066,.24374144,.25970494,.14499998,8.7400000,4.6382336
55000,13314,.24374512,.24394389,.14999986,8.8899999,4.4643638
56000,13618,.24446404,.28400438,.16000009,9.0500000,4.2412322
57000,13906,.24525316,.28944364,.17000008,9.2200000,4.0404631
58000,14178,.24570307,.27134843,.15999985,9.3799999,3.8517675
59000,14436,.24596873,.26137707,.16000009,9.5400000,3.6769576
60000,14678,.24605027,.25086058,.16000009,9.7000000,3.5170596
61000,14917,.24605168,.24613626,.15199995,9.8520000,3.3570903
62000,15201,.24656456,.27785066,.15799999,10.010000,3.1601862
63000,15483,.24716733,.28453873,.19000006,10.200000,2.9757411
64000,15750,.24740525,.26239425,.24000001,10.440000,2.8171429
65000,16052,.24818895,.29834596,.17999983,10.620000,2.6119960
66000,16301,.24817719,.24741273,.15499997,10.775000,2.4450478
67000,16592,.24889460,.29624337,.17000008,10.945000,2.2481051
68000,16845,.24905409,.25974009,.15499997,11.100000,2.0789848
69000,17089,.24915157,.25578013,.17000008,11.270000,1.9197712
70000,17370,.24968475,.28647457,.25000000,11.520000,1.7442487
71000,17614,.24962042,.24511688,.16000009,11.680000,1.5821778
72000,17872,.24980089,.26261467,.14999986,11.830000,1.4085855
73000,18121,.24991184,.25789984,.16000009,11.990000,1.2432653
74000,18397,.25030577,.27906285,.16999984,12.160000,1.0595467
75000,18670,.25068846,.27900724,.17000008,12.330000,.87835565
76000,18943,.25105962,.27889680,.20000005,12.530000,.69916117
77000,19208,.25126950,.26722080,.16499996,12.695000,.52345064
78000,19458,.25135811,.25818065,.15899992,12.854000,.35804645
79000,19701,.25144372,.25812140,.16100001,13.015000,.19752728
79998,20000,.25194886,.29193515,.16500020,13.180000,.0000000
