ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.58437911E-02,1.0000000,1,174,-14934.435,.0000000,.0000000,.69299717
1,0,.70084609E-02,.59710651,1,10,-14936.143,.22474880E-02,-.19805900E-02,.69325269
1,0,.97499287E-02,.55087051,1,11,-14937.182,.65517433E-03,-.12880931E-02,.69343719
1,0,.15417321E-01,.0000000,1,5,-14934.860,.11326440E-02,-.99792998E-03,.69306099
1,0,.16647187E-01,.99735395,1,4,-14936.025,-.88935011E-03,.11757071E-04,.69325661
1,0,.21444030E-01,.0000000,1,1,-14935.806,-.98093405E-03,.17656202E-03,.69322040
1,0,.23961141E-01,.0000000,1,1,-14936.422,-.48387090E-03,-.35264730E-03,.69332076
1,0,.27073724E-01,.0000000,1,1,-14936.825,-.14124326E-03,-.70863206E-03,.69338503
1,0,.34491495E-01,.0000000,1,2,-14936.560,-.49379683E-03,-.40689569E-03,.69334324
1,0,.41404752E-01,.0000000,1,2,-14936.332,-.35598620E-03,-.44265088E-03,.69330605
1,0,.44421694E-01,.0000000,1,1,-14936.716,-.47274920E-03,-.47405149E-03,.69336856
1,0,.48907977E-01,.0000000,1,1,-14936.641,-.25802291E-03,-.57467297E-03,.69335571
1,0,.51521581E-01,.0000000,1,1,-14937.138,.43294790E-04,-.93620433E-03,.69343471
1,0,.59035144E-01,.20504870,1,3,-14937.638,.70240275E-03,-.15197342E-02,.69350980
1,0,.62958085E-01,.0000000,1,2,-14938.071,.39721644E-03,-.14603070E-02,.69358215
1,0,.67217366E-01,.0000000,1,1,-14936.929,-.33617499E-03,-.62202423E-03,.69340260
1,0,.71438102E-01,.0000000,1,1,-14935.852,-.65672140E-03,-.43793907E-04,.69322817
1,0,.75620813E-01,.0000000,1,1,-14934.976,-.45023587E-03,.92101510E-04,.69308559
1,0,.78237481E-01,.0000000,1,1,-14935.393,-.69263768E-03,.13460202E-03,.69315324
1,0,.81209462E-01,.0000000,1,1,-14935.688,-.23134977E-03,-.27597612E-03,.69320118
1,0,.83821492E-01,.0000000,1,1,-14936.091,-.48698937E-03,-.22388417E-03,.69326680
1,0,.87875379E-01,.0000000,1,1,-14935.279,-.29756319E-03,-.74237522E-04,.69313470
1,0,.89432003E-01,.0000000,1,1,-14936.098,.16904552E-03,-.65407904E-03,.69326602
1,0,.93425722E-01,.12312744,1,1,-14935.586,.64940209E-04,-.42828898E-03,.69318378
1,0,.95600919E-01,.0000000,1,1,-14936.111,-.16148704E-03,-.49106783E-03,.69326971
1,0,.98307470E-01,.0000000,1,1,-14936.442,.50015058E-03,-.10321148E-02,.69331977
1,0,.10221090,.0000000,1,1,-14935.888,.33852533E-03,-.76339385E-03,.69323157
1,0,.10608068,.0000000,1,1,-14935.451,.27774344E-03,-.58869776E-03,.69316139
1,0,.10821016,.0000000,1,1,-14935.958,.20129431E-03,-.71095172E-03,.69324364
1,0,.11202123,.0000000,1,1,-14935.850,.35382113E-03,-.78464016E-03,.69322538
1,0,.11782262,.0000000,1,2,-14935.969,.33830650E-03,-.79354210E-03,.69324466
1,0,.12063124,.0000000,1,1,-14936.213,.29289552E-03,-.85587075E-03,.69328429
1,0,.12728730,.0000000,1,2,-14935.707,.19449575E-03,-.61986611E-03,.69320308
1,0,.13023690,.18252628,1,1,-14935.887,.53404692E-03,-.89546666E-03,.69323024
1,0,.13384587,.0000000,1,1,-14935.466,.21667747E-03,-.55624508E-03,.69316403
1,0,.13642498,.0000000,1,1,-14935.743,.41786451E-03,-.80718232E-03,.69320784
1,0,.13905439,.0000000,1,1,-14935.997,.47322199E-03,-.92504892E-03,.69324846
1,0,.14258285,.0000000,1,1,-14935.888,.65452745E-03,-.10120548E-02,.69322963
1,0,.14608252,.0000000,1,1,-14935.408,.67399431E-03,-.86976162E-03,.69315234
1,0,.14936750,.0000000,1,1,-14935.455,.86723444E-03,-.10147517E-02,.69315850
1,0,.15646814,.0000000,1,5,-14934.727,.45841370E-03,-.54815203E-03,.69304397
1,0,.16252794,.28630801,1,5,-14935.257,.21648730E-03,-.57591811E-03,.69313071
1,0,.16578658,.0000000,1,1,-14934.667,.67650337E-03,-.67053954E-03,.69303309
1,0,.16889185,.0000000,1,1,-14934.700,.17053675E-03,-.35684428E-03,.69304076
1,0,.17210076,.0000000,1,1,-14934.663,.37636938E-03,-.48826828E-03,.69303401
1,0,.17403302,.0000000,1,2,-14934.827,.13839052E-03,-.39821791E-03,.69306150
