ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.64489323E-02,1.0000000,1,165,-14934.435,.0000000,.0000000,.69299717
1,0,.11437649E-01,.52988162,1,28,-14934.568,.70060750E-03,.18524574E-02,.69299881
1,0,.15541350E-01,.0000000,1,1,-14934.782,-.76452525E-03,.21385586E-02,.69303185
1,0,.18240674E-01,.99913710,1,10,-14935.180,-.45395201E-03,.31845694E-02,.69307789
1,0,.22624606E-01,.0000000,1,1,-14935.266,-.63784071E-03,.33755343E-02,.69308797
1,0,.26901418E-01,.0000000,1,1,-14935.368,-.56385942E-03,.38544201E-02,.69309459
1,0,.30834650E-01,.0000000,1,1,-14935.541,-.80720185E-03,.43018178E-02,.69311182
1,0,.35494098E-01,.0000000,1,1,-14935.530,-.59030799E-03,.45569382E-02,.69310485
1,0,.39699064E-01,.0000000,1,1,-14935.620,-.38458972E-03,.50954691E-02,.69310679
1,0,.48120894E-01,.0000000,1,3,-14935.847,-.24490521E-03,.60897901E-02,.69311714
1,0,.52589810E-01,.0000000,1,1,-14935.585,-.53528818E-04,.54464627E-02,.69309353
1,0,.56142549E-01,.0000000,1,1,-14935.792,.24179956E-03,.65588932E-02,.69309750
1,0,.63162165E-01,.19968351,1,2,-14935.486,.33513026E-03,.57310806E-02,.69307196
1,0,.67479390E-01,.0000000,1,1,-14935.325,.25954644E-03,.49408545E-02,.69306548
1,0,.70384677E-01,.0000000,1,1,-14935.680,.21190593E-03,.61055758E-02,.69309240
1,0,.74629496E-01,.0000000,1,1,-14935.552,-.25162750E-04,.54287617E-02,.69308893
1,0,.77197674E-01,.0000000,1,1,-14935.999,.15492122E-03,.71747245E-02,.69311144
1,0,.84047376E-01,.0000000,1,2,-14935.833,.16958600E-05,.65035757E-02,.69310425
1,0,.86969265E-01,.0000000,1,1,-14936.140,.84792325E-04,.76420221E-02,.69311822
1,0,.91045295E-01,.0000000,1,1,-14935.954,.25980668E-03,.72017135E-02,.69310400
1,0,.95085094E-01,.0000000,1,1,-14935.799,-.26821264E-03,.60905260E-02,.69310936
1,0,.99089142E-01,.0000000,1,1,-14935.656,-.28320306E-03,.55291863E-02,.69310170
1,0,.10305791,.0000000,1,1,-14935.608,-.40218843E-03,.52766743E-02,.69310020
1,0,.10699187,.26910376,1,1,-14935.497,-.31096133E-03,.49938466E-02,.69308988
1,0,.11089147,.0000000,1,1,-14935.190,-.41607058E-03,.35818940E-02,.69307189
1,0,.11475716,.0000000,1,1,-14934.677,-.55997956E-03,.89748206E-03,.69303073
1,0,.11858938,.0000000,1,1,-14934.647,-.59076035E-03,.72440192E-03,.69302776
1,0,.12238856,.0000000,1,1,-14934.562,-.53392459E-03,.21795931E-03,.69301866
1,0,.12785467,.0000000,1,5,-14934.413,-.43388826E-03,-.54773518E-03,.69299934
1,0,.13125596,.0000000,1,1,-14934.478,-.12950451E-03,.35950329E-03,.69300215
1,0,.13304005,.98129971E-01,1,4,-14934.522,-.22625343E-03,.40495747E-03,.69300930
1,0,.13552077,.0000000,1,1,-14934.829,-.38514189E-03,.19516378E-02,.69304167
1,0,.13906372,.0000000,1,1,-14934.587,-.28728641E-03,.84575368E-03,.69301600
1,0,.14257775,.0000000,1,1,-14934.519,-.17748306E-04,.10165752E-02,.69300239
1,0,.14606320,.0000000,1,1,-14934.510,.57087228E-04,.11919667E-02,.69299881
1,0,.14814787,.0000000,1,1,-14934.924,-.17911409E-04,.32173506E-02,.69303643
1,0,.15158275,.0000000,1,1,-14934.885,.43425812E-03,.36092892E-02,.69302320
1,0,.15437009,.0000000,1,2,-14934.877,.78024005E-03,.38874562E-02,.69301685
1,0,.15645386,.0000000,1,1,-14935.266,.10086552E-02,.56433790E-02,.69304138
1,0,.15980127,.20057098,1,1,-14935.228,.12822285E-02,.58438208E-02,.69303116
1,0,.16235074,.0000000,1,1,-14935.445,.12537428E-02,.65990052E-02,.69304596
1,0,.16564857,.0000000,1,1,-14935.295,.14239943E-02,.62851009E-02,.69303113
1,0,.16892054,.0000000,1,1,-14934.991,.13381647E-02,.49211292E-02,.69301475
1,0,.17157451,.0000000,1,1,-14935.155,.10866935E-02,.53110973E-02,.69303181
1,0,.17479795,.0000000,1,1,-14934.963,.99751234E-03,.45631916E-02,.69301736
1,0,.17758373,.0000000,1,1,-14935.075,.66460579E-03,.47527536E-02,.69303074
1,0,.18075908,.0000000,1,1,-14935.002,.19653400E-03,.38991985E-02,.69303628
1,0,.18290539,.0000000,1,1,-14935.305,.55067134E-03,.56027708E-02,.69304703
1,0,.18419116,.0000000,1,1,-14935.962,.31175240E-03,.77003023E-02,.69308949
1,0,.18730494,.0000000,1,1,-14935.540,.25986028E-03,.61615322E-02,.69306856
1,0,.19039503,.0000000,1,1,-14935.178,.25951593E-03,.48327618E-02,.69304447
1,0,.19346172,.23593544,1,1,-14934.904,.19258692E-03,.34584849E-02,.69302891
1,0,.19565390,.0000000,1,2,-14934.934,.20893380E-03,.38145201E-02,.69302702
1,0,.19657260,.0000000,1,1,-14935.753,.25407554E-03,.70129373E-02,.69307761
1,0,.19931474,.0000000,1,1,-14935.824,.49431923E-03,.75321250E-02,.69307422
1,0,.20082041,.0000000,1,1,-14936.327,.53816197E-03,.91943469E-02,.69309680
1,0,.20378034,.0000000,1,1,-14935.813,.72946237E-03,.78412229E-02,.69306415
1,0,.20595842,.0000000,1,2,-14935.150,.68502933E-03,.53933168E-02,.69302789
1,0,.20886700,.0000000,1,1,-14935.090,.55715136E-03,.50648579E-02,.69302572
1,0,.21175435,.0000000,1,1,-14934.822,.45927883E-04,.32390884E-02,.69301977
1,0,.21462069,.0000000,1,1,-14934.745,-.11432989E-04,.27516204E-02,.69301579
1,0,.21996628,.25095237,1,3,-14934.886,.33590496E-03,.35009934E-02,.69302533
1,0,.22196652,.0000000,1,2,-14934.666,.31752800E-03,.25568860E-02,.69300584
1,0,.22314709,.0000000,1,3,-14934.653,.69638111E-03,.29201182E-02,.69299777
1,0,.22618856,.0000000,1,3,-14935.005,.26667028E-03,.42198599E-02,.69303030
1,0,.22826940,.75939978E-01,1,4,-14934.736,.14700265E-03,.27038578E-02,.69301503
1,0,.23010157,.0000000,1,2,-14934.745,-.30212141E-03,.20200216E-02,.69302716
1,0,.23430344,.0000000,1,2,-14934.425,-.40948934E-03,-.85371252E-04,.69299834
1,0,.23587114,.0000000,1,2,-14934.495,-.43822477E-03,.63591074E-03,.69300376
1,0,.23808885,.0000000,1,1,-14934.606,-.82841219E-03,.11974761E-02,.69301670
1,0,.24064560,.0000000,1,1,-14934.600,-.98283018E-03,.58329338E-03,.69302299
1,0,.24214663,.15742926,1,4,-14934.424,-.84134891E-03,.84809343E-04,.69299890
1,0,.24350103,.0000000,1,2,-14934.534,-.13462316E-02,.76935106E-04,.69301851
1,0,.24570701,.0000000,1,1,-14934.621,-.17647234E-02,.17942275E-03,.69303288
1,0,.24704117,.0000000,1,1,-14935.046,-.19518662E-02,.19118213E-02,.69307800
1,0,.24936166,.0000000,1,1,-14935.088,-.16048157E-02,.22325922E-02,.69307938
1,0,.25247236,.0000000,1,2,-14935.252,-.15137185E-02,.30985535E-02,.69308971
1,0,.25488374,.0000000,1,1,-14934.852,-.16443052E-02,.13152891E-02,.69305583
1,0,.25727961,.0000000,1,1,-14934.665,-.15119362E-02,.64682619E-03,.69303412
1,0,.25949343,.23735304,1,1,-14934.718,-.18458953E-02,.43458906E-03,.69304587
1,0,.26185927,.0000000,1,1,-14934.374,-.22474912E-02,-.36101368E-02,.69301063
1,0,.26417083,.0000000,1,1,-14934.387,-.17008777E-02,-.26751250E-02,.69300926
1,0,.26717527,.0000000,1,5,-14934.593,-.15924176E-02,-.51783114E-03,.69303381
1,0,.26938625,.0000000,1,1,-14934.618,-.19300951E-02,-.11211931E-02,.69304348
1,0,.27166231,.0000000,1,1,-14934.514,-.19021401E-02,-.22787118E-02,.69303082
1,0,.27392423,.0000000,1,1,-14934.325,-.17390648E-02,-.36638213E-02,.69299788
1,0,.27492317,.0000000,1,1,-14934.842,-.16059212E-02,.88158401E-03,.69305998
1,0,.27716106,.12847775,1,1,-14934.668,-.22182840E-02,-.16060652E-02,.69305545
1,0,.28232464,.0000000,1,3,-14934.651,-.13945051E-02,-.76727674E-03,.69304387
1,0,.28379130,.0000000,1,1,-14934.921,-.46796949E-03,.18864155E-02,.69305747
1,0,.28465203,.0000000,1,2,-14935.564,-.93118870E-03,.43464587E-02,.69311415
1,0,.28675873,.0000000,1,1,-14935.583,-.14529634E-02,.39837413E-02,.69312379
1,0,.28829492,.0000000,1,1,-14935.810,-.19159707E-02,.43368105E-02,.69314989
1,0,.29043217,.0000000,1,1,-14935.524,-.29513959E-02,.22108591E-02,.69314801
1,0,.29255663,.0000000,1,1,-14935.324,-.30312031E-02,.11529635E-02,.69313460
1,0,.29466840,.0000000,1,1,-14935.235,-.33168147E-02,.71338897E-03,.69312702
1,0,.29667699,.18105888,1,1,-14935.266,-.38295475E-02,.32160600E-03,.69313771
1,0,.29876400,.0000000,1,1,-14935.247,-.39020997E-02,.20043343E-03,.69313630
1,0,.30217846,.0000000,1,2,-14935.121,-.48965751E-02,-.23053453E-02,.69314402
1,0,.30349218,.0000000,1,1,-14935.411,-.43502830E-02,.33214455E-03,.69316059
1,0,.30553473,.0000000,1,1,-14935.256,-.43835605E-02,-.96449202E-03,.69315269
1,0,.30756533,.0000000,1,1,-14934.926,-.49990384E-02,-.50865001E-02,.69311873
1,0,.30958409,.0000000,1,1,-14934.908,-.51974671E-02,-.85491219E-02,.69308678
1,0,.31148075,.0000000,1,1,-14934.946,-.41256425E-02,-.28916702E-02,.69311558
1,0,.31283058,.0000000,1,1,-14935.199,-.42060009E-02,-.68362775E-03,.69314001
1,0,.31428309,.0000000,1,1,-14935.403,-.52458089E-02,-.13479037E-02,.69318158
1,0,.31625922,.0000000,1,1,-14935.290,-.52715624E-02,-.23574981E-02,.69317271
1,0,.31788523,.34694748,1,1,-14935.415,-.41689438E-02,.46907404E-03,.69315937
1,0,.31983971,.0000000,1,1,-14935.218,-.37274660E-02,-.24888905E-03,.69313751
1,0,.32278695,.0000000,1,2,-14934.938,-.22652769E-02,.26233404E-04,.69308668
1,0,.32471085,.0000000,1,1,-14934.859,-.39188933E-02,-.40483308E-02,.69310148
1,0,.32616726,.0000000,1,1,-14935.035,-.53175510E-02,-.52219672E-02,.69313830
1,0,.32971197,.0000000,1,2,-14934.931,-.50785486E-02,-.62055699E-02,.69311474
1,0,.33051610,.0000000,1,1,-14935.416,-.67395471E-02,-.13712707E-01,.69307688
1,0,.33236776,.0000000,1,1,-14935.424,-.71923472E-02,-.12517177E-01,.69312130
1,0,.33405996,.0000000,1,1,-14935.488,-.82860142E-02,-.12230817E-01,.69315787
1,0,.33541420,.0000000,1,1,-14935.686,-.92319290E-02,-.13742781E-01,.69316891
1,0,.33726027,.34269657,1,1,-14935.542,-.86769766E-02,-.12978269E-01,.69315550
1,0,.33877930,.0000000,1,1,-14935.664,-.90685235E-02,-.14957299E-01,.69312690
1,0,.34060587,.0000000,1,1,-14935.586,-.91412455E-02,-.14190686E-01,.69313877
1,0,.34242239,.0000000,1,1,-14935.358,-.87896133E-02,-.84218688E-02,.69320253
1,0,.34422892,.0000000,1,1,-14935.321,-.84633915E-02,-.85467263E-02,.69319237
1,0,.34602555,.0000000,1,1,-14935.246,-.81932020E-02,-.87230408E-02,.69317577
1,0,.34711423,.0000000,1,1,-14935.541,-.94090632E-02,-.13092181E-01,.69316506
1,0,.34803813,.0000000,1,1,-14935.918,-.11126107E-01,-.14576470E-01,.69321782
1,0,.34871633,.0000000,1,1,-14936.433,-.10870902E-01,-.18767812E-01,.69315246
1,0,.35048133,.0000000,1,1,-14936.162,-.11404552E-01,-.16546464E-01,.69320420
1,0,.35223678,.0000000,1,1,-14935.860,-.10504129E-01,-.15247571E-01,.69317831
1,0,.35265764,.0000000,1,1,-14936.537,-.13633434E-01,-.17654061E-01,.69327293
1,0,.35369938,.32698859,1,1,-14936.837,-.14843860E-01,-.19364071E-01,.69328641
1,0,.35506397,.0000000,1,1,-14936.985,-.14396560E-01,-.20424034E-01,.69325860
1,0,.35678839,.0000000,1,1,-14936.047,-.10720610E-01,-.16937501E-01,.69315775
1,0,.35784077,.0000000,1,2,-14935.585,-.78752847E-02,-.13408364E-01,.69313630
1,0,.35946865,.0000000,1,1,-14935.614,-.82095212E-02,-.13540331E-01,.69314372
1,0,.36116317,.0000000,1,1,-14935.494,-.63326741E-02,-.14577365E-01,.69305181
1,0,.35999916,.0000000,1,4,-14934.964,-.40887272E-02,-.11939152E-01,.69300098
1,0,.35907774,.19340854,1,9,-14935.177,-.61412424E-02,-.12366427E-01,.69306539
1,0,.35996749,.0000000,1,1,-14935.523,-.68010198E-02,-.15856116E-01,.69302079
1,0,.36118228,.0000000,1,1,-14935.700,-.96326766E-02,-.15803376E-01,.69311716
1,0,.36271256,.0000000,1,2,-14935.518,-.96606453E-02,-.14259077E-01,.69313557
1,0,.36403232,.16457072,1,2,-14935.132,-.76535192E-02,-.61933562E-02,.69316846
1,0,.36563023,.0000000,1,1,-14934.768,-.38797650E-02,-.14016889E-02,.69307707
1,0,.36722013,.0000000,1,1,-14934.441,-.46831780E-02,-.77205385E-02,.69301631
1,0,.36796216,.0000000,1,1,-14934.850,-.76332659E-02,-.11175551E-01,.69306722
1,0,.36940311,.0000000,1,1,-14934.906,-.76459120E-02,-.90427027E-02,.69311119
1,0,.37025714,.0000000,1,2,-14935.742,-.13175530E-01,-.10619501E-01,.69328272
1,0,.37181591,.0000000,1,1,-14935.330,-.91460297E-02,-.49584933E-02,.69320547
1,0,.37270145,.0000000,1,1,-14935.644,-.70158920E-02,-.77969246E-04,.69319965
1,0,.37332700,.0000000,1,2,-14935.064,-.61403187E-02,-.13550026E-02,.69312755
1,0,.37472793,.24805856,1,1,-14935.121,-.79252116E-02,-.33445204E-02,.69315862
1,0,.37593150,.0000000,1,2,-14935.330,-.10821551E-01,-.50990165E-02,.69320884
1,0,.37744992,.0000000,1,1,-14935.120,-.73095424E-02,-.15580652E-02,.69313841
1,0,.37896096,.0000000,1,1,-14935.001,-.10338660E-01,-.81394195E-02,.69315866
1,0,.38040273,.0000000,1,1,-14935.027,-.92185557E-02,-.61785140E-02,.69316026
1,0,.38189935,.0000000,1,1,-14934.932,-.10511488E-01,-.12571173E-01,.69309515
1,0,.38338875,.0000000,1,1,-14934.810,-.58190746E-02,-.21049909E-02,.69309451
1,0,.38345509,.0000000,1,1,-14935.700,-.13537920E-01,-.13560321E-01,.69324047
1,0,.38489602,.0000000,1,1,-14935.715,-.11982807E-01,-.91031407E-02,.69328035
1,0,.38533057,.0000000,1,1,-14936.284,-.15037248E-01,-.97554012E-02,.69338506
1,0,.38597880,.0000000,1,1,-14936.704,-.17420756E-01,-.17319458E-01,.69337308
1,0,.38744075,.26218241,1,1,-14936.298,-.15725801E-01,-.12557121E-01,.69337373
1,0,.38794946,.0000000,1,1,-14936.806,-.15764969E-01,-.73686954E-02,.69346310
1,0,.38809598,.0000000,1,1,-14937.605,-.74991801E-02,.57497978E-02,.69334092
1,0,.38954256,.0000000,1,1,-14937.461,.79463114E-03,.12823084E-01,.69312113
1,0,.39098232,.0000000,1,1,-14936.347,.30388361E-02,.11910324E-01,.69301618
1,0,.39241530,.0000000,1,1,-14934.534,-.50324031E-02,-.69769248E-02,.69304401
1,0,.39220012,.0000000,1,4,-14934.465,-.56086535E-02,-.70346518E-02,.69303867
1,0,.39313191,.0000000,1,2,-14934.756,.12700930E-03,.37428743E-02,.69299970
1,0,.39162523,.16837268,1,3,-14935.399,.71010156E-03,.72562455E-02,.69301624
1,0,.39302380,.0000000,1,1,-14935.322,.17369999E-02,.72251408E-02,.69301072
1,0,.39441594,.0000000,1,1,-14934.732,-.32672260E-02,-.53191580E-02,.69307005
1,0,.39542149,.0000000,1,5,-14934.773,-.39910069E-02,-.43090266E-02,.69308777
1,0,.39643003,.0000000,1,1,-14934.946,-.56512004E-02,-.50976396E-02,.69312676
1,0,.39711334,.0000000,1,1,-14935.303,-.22326483E-02,.56285366E-03,.69313916
1,0,.39633243,.14514169,1,2,-14936.109,-.18543102E-03,.59630792E-02,.69316319
1,0,.39428602,.0000000,1,5,-14935.775,.51896902E-02,.97809721E-02,.69302292
1,0,.39296779,.0000000,1,5,-14935.335,.23365752E-02,.66342367E-02,.69303168
1,0,.39343620,.14780254,1,2,-14934.731,.20350225E-02,.21256570E-02,.69301692
1,0,.39425051,.0000000,1,1,-14934.997,-.38029760E-02,-.35978898E-02,.69312299
1,0,.39485521,.0000000,1,1,-14935.394,-.28199164E-02,.13429349E-02,.69314295
1,0,.39495615,.0000000,1,2,-14935.998,-.10922321E-01,-.68640356E-02,.69332511
1,0,.39626577,.0000000,1,1,-14935.856,-.11559858E-01,-.13749315E-01,.69323501
1,0,.39309072,.0000000,1,5,-14937.566,-.18106941E-01,-.23335767E-01,.69331386
1,0,.39438753,.15293871,1,1,-14937.127,-.14296124E-01,-.23096080E-01,.69315400
1,0,.39436102,.0000000,1,1,-14938.089,-.15708141E-01,-.27203314E-01,.69311611
1,0,.39326831,.0000000,1,2,-14939.384,-.17414349E-01,-.32067515E-01,.69304122
1,0,.39360080,.0000000,1,1,-14939.981,-.17627756E-01,-.33305327E-01,.69304648
1,0,.39488283,.0000000,1,1,-14938.785,-.14328564E-01,-.29008356E-01,.69305352
1,0,.39615944,.0000000,1,1,-14935.690,-.11452749E-01,-.17670493E-01,.69308964
1,0,.39659575,.0000000,1,2,-14935.281,-.77656075E-02,.72739105E-03,.69312075
1,0,.39786075,.0000000,1,1,-14934.670,-.13624901E-01,-.12077188E-01,.69309712
1,0,.39912045,.0000000,1,1,-14934.393,-.12942362E-01,-.12175774E-01,.69304424
1,0,.39574579,.21876968,1,7,-14934.354,-.11573079E-01,-.77118243E-02,.69306131
1,0,.39516657,.0000000,1,1,-14936.523,-.22367194E-01,-.95155023E-02,.69340934
1,0,.39321094,.0000000,1,4,-14940.357,-.14623511E-01,.90342902E-02,.69346167
1,0,.39228115,.22019771,1,4,-14940.020,-.15594039E-01,.85398049E-02,.69341000
1,0,.39317633,.0000000,1,2,-14936.826,-.21958943E-01,-.80455235E-02,.69344087
1,0,.39272250,.0000000,1,4,-14936.655,-.27432609E-01,-.19110544E-01,.69341682
1,0,.39315021,.0000000,1,2,-14935.899,-.21541488E-01,-.98191358E-02,.69331557
1,0,.39435667,.0000000,1,1,-14934.535,-.15915754E-01,-.65661319E-02,.69308468
1,0,.39464561,.20827522,1,2,-14934.603,-.15048019E-01,-.95126470E-02,.69311186
1,0,.37947820,.13081758,1,25,-14934.430,.14919815E-03,-.13819817E-02,.69300063
1,0,.36609819,.12283884,1,22,-14934.552,-.62737670E-02,.13583259E-03,.69302182
1,0,.36592127,.0000000,1,2,-14935.007,-.47720373E-02,.38168750E-02,.69301730
1,0,.36630949,.0000000,1,1,-14935.550,.19497230E-04,.23061303E-02,.69315169
1,0,.36307138,.0000000,1,6,-14936.514,.19470575E-03,.91419947E-02,.69312529
1,0,.36240519,.0000000,1,2,-14937.561,-.10846486E-01,.39750236E-02,.69335526
1,0,.36154911,.10623524,1,4,-14937.597,-.14531747E-01,-.26338844E-01,.69305116
1,0,.36013697,.0000000,1,5,-14934.774,-.54254435E-02,-.51783476E-02,.69309733
1,0,.35930089,.0000000,1,3,-14935.296,-.84503213E-02,-.82140391E-02,.69319105
1,0,.35593579,.11278419,1,10,-14934.930,.44544432E-02,.36799668E-02,.69302089
1,0,.33830551,.10985984,1,37,-14935.031,.32980975E-02,-.24859467E-02,.69305791
1,0,.32601539,.10006174,1,28,-14935.226,-.52776097E-02,-.10110283E-02,.69314928
1,0,.32405075,.0000000,1,4,-14939.193,-.25610158E-01,-.13567089E-01,.69386266
1,0,.32314432,.0000000,1,5,-14938.036,-.16681455E-01,-.20133734E-01,.69349074
1,0,.29199377,.41014473,1,77,-14937.298,-.74632295E-02,.58218943E-02,.69328874
1,0,.26625191,.0000000,1,76,-14935.909,-.21714940E-01,-.57955018E-02,.69324626
1,0,.26683826,.0000000,1,2,-14935.263,-.20954097E-01,-.11075743E-01,.69322246
1,0,.25787404,.81696837E-01,1,30,-14936.485,-.22998217E-01,-.10807382E-01,.69341263
1,0,.23835114,.0000000,1,74,-14936.095,-.13589969E-01,-.21994252E-01,.69302249
1,0,.18348982,.0000000,1,285,-14935.337,-.37754385E-01,-.20678717E-01,.69315842
1,0,.18153309,.23647641,1,16,-14936.039,-.43445177E-01,-.23163989E-01,.69321508
1,0,.18013689,.0000000,1,15,-14934.568,-.12225059E-01,-.51014617E-02,.69308448
1,0,.17679561,.0000000,1,29,-14934.430,-.14908992E-01,-.51475022E-02,.69305367
1,0,.17711948,.0000000,1,2,-14935.678,-.31873538E-01,-.98638720E-02,.69314782
1,0,.16509463,.20682085E-01,1,101,-14935.382,-.42255685E-01,-.19488855E-01,.69309816
1,0,.15840053,.0000000,1,65,-14935.193,-.39574951E-01,-.24038739E-01,.69310550
1,0,.15487802,.0000000,1,40,-14934.278,-.14380555E-01,-.12836788E-01,.69303036
1,0,.14997399,.82225439E-01,1,60,-14936.036,-.15368717E-01,-.16424113E-01,.69325744
1,0,.14624763,.0000000,1,53,-14935.965,.14609068E-02,.77273824E-02,.69309720
1,0,.14532048,.0000000,1,12,-14937.707,-.99297781E-02,.45324221E-02,.69337067
1,0,.14576438,.0000000,1,2,-14934.514,-.22396003E-01,-.97106150E-02,.69308173
1,0,.14178220,.38980668E-01,1,50,-14935.154,-.17999764E-01,-.14197086E-02,.69304918
1,0,.14102948,.0000000,1,10,-14936.930,-.41197256E-01,-.33316822E-01,.69316878
