NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,221,.21991341,.21991341,.11400008,.11400008,10.202749
2000,250,.12481753,.29721635E-01,.11400008,.22800016,18.012013
3000,309,.10238689,.57525608E-01,.99999905E-01,.32800007,20.901778
4000,450,.11302439,.14493691,.14400005,.47200012,20.505783
5000,620,.12678604,.18183261,.12800002,.60000014,18.754843
6000,836,.14090155,.21147913,.12800002,.72800016,16.688272
7000,1082,.15469373,.23744680,.14199996,.87000012,15.211333
8000,1307,.16361729,.22608223,.14199996,1.0120001,14.473847
9000,1518,.16997046,.22079582,.14000010,1.1520002,14.025868
10000,1760,.17694873,.23975310,.12399983,1.2760000,13.224000
11000,2005,.18271934,.24042548,.16000009,1.4360001,12.888191
12000,2220,.18658347,.22908892,.17100000,1.6070001,12.870478
13000,2473,.19170434,.25315481,.14199996,1.7490001,12.395764
14000,2707,.19498017,.23756597,.13100004,1.8800001,12.009916
15000,2917,.19693329,.22427685,.12999988,2.0100000,11.771282
16000,3161,.20025673,.25010835,.12400007,2.1340001,11.368057
17000,3393,.20224469,.23405210,.13100004,2.2650001,11.086017
18000,3642,.20472382,.24686897,.15899992,2.4240000,10.887367
19000,3928,.20832403,.27312780,.18499994,2.6090000,10.675114
20000,4171,.20963548,.23455317,.15700006,2.7660000,10.497007
21000,4432,.21233082,.26623763,.14000010,2.9060001,10.207719
22000,4714,.21569074,.28624898,.14400005,3.0500002,9.8901788
23000,4940,.21632402,.23025622,.12199998,3.1720002,9.6701058
24000,5187,.21778128,.25129818,.14199996,3.3140001,9.4640995
25000,5429,.21898487,.24787110,.14199996,3.4560001,9.2756267
26000,5685,.22040296,.25585511,.13199997,3.5880001,9.0346914
27000,5945,.22201644,.26396711,.13000011,3.7180002,8.7899903
28000,6222,.22355709,.26515455,.14399981,3.8620000,8.5520148
29000,6438,.22384342,.23186051,.13100004,3.9930000,8.4114735
30000,6706,.22506393,.26045883,.14199996,4.1350000,8.1972398
31000,6962,.22591509,.25144992,.13199997,4.2670000,7.9909718
32000,7199,.22647933,.24397061,.13100004,4.3980000,7.8203637
33000,7445,.22725248,.25199339,.14000010,4.5380001,7.6527322
34000,7709,.22828245,.26227138,.12299991,4.6610000,7.4313596
35000,8012,.23019319,.29515838,.15300012,4.8140001,7.2029747
36000,8256,.23079696,.25192898,.15199995,4.9660001,7.0640389
37000,8491,.23144261,.25468603,.14299989,5.1090000,6.9249182
38000,8742,.23212801,.25748797,.14200020,5.2510002,6.7622695
39000,8995,.23294566,.26401627,.13199997,5.3830001,6.5858718
40000,9272,.23403181,.27639145,.15299988,5.5360000,6.4053287
41000,9544,.23485520,.26779100,.13199997,5.6680000,6.2096194
42000,9800,.23552566,.26301432,.14000010,5.8080001,6.0450613
43000,10091,.23665371,.28403207,.13400006,5.9420002,5.8348310
44000,10363,.23748846,.27338238,.14199996,6.0840001,5.6577737
45000,10632,.23827739,.27299064,.14199996,6.2260001,5.4858135
46000,10873,.23847306,.24727805,.13199997,6.3580000,5.3370244
47000,11142,.23907064,.26655927,.13899994,6.4970000,5.1651791
48000,11427,.23995773,.28165123,.13400006,6.6310000,4.9748458
49000,11694,.24058704,.27079368,.13899994,6.7700000,4.8085873
50000,12000,.24186049,.30425943,.14400005,6.9140000,4.6093334
51000,12283,.24279735,.28964040,.14199996,7.0560000,4.4330499
52000,12536,.24294091,.25026242,.14100003,7.1970000,4.2851315
53000,12805,.24344025,.26940583,.13100004,7.3280001,4.1175291
54000,13066,.24374144,.25970494,.13199997,7.4600000,3.9589500
55000,13314,.24374512,.24394389,.13100004,7.5910001,3.8120344
56000,13618,.24446404,.28400438,.16199994,7.7530000,3.6334004
57000,13906,.24525316,.28944364,.13199997,7.8850000,3.4554286
58000,14178,.24570307,.27134843,.13199997,8.0170000,3.2920704
59000,14436,.24596873,.26137707,.13200021,8.1490002,3.1408310
60000,14678,.24605027,.25086058,.13299990,8.2820001,3.0029162
61000,14917,.24605168,.24613626,.14000010,8.4220002,2.8698148
62000,15201,.24656456,.27785066,.13399982,8.5560000,2.7011541
63000,15483,.24716733,.28453873,.15300012,8.7090001,2.5407578
64000,15750,.24740525,.26239425,.12899995,8.8380001,2.3848572
65000,16052,.24818895,.29834596,.13199997,8.9700000,2.2061774
66000,16301,.24817719,.24741273,.13400006,9.1040001,2.0658669
67000,16592,.24889460,.29624337,.15000010,9.2540002,1.9007734
68000,16845,.24905409,.25974009,.12399983,9.3780000,1.7564613
69000,17089,.24915157,.25578013,.14199996,9.5200000,1.6216701
70000,17370,.24968475,.28647457,.13100004,9.6510000,1.4612625
71000,17614,.24962042,.24511688,.13000011,9.7810001,1.3249385
72000,17872,.24980089,.26261467,.12500000,9.9060001,1.1794969
73000,18121,.24991184,.25789984,.13100004,10.037000,1.0407551
74000,18397,.25030577,.27906285,.16199994,10.199000,.88867735
75000,18670,.25068846,.27900724,.14199996,10.341000,.73666471
76000,18943,.25105962,.27889680,.13899994,10.480000,.58477327
77000,19208,.25126950,.26722080,.13400006,10.614000,.43764515
78000,19458,.25135811,.25818065,.14199996,10.756000,.29960695
79000,19701,.25144372,.25812140,.15300012,10.909000,.16556475
79998,20000,.25194886,.29193515,.15199995,11.061000,.0000000
