NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,221,.21991341,.21991341,.13800001,.13800001,12.350689
2000,250,.12481753,.29721635E-01,.10699987,.24499989,19.354991
3000,309,.10238689,.57525608E-01,.10500002,.34999990,22.303716
4000,450,.11302439,.14493691,.13199997,.48199987,20.940217
5000,620,.12678604,.18183261,.13100004,.61299992,19.161191
6000,836,.14090155,.21147913,.13100004,.74399996,17.055042
7000,1082,.15469373,.23744680,.14100003,.88499999,15.473595
8000,1307,.16361729,.22608223,.12800002,1.0130000,14.488148
9000,1518,.16997046,.22079582,.13599992,1.1489999,13.989339
10000,1760,.17694873,.23975310,.13599992,1.2849998,13.317271
11000,2005,.18271934,.24042548,.13400006,1.4189999,12.735613
12000,2220,.18658347,.22908892,.13199997,1.5509999,12.421972
13000,2473,.19170434,.25315481,.54200006,2.0929999,14.833809
14000,2707,.19498017,.23756597,.14400005,2.2370000,14.290521
15000,2917,.19693329,.22427685,.12500000,2.3620000,13.832721
16000,3161,.20025673,.25010835,.12699986,2.4889998,13.259180
17000,3393,.20224469,.23405210,.12400007,2.6129999,12.789298
18000,3642,.20472382,.24686897,.13299990,2.7459998,12.333626
19000,3928,.20832403,.27312780,.13700008,2.8829999,11.796226
20000,4171,.20963548,.23455317,.12800002,3.0109999,11.426784
21000,4432,.21233082,.26623763,.13899994,3.1499999,11.064801
22000,4714,.21569074,.28624898,.13899994,3.2889998,10.665178
23000,4940,.21632402,.23025622,.12900019,3.4180000,10.420057
24000,5187,.21778128,.25129818,.18199992,3.5999999,10.280856
25000,5429,.21898487,.24787110,.19799995,3.7979999,10.193527
26000,5685,.22040296,.25585511,.21600008,4.0139999,10.107372
27000,5945,.22201644,.26396711,.21499991,4.2289999,9.9980812
28000,6222,.22355709,.26515455,.13800001,4.3669999,9.6702867
29000,6438,.22384342,.23186051,.12899995,4.4959998,9.4710701
30000,6706,.22506393,.26045883,.13300014,4.6289999,9.1765472
31000,6962,.22591509,.25144992,.12599993,4.7549999,8.9048676
32000,7199,.22647933,.24397061,.13000011,4.8850000,8.6863293
33000,7445,.22725248,.25199339,.13399982,5.0189998,8.4638741
34000,7709,.22828245,.26227138,.13100004,5.1499999,8.2110064
35000,8012,.23019319,.29515838,.14700007,5.2969999,7.9256659
36000,8256,.23079696,.25192898,.14999986,5.4469998,7.7482516
37000,8491,.23144261,.25468603,.13000011,5.5769999,7.5592618
38000,8742,.23212801,.25748797,.13499999,5.7119999,7.3559477
39000,8995,.23294566,.26401627,.14199996,5.8539999,7.1621199
40000,9272,.23403181,.27639145,.14100003,5.9949999,6.9364063
41000,9544,.23485520,.26779100,.13299990,6.1279998,6.7135756
42000,9800,.23552566,.26301432,.13600016,6.2639999,6.5196734
43000,10091,.23665371,.28403207,.21000004,6.4740000,6.3572357
44000,10363,.23748846,.27338238,.13299990,6.6069999,6.1441337
45000,10632,.23827739,.27299064,.14000010,6.7470000,5.9448736
46000,10873,.23847306,.24727805,.12999988,6.8769999,5.7726826
47000,11142,.23907064,.26655927,.13499999,7.0119998,5.5746091
48000,11427,.23995773,.28165123,.13000011,7.1420000,5.3582188
49000,11694,.24058704,.27079368,.13800001,7.2800000,5.1708295
50000,12000,.24186049,.30425943,.14800000,7.4280000,4.9520000
51000,12283,.24279735,.28964040,.14499998,7.5730000,4.7578638
52000,12536,.24294091,.25026242,.13499999,7.7079999,4.5893835
53000,12805,.24344025,.26940583,.15999985,7.8679998,4.4209495
54000,13066,.24374144,.25970494,.12600017,7.9940000,4.2423386
55000,13314,.24374512,.24394389,.12800002,8.1220000,4.0786910
56000,13618,.24446404,.28400438,.13599992,8.2579999,3.8700657
57000,13906,.24525316,.28944364,.13400006,8.3920000,3.6776102
58000,14178,.24570307,.27134843,.17799997,8.5699999,3.5191522
59000,14436,.24596873,.26137707,.13400006,8.7040000,3.3547420
60000,14678,.24605027,.25086058,.12500000,8.8290000,3.2012494
61000,14917,.24605168,.24613626,.11899996,8.9480000,3.0490503
62000,15201,.24656456,.27785066,.12699986,9.0749998,2.8650039
63000,15483,.24716733,.28453873,.14600015,9.2210000,2.6901283
64000,15750,.24740525,.26239425,.13199997,9.3529999,2.5238254
65000,16052,.24818895,.29834596,.13299990,9.4859998,2.3330879
66000,16301,.24817719,.24741273,.12900019,9.6150000,2.1818223
67000,16592,.24889460,.29624337,.14099979,9.7559998,2.0038842
68000,16845,.24905409,.25974009,.13000011,9.8859999,1.8516076
69000,17089,.24915157,.25578013,.13999987,10.026000,1.7078639
70000,17370,.24968475,.28647457,.14000010,10.166000,1.5392389
71000,17614,.24962042,.24511688,.14700007,10.313000,1.3970034
72000,17872,.24980089,.26261467,.14100003,10.454000,1.2447466
73000,18121,.24991184,.25789984,.13099980,10.585000,1.0975782
74000,18397,.25030577,.27906285,.13499999,10.720000,.93407402
75000,18670,.25068846,.27900724,.14000010,10.860000,.77363684
76000,18943,.25105962,.27889680,.13299990,10.993000,.61339813
77000,19208,.25126950,.26722080,.13700008,11.130000,.45892128
78000,19458,.25135811,.25818065,.13499999,11.265000,.31378507
79000,19701,.25144372,.25812140,.12800002,11.393000,.17291036
79998,20000,.25194886,.29193515,.14100003,11.534000,.0000000
