SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14934.568,.70060750E-03,.18524574E-02,.69299881
-14934.568,.70060750E-03,.18524574E-02,.69299881
-14935.266,-.63784071E-03,.33755343E-02,.69308797
-14935.799,-.26821264E-03,.60905260E-02,.69310936
-14934.522,-.22625343E-03,.40495747E-03,.69300930
-14935.075,.66460579E-03,.47527536E-02,.69303074
-14934.886,.33590496E-03,.35009934E-02,.69302533
-14934.745,-.30212141E-03,.20200216E-02,.69302716
-14934.665,-.15119362E-02,.64682619E-03,.69303412
-14934.668,-.22182840E-02,-.16060652E-02,.69305545
-14934.946,-.41256425E-02,-.28916702E-02,.69311558
-14935.488,-.82860142E-02,-.12230817E-01,.69315787
-14935.614,-.82095212E-02,-.13540331E-01,.69314372
-14935.132,-.76535192E-02,-.61933562E-02,.69316846
-14935.330,-.10821551E-01,-.50990165E-02,.69320884
-14934.756,.12700930E-03,.37428743E-02,.69299970
-14935.303,-.22326483E-02,.56285366E-03,.69313916
-14937.566,-.18106941E-01,-.23335767E-01,.69331386
-14934.670,-.13624901E-01,-.12077188E-01,.69309712
-14936.826,-.21958943E-01,-.80455235E-02,.69344087
-14934.430,.14919815E-03,-.13819817E-02,.69300063
-14934.430,.14919815E-03,-.13819817E-02,.69300063
-14934.552,-.62737670E-02,.13583259E-03,.69302182
-14937.561,-.10846486E-01,.39750236E-02,.69335526
-14934.930,.44544432E-02,.36799668E-02,.69302089
-14935.031,.32980975E-02,-.24859467E-02,.69305791
-14935.031,.32980975E-02,-.24859467E-02,.69305791
-14935.226,-.52776097E-02,-.10110283E-02,.69314928
-14935.226,-.52776097E-02,-.10110283E-02,.69314928
-14937.298,-.74632295E-02,.58218943E-02,.69328874
-14937.298,-.74632295E-02,.58218943E-02,.69328874
-14937.298,-.74632295E-02,.58218943E-02,.69328874
-14937.298,-.74632295E-02,.58218943E-02,.69328874
-14937.298,-.74632295E-02,.58218943E-02,.69328874
-14935.909,-.21714940E-01,-.57955018E-02,.69324626
-14935.909,-.21714940E-01,-.57955018E-02,.69324626
-14935.909,-.21714940E-01,-.57955018E-02,.69324626
-14935.909,-.21714940E-01,-.57955018E-02,.69324626
-14936.485,-.22998217E-01,-.10807382E-01,.69341263
-14936.485,-.22998217E-01,-.10807382E-01,.69341263
-14936.095,-.13589969E-01,-.21994252E-01,.69302249
-14936.095,-.13589969E-01,-.21994252E-01,.69302249
-14936.095,-.13589969E-01,-.21994252E-01,.69302249
-14936.095,-.13589969E-01,-.21994252E-01,.69302249
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14935.337,-.37754385E-01,-.20678717E-01,.69315842
-14936.039,-.43445177E-01,-.23163989E-01,.69321508
-14934.568,-.12225059E-01,-.51014617E-02,.69308448
-14934.430,-.14908992E-01,-.51475022E-02,.69305367
-14934.430,-.14908992E-01,-.51475022E-02,.69305367
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.382,-.42255685E-01,-.19488855E-01,.69309816
-14935.193,-.39574951E-01,-.24038739E-01,.69310550
-14935.193,-.39574951E-01,-.24038739E-01,.69310550
-14935.193,-.39574951E-01,-.24038739E-01,.69310550
-14935.193,-.39574951E-01,-.24038739E-01,.69310550
-14934.278,-.14380555E-01,-.12836788E-01,.69303036
-14934.278,-.14380555E-01,-.12836788E-01,.69303036
-14936.036,-.15368717E-01,-.16424113E-01,.69325744
-14936.036,-.15368717E-01,-.16424113E-01,.69325744
-14936.036,-.15368717E-01,-.16424113E-01,.69325744
-14935.965,.14609068E-02,.77273824E-02,.69309720
-14935.965,.14609068E-02,.77273824E-02,.69309720
-14935.965,.14609068E-02,.77273824E-02,.69309720
-14935.965,.14609068E-02,.77273824E-02,.69309720
-14935.154,-.17999764E-01,-.14197086E-02,.69304918
-14935.154,-.17999764E-01,-.14197086E-02,.69304918
-14935.154,-.17999764E-01,-.14197086E-02,.69304918
-14936.930,-.41197256E-01,-.33316822E-01,.69316878
-14935.402,-.21518316E-01,-.52662346E-02,.69315228
-14935.402,-.21518316E-01,-.52662346E-02,.69315228
-14935.402,-.21518316E-01,-.52662346E-02,.69315228
-14935.402,-.21518316E-01,-.52662346E-02,.69315228
-14935.402,-.21518316E-01,-.52662346E-02,.69315228
-14935.599,-.82641848E-02,-.32875024E-03,.69319228
-14935.599,-.82641848E-02,-.32875024E-03,.69319228
-14936.918,-.70232948E-02,-.52173267E-02,.69345391
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14937.249,.11896522E-01,.11861257E-01,.69321345
-14936.869,-.17043958E-01,-.13912305E-01,.69346095
-14939.677,.77013904E-02,.15433221E-01,.69344227
-14937.298,-.28284846E-01,-.27182952E-01,.69331064
-14935.712,-.13674585E-01,-.16359104E-01,.69317958
-14937.650,-.77961009E-02,-.42957142E-02,.69357359
-14937.145,.12959445E-01,-.18909560E-02,.69321153
-14937.145,.12959445E-01,-.18909560E-02,.69321153
-14937.177,.20195386E-01,.89216499E-02,.69318319
-14937.177,.20195386E-01,.89216499E-02,.69318319
-14937.177,.20195386E-01,.89216499E-02,.69318319
-14936.745,.68139520E-02,.20323751E-02,.69330300
-14935.468,-.17415807E-01,-.15700540E-01,.69320723
-14934.673,-.27820600E-01,-.18619386E-01,.69309696
-14935.225,-.10555378E-01,-.96061031E-02,.69318661
-14937.946,-.45095023E-01,-.24917979E-01,.69351401
-14937.491,-.21537110E-01,-.57623590E-02,.69350737
-14937.514,-.21299794E-01,-.24223478E-01,.69333819
-14937.504,-.72010210E-03,.87250148E-03,.69348533
-14937.504,-.72010210E-03,.87250148E-03,.69348533
-14938.311,.99474715E-02,.16468072E-01,.69320011
-14937.180,.13026932E-01,.29323262E-02,.69328751
-14937.180,.13026932E-01,.29323262E-02,.69328751
-14934.932,.28844310E-02,-.96776725E-04,.69305595
-14939.520,.30245855E-01,.71230984E-02,.69330166
-14937.850,.10628926E-01,.36820647E-02,.69343166
-14935.728,.29985393E-02,-.22790206E-02,.69317497
-14935.728,.29985393E-02,-.22790206E-02,.69317497
-14935.728,.29985393E-02,-.22790206E-02,.69317497
-14935.728,.29985393E-02,-.22790206E-02,.69317497
-14936.314,-.16565878E-01,-.15536202E-01,.69333872
-14936.314,-.16565878E-01,-.15536202E-01,.69333872
-14936.294,-.40845946E-01,-.15044962E-01,.69319474
-14935.501,-.20384752E-01,-.20544742E-02,.69308730
-14935.012,.10931673E-02,.41498540E-02,.69303376
-14934.538,-.10989073E-01,-.56496338E-02,.69308424
-14934.538,-.10989073E-01,-.56496338E-02,.69308424
-14934.538,-.10989073E-01,-.56496338E-02,.69308424
-14934.961,-.16065455E-01,-.85624918E-02,.69316956
-14934.826,-.31130325E-01,-.18544735E-01,.69311950
-14934.826,-.31130325E-01,-.18544735E-01,.69311950
-14934.826,-.31130325E-01,-.18544735E-01,.69311950
-14934.826,-.31130325E-01,-.18544735E-01,.69311950
-14935.554,-.34773610E-01,-.21330809E-01,.69321042
-14936.351,-.23463395E-01,-.80146541E-02,.69334684
-14936.761,-.18672460E-01,.45076527E-02,.69303199
-14937.243,-.86993801E-02,.68465655E-02,.69321560
-14937.243,-.86993801E-02,.68465655E-02,.69321560
-14936.618,-.27354772E-01,-.18173825E-02,.69310043
-14935.425,-.33346890E-01,-.15081455E-01,.69318740
-14935.458,-.35029689E-02,.69272453E-02,.69299945
-14935.681,-.15189653E-01,-.15356445E-01,.69322241
-14935.613,-.18994275E-01,-.21284532E-01,.69309896
-14935.799,-.12004057E-01,-.19773252E-01,.69303555
-14935.799,-.12004057E-01,-.19773252E-01,.69303555
-14934.456,-.12043432E-04,-.22424929E-02,.69300613
-14937.355,-.43441638E-01,-.34272575E-01,.69322084
-14935.925,-.39271273E-01,-.32648390E-01,.69300898
-14935.925,-.39271273E-01,-.32648390E-01,.69300898
-14938.890,-.10865361E-01,.98838460E-02,.69327273
-14934.062,-.25117480E-01,-.14724571E-01,.69302089
-14934.062,-.25117480E-01,-.14724571E-01,.69302089
-14934.739,-.19865570E-01,-.13017382E-01,.69313621
-14934.675,-.32314152E-01,-.15092125E-01,.69307561
-14934.675,-.32314152E-01,-.15092125E-01,.69307561
-14934.675,-.32314152E-01,-.15092125E-01,.69307561
-14934.675,-.32314152E-01,-.15092125E-01,.69307561
-14934.675,-.32314152E-01,-.15092125E-01,.69307561
-14934.984,-.77635824E-02,-.50451084E-02,.69314522
-14934.984,-.77635824E-02,-.50451084E-02,.69314522
-14936.980,-.36787334E-02,.29312609E-02,.69336480
-14938.468,-.18413702E-01,-.21115254E-02,.69360759
-14937.081,-.96682971E-02,.11594920E-02,.69338723
