NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,240,.23837508,.23837508,.19299984,.19299984,15.890320
2000,375,.18885608,.13933708,.13800001,.33099985,17.322326
3000,552,.18412866,.17467381,.16000009,.49099994,17.298853
4000,758,.18840694,.20124179,.18499994,.67599988,17.160409
5000,949,.19000123,.19637837,.14100003,.81699991,16.401123
6000,1151,.19182025,.20091535,.14700007,.96399999,15.786651
7000,1377,.19581678,.21979599,.15899992,1.1229999,15.187819
8000,1569,.19601661,.19741544,.15100002,1.2739999,14.965642
9000,1796,.19920410,.22470396,.13199997,1.4059999,14.251015
10000,2000,.19984456,.20560871,.13400006,1.5400000,13.860000
11000,2229,.20212359,.22491389,.13100004,1.6710000,13.322271
12000,2438,.20360044,.21984578,.12800002,1.7990000,12.958999
13000,2673,.20581252,.23235752,.19199991,1.9909999,12.906119
14000,2924,.20907693,.25151422,.13499999,2.1259999,12.415723
15000,3175,.21150379,.24547984,.13199997,2.2579999,11.965622
16000,3410,.21233799,.22485095,.13000011,2.3880000,11.617865
17000,3672,.21508870,.25910008,.13999987,2.5279999,11.241063
18000,3928,.21726655,.25428999,.13900018,2.6670001,10.912430
19000,4187,.21893105,.24889220,.13999987,2.8069999,10.601168
20000,4455,.22089391,.25818817,.13400006,2.9410000,10.262142
21000,4708,.22256211,.25592608,.14199996,3.0829999,10.013856
22000,4951,.22360797,.24557101,.12800002,3.2110000,9.7601168
23000,5187,.22398820,.23235336,.13299990,3.3439999,9.5497725
24000,5453,.22546540,.25944084,.14600015,3.4900000,9.3102934
25000,5703,.22653694,.25225401,.12999988,3.6199999,9.0750725
26000,5962,.22768190,.25630592,.14000010,3.7600000,8.8532170
27000,6215,.22848845,.24945878,.13800001,3.8980000,8.6458455
28000,6420,.22825692,.22200556,.13299990,4.0309999,8.5266322
29000,6661,.22849425,.23513935,.13100004,4.1619999,8.3346220
30000,6909,.22948187,.25812291,.19199991,4.3539999,8.2498498
31000,7127,.22980377,.23946087,.16400003,4.5179999,8.1605462
32000,7371,.23031893,.24628878,.17900014,4.6970000,8.0475395
33000,7626,.23154282,.27070729,.13999987,4.8369999,7.8485493
34000,7892,.23267275,.26996043,.14499998,4.9819999,7.6434433
35000,8163,.23375603,.27058777,.14400005,5.1259999,7.4331081
36000,8441,.23456477,.26287072,.20099998,5.3269999,7.2947272
37000,8684,.23512426,.25526577,.14000010,5.4670000,7.1239719
38000,8939,.23551937,.25013839,.13899994,5.6059999,6.9367900
39000,9239,.23689502,.28916955,.15199995,5.7579999,6.7065523
40000,9483,.23741092,.25753106,.13300014,5.8910000,6.5333383
41000,9742,.23797725,.26063047,.12800002,6.0190001,6.3378056
42000,9988,.23834107,.25325793,.15199995,6.1710000,6.1858282
43000,10242,.23873512,.25528495,.14800000,6.3190000,6.0203868
44000,10508,.23938043,.26712894,.19199991,6.5109999,5.8814628
45000,10750,.23956614,.24773734,.16000009,6.6710000,5.7401628
46000,11004,.23997416,.25833512,.13899994,6.8099999,5.5673173
47000,11286,.24067091,.27272153,.16499996,6.9749999,5.3854465
48000,11554,.24109848,.26119410,.15000010,7.1250000,5.2083910
49000,11809,.24140142,.25594245,.13599992,7.2609999,5.0364002
50000,12080,.24196206,.26943367,.13899994,7.3999999,4.8516555
51000,12371,.24280740,.28507444,.16300011,7.5630000,4.6639824
52000,12645,.24331871,.26939553,.14400005,7.7070000,4.4827983
53000,12878,.24344090,.24979460,.19199991,7.8989999,4.3684328
54000,13154,.24399144,.27317024,.15899992,8.0579998,4.1937865
55000,13388,.24401754,.24542683,.18300009,8.2409999,4.0700248
56000,13663,.24442545,.26686042,.15300012,8.3940001,3.8931990
57000,13888,.24433505,.23927282,.13800001,8.5320001,3.7548664
58000,14195,.24526518,.29828257,.16599989,8.6980000,3.5570194
59000,14446,.24560263,.26517446,.14100003,8.8390000,3.3982975
60000,14707,.24590901,.26398564,.13999987,8.9789999,3.2315119
61000,14967,.24622416,.26513283,.14000010,9.1190000,3.0664747
62000,15215,.24638177,.25599632,.13299990,9.2519999,2.9096825
63000,15519,.24702687,.28702311,.15100002,9.4029999,2.7150488
64000,15790,.24730439,.26478809,.16700006,9.5699999,2.5515959
65000,16051,.24763121,.26854773,.17899990,9.7489998,2.3985297
66000,16336,.24803256,.27411994,.16000009,9.9089999,2.2224887
67000,16586,.24819410,.25885610,.17199993,10.081000,2.0750352
68000,16856,.24849300,.26851907,.16000009,10.241000,1.9101628
69000,17080,.24838455,.24100996,.14599991,10.387000,1.7757634
70000,17365,.24891658,.28562683,.17200017,10.559000,1.6022439
71000,17602,.24883638,.24322254,.14599991,10.705000,1.4583905
72000,17867,.24925944,.27929644,.15400004,10.859000,1.2963702
73000,18081,.24893745,.22575443,.15899992,11.018000,1.1693790
74000,18351,.24929054,.27506605,.17499995,11.193000,1.0057902
75000,18588,.24940418,.25781359,.16900015,11.362000,.86309146
76000,18848,.24962560,.26623203,.17599988,11.538000,.70520882
77000,19115,.24987351,.26871419,.17500019,11.713000,.54229689
78000,19357,.24998213,.25834596,.18399978,11.897000,.39519403
79000,19627,.25013582,.26212356,.22100019,12.118000,.23029572
80000,19889,.25022240,.25706216,.20899987,12.327000,.68796671E-01
80354,20000,.25043531,.29855048,.88999987E-01,12.416000,.0000000
