SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14934.435,.0000000,.0000000,.69299717
-14934.435,.0000000,.0000000,.69299717
-14937.182,.65517433E-03,-.12880931E-02,.69343719
-14935.466,.21667747E-03,-.55624508E-03,.69316403
-14934.856,-.37773659E-02,.19180569E-02,.69304416
-14934.430,-.90315822E-03,-.91743612E-04,.69300155
-14936.019,-.15594240E-02,-.80443143E-03,.69326464
-14937.279,-.14274595E-01,.56459586E-02,.69316618
-14935.433,.75174912E-03,-.29340311E-02,.69315205
-14934.938,.13238783E-02,-.33788550E-02,.69306271
-14938.154,.25434526E-02,-.86034204E-02,.69345606
-14935.407,-.17631425E-01,-.60603497E-02,.69321058
-14934.135,-.10019717E-01,-.77439622E-02,.69301798
-14934.975,-.34716281E-01,-.12275255E-01,.69303811
-14934.867,-.27471336E-01,-.22071282E-01,.69306722
-14935.021,-.41455038E-01,-.19825584E-01,.69305507
-14935.551,.17882649E-03,-.47699973E-02,.69316327
-14936.687,-.55058948E-02,-.18448627E-01,.69305562
-14934.453,.45498858E-03,-.19407488E-02,.69300171
-14937.841,-.17356965E-01,-.38039242E-02,.69356525
-14934.745,-.20856202E-01,-.56755572E-02,.69306352
-14936.384,-.22033968E-01,-.14548483E-01,.69340210
-14935.235,-.28756407E-01,-.25293806E-01,.69304845
-14936.040,.19113852E-01,.48149740E-02,.69300782
-14935.226,-.11598182E-01,-.12982057E-01,.69314964
-14934.738,-.40213256E-01,-.24561111E-01,.69302093
-14935.043,-.33898176E-01,-.25665222E-01,.69305214
-14934.608,-.10566339E-01,-.10105126E-01,.69308175
-14934.077,-.19163776E-01,-.14775845E-01,.69300980
-14935.674,-.30019276E-01,-.17772268E-01,.69326646
-14934.310,-.35952170E-01,-.19615685E-01,.69300314
-14935.953,-.51617105E-01,-.30508078E-01,.69306514
-14934.870,-.93807715E-02,-.76173137E-02,.69313319
-14934.079,-.26966692E-01,-.14928963E-01,.69301798
-14934.056,-.16938109E-01,-.11285816E-01,.69302419
-14934.484,-.18294860E-01,-.16756750E-01,.69303524
-14935.323,-.18198376E-01,-.46446688E-02,.69316448
-14935.687,-.16642820E-02,.25841728E-02,.69316939
-14936.805,-.31347762E-01,-.14772588E-01,.69343598
-14935.579,-.34614209E-01,-.26980219E-01,.69310970
-14936.587,-.24003920E-01,-.19955331E-01,.69336847
-14936.294,-.22138219E-01,.99760474E-03,.69304880
-14935.876,-.27502811E-01,-.70496873E-02,.69318287
-14935.200,-.41603055E-01,-.17019138E-01,.69304012
-14934.013,-.20851481E-01,-.11098642E-01,.69301818
-14934.701,-.78759222E-03,-.46733303E-02,.69304111
-14937.105,.14343169E-01,.13453137E-01,.69314598
-14943.086,.26833290E-01,.78389363E-02,.69396619
-14935.092,-.18058904E-01,-.18693310E-01,.69308276
-14934.911,-.12476575E-01,-.16658540E-01,.69301914
-14935.781,-.66368594E-02,-.66172163E-02,.69326378
-14936.276,-.16969061E-01,-.43130796E-02,.69332490
-14934.766,.22509434E-02,-.17022847E-02,.69303372
-14934.546,-.83050873E-02,-.14996918E-02,.69304276
-14935.557,.12255104E-01,.31026736E-02,.69304413
-14939.646,-.34365145E-02,-.90701959E-02,.69381144
-14938.854,.11875375E-01,-.11314207E-01,.69314472
-14935.702,-.75258428E-02,.49534525E-03,.69319537
-14937.481,-.35371849E-01,-.89091561E-02,.69333387
-14934.497,-.27183873E-01,-.20402714E-01,.69303983
-14935.889,.83709577E-02,.96046239E-02,.69305570
-14935.363,-.44427583E-01,-.23588750E-01,.69308923
-14935.222,-.29491167E-01,-.23548224E-01,.69310552
-14936.015,.11597231E-02,.51609888E-02,.69317334
-14934.428,-.22152396E-01,-.63594467E-02,.69301119
-14934.091,-.28185300E-01,-.16262197E-01,.69301502
-14935.861,.15876208E-01,.28993793E-02,.69302557
-14935.869,-.13685089E-01,-.37653023E-02,.69327228
-14934.761,-.14290285E-01,-.84724774E-02,.69313555
-14934.246,-.38572306E-02,-.21018930E-02,.69299805
-14935.990,.45823144E-02,.67798802E-02,.69313717
-14935.092,-.17113550E-01,-.10721571E-01,.69319494
-14936.614,.19600514E-01,.33059891E-02,.69306671
-14936.639,.14358153E-01,-.23529681E-02,.69308248
-14935.920,-.28271567E-01,-.10435374E-01,.69326285
-14936.340,.66426359E-02,-.17215518E-02,.69322173
-14938.024,-.11505759E-01,-.21761100E-01,.69328661
-14935.060,-.20057547E-01,-.87560492E-02,.69317534
-14936.026,-.15230329E-01,-.82992384E-02,.69334198
-14934.898,-.41340384E-01,-.22287062E-01,.69304872
-14937.548,-.38368072E-01,-.18026990E-01,.69350616
-14934.449,-.19210235E-02,-.44518120E-02,.69301578
-14935.758,.42731242E-02,-.94964354E-02,.69299977
-14934.915,-.13626800E-01,-.17656527E-01,.69300972
-14936.266,-.32857870E-01,-.62195395E-02,.69309096
-14935.268,-.80628644E-02,-.23210098E-02,.69317158
-14935.162,-.54713300E-02,.39435362E-02,.69303285
-14936.144,-.14887414E-01,-.15123420E-01,.69329871
-14935.807,-.37173434E-01,-.17715623E-01,.69322929
-14934.854,-.26355821E-01,-.83926857E-02,.69307031
-14937.450,-.20082743E-01,-.29075212E-01,.69303694
-14935.439,-.12822124E-01,-.66409742E-02,.69323755
-14937.001,-.30023233E-01,-.62353577E-02,.69328712
-14934.384,-.25742067E-01,-.13213686E-01,.69306873
-14936.577,-.18060542E-02,-.13276739E-01,.69315884
-14934.298,-.11018016E-01,-.63262057E-02,.69304850
-14935.568,-.28653921E-01,-.18145554E-01,.69324929
-14934.604,-.39263095E-01,-.24169032E-01,.69300755
-14936.004,.13706519E-01,-.20843123E-02,.69300716
-14936.068,.40382320E-02,-.45114183E-02,.69318550
-14934.375,-.30751921E-01,-.14883155E-01,.69304055
-14935.073,-.14470423E-02,-.81810554E-02,.69305943
-14936.021,-.52621017E-01,-.28733092E-01,.69307425
-14935.531,-.16230809E-01,-.10813664E-01,.69326379
-14936.276,-.28299663E-01,-.25401010E-01,.69321044
-14934.413,-.29626577E-01,-.17001286E-01,.69306157
-14936.854,.77578680E-02,.56200544E-02,.69328714
-14938.830,.10759020E-02,-.69824595E-03,.69369684
-14935.820,-.26045803E-01,-.19998166E-01,.69325817
-14936.907,-.19506307E-01,-.59733927E-02,.69343869
-14936.907,-.30601925E-01,-.29200200E-01,.69319879
-14935.627,-.43840886E-01,-.18765086E-01,.69309687
-14935.067,-.23103026E-01,-.12723806E-01,.69318990
-14937.270,-.14678408E-01,-.20385197E-02,.69345569
-14935.523,-.54969395E-02,.63141191E-02,.69300909
-14936.411,-.37674493E-01,-.30223257E-01,.69316765
-14935.321,-.25539893E-01,-.12721004E-01,.69322121
-14935.574,-.21751242E-01,-.14228199E-01,.69327060
-14934.673,-.14245559E-01,-.17018692E-01,.69300171
-14935.772,-.26118934E-01,-.18322192E-01,.69327733
-14935.923,-.27268265E-01,-.71373642E-02,.69319768
-14935.211,-.39195334E-01,-.14832894E-01,.69304595
-14934.464,-.18356476E-01,-.63684357E-02,.69305623
-14935.573,-.37246241E-01,-.11578612E-01,.69306112
-14935.821,-.37512770E-01,-.20757506E-01,.69324111
-14935.454,-.83533126E-02,.49692549E-02,.69301127
-14934.932,-.61895462E-02,-.10133667E-01,.69307832
-14935.279,-.33436088E-01,-.26736727E-01,.69305799
-14935.519,-.12388224E-01,-.19467409E-01,.69301295
-14934.132,-.28097204E-01,-.14097454E-01,.69301717
-14935.938,-.37950161E-01,-.97685435E-02,.69303802
-14936.224,-.49581647E-01,-.18225665E-01,.69303311
-14934.873,-.21304665E-01,-.83528107E-02,.69313104
-14937.288,-.14605879E-01,-.44343360E-03,.69341463
-14937.101,-.32938345E-01,-.30600421E-01,.69320700
-14939.080,-.11179397E-01,.46901184E-02,.69356711
-14938.655,-.28652996E-01,.18802355E-02,.69318541
-14936.443,-.26121036E-01,-.88336078E-02,.69334561
-14934.570,-.44893882E-02,-.95953182E-02,.69300320
-14937.543,.37175145E-02,-.11937717E-01,.69320452
-14935.306,-.33509638E-01,-.27495266E-01,.69303920
-14934.571,-.14842690E-01,-.12832016E-01,.69308235
-14934.036,-.20228323E-01,-.10628635E-01,.69302159
-14934.433,-.28936554E-01,-.21398567E-01,.69301969
-14936.168,-.48485339E-01,-.23252340E-01,.69315397
-14937.738,-.61122294E-02,-.71043578E-02,.69357093
-14937.485,.77908608E-02,.12352610E-01,.69322246
-14936.666,-.46292031E-01,-.26234569E-01,.69328040
-14934.609,-.10511448E-01,-.62562057E-03,.69302478
-14936.613,-.58576300E-03,.12885980E-02,.69333716
-14935.821,-.30275750E-01,-.20578567E-01,.69326667
-14936.184,.14613116E-01,.46307234E-02,.69311193
-14935.872,.15337819E-01,.36658590E-02,.69304519
-14934.520,-.33045421E-01,-.13943561E-01,.69302542
-14935.780,-.46741147E-01,-.27111284E-01,.69312100
-14936.174,-.30374147E-01,-.12882253E-01,.69331951
-14934.950,-.37967885E-01,-.18296120E-01,.69308098
-14934.194,-.20661122E-01,-.10104437E-01,.69304293
-14936.444,-.10597640E-03,.85440446E-02,.69313359
-14933.960,-.15892563E-01,-.90039562E-02,.69300813
-14935.987,-.13893559E-01,-.14724154E-01,.69326840
-14935.165,-.12220390E-01,-.43896424E-03,.69309587
-14934.599,-.11177816E-01,-.28189376E-02,.69306252
-14936.414,.15540905E-01,.10587929E-01,.69309770
-14935.400,-.12166269E-01,-.13043948E-01,.69318422
-14935.658,-.14885193E-01,-.15222189E-01,.69321748
-14936.020,.38634781E-02,-.10318048E-01,.69302319
-14939.954,.21707402E-01,-.60728639E-02,.69318702
-14935.154,-.21606853E-01,-.23106155E-01,.69300405
-14934.838,.52273153E-02,.12589643E-02,.69301669
-14939.142,.39320366E-01,.22527954E-01,.69307592
-14934.368,-.31372594E-01,-.13592335E-01,.69301795
-14938.239,.28035481E-01,.18830825E-01,.69313208
-14937.207,-.47429508E-02,-.21350759E-02,.69347835
-14934.743,-.83918224E-02,-.11003036E-01,.69306448
-14937.310,.10685283E-01,-.30742830E-02,.69326683
-14935.117,-.44486031E-03,-.80099291E-03,.69311348
-14935.537,.48983674E-02,.85084987E-02,.69302190
-14934.380,-.34138841E-01,-.22953445E-01,.69299789
-14934.803,-.65091125E-02,-.22189520E-02,.69309536
-14937.411,-.10378228E-04,.12747328E-01,.69310380
