ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.33333333,.0000000,1,3,-50.246916,.0000000,.0000000,.0000000
1,0,.40000000,.0000000,1,2,-23.373596,-1.4040881,-.90076043E-02,.93425699
1,0,.42857143,.0000000,2,2,-16.001927,1.3504656,.65231280E-01,1.6038742
1,0,.36195175,.0000000,3,2,-17.450039,.97363251,-.53115071,1.7823343
1,0,.28972385,.69623166,3,6,-17.502788,2.1659962,-.28861678,1.9237610
1,0,.31497518,.0000000,3,2,-15.965371,1.0251411,-.49429598E-02,.77416023
1,0,.28787259,.0000000,3,7,-13.285182,2.6115305,.20365596,1.1281007
1,0,.30419008,.0000000,7,2,-13.031584,1.1329180,.55298313,.75881778
1,0,.32996082,.0000000,7,1,-12.987009,1.1392235,.57762990,.84667415
1,0,.34604722,.0000000,7,1,-13.234983,1.2192790,.94765948,1.1825919
1,0,.36859731,.0000000,7,1,-12.911547,.86567484,1.3270825,1.1603487
1,0,.38206941,.0000000,7,2,-9.0596823,1.1514994,1.4342888,.44132516
1,0,.40137974,.0000000,12,1,-7.8597686,1.9342332,1.5570296,.27515850
1,0,.19929830,.51633000,12,40,-2.3312689,.96085411,1.9672028,-.79467121
1,0,.12105374,.0000000,14,55,-2.0348495,1.2100467,1.9532195,-1.4994362
1,0,.10287642,.0000000,14,42,-1.7258148,1.1837555,1.9476251,-.89853961
1,0,.95168039E-01,.36634276,14,27,-1.7168607,1.1407961,2.0707927,-.99025342
1,0,.89268216E-01,.0000000,14,15,-3.4307354,1.1179899,2.0686536,-1.6849657
1,0,.92258575E-01,.0000000,14,4,-1.6587275,.97658352,2.1611614,-1.3515780
1,0,.85479404E-01,.52183128E-01,14,22,-3.9151938,1.5051622,1.7589563,-1.1897719
1,0,.87852394E-01,.0000000,14,5,-2.5944783,1.2294359,1.8208397,-.78707980
1,0,.91230653E-01,.0000000,14,2,-2.1212649,1.1253169,1.8790741,-1.2774436
1,0,.81407026E-01,.49916558E-01,14,51,-2.6000728,1.0520095,1.8908575,-.77040054
1,0,.81536086E-01,.0000000,14,3,-3.8635098,1.0418635,2.2299041,-1.2761936
1,0,.83324115E-01,.0000000,14,6,-3.0941084,1.0966171,1.9135623,-.55491043
1,0,.85489897E-01,.0000000,14,4,-3.0152376,.59174074,2.2826846,-.75933551
1,0,.87599004E-01,.71220063E-01,14,4,-2.3567700,.93763484,2.1027292,-.68540677
1,0,.87090024E-01,.0000000,14,15,-1.4544956,.82593067,2.1850699,-1.1994052
1,0,.88639195E-01,.0000000,14,2,-1.8355547,.96156231,2.0943088,-.81738446
1,0,.86370461E-01,.0000000,14,10,-4.0152874,1.0687885,1.7653609,-.72311065
1,0,.86025249E-01,.37301808E-01,14,14,-1.8330281,.86370572,2.0548461,-1.3125311
1,0,.83680033E-01,.0000000,14,25,-1.7274847,1.0688972,1.9260808,-.99664634
1,0,.80234347E-01,.0000000,14,40,-2.0602991,.75254634,2.2196963,-.90437857
1,0,.79574033E-01,.62368167E-01,14,14,-2.4754976,1.2504954,1.8003531,-.95829462
1,0,.79023242E-01,.0000000,14,18,-1.1674747,1.0465224,2.0574327,-1.0423969
1,0,.78157653E-01,.0000000,14,13,-2.2191697,.82582126,2.0429802,-.94541719
1,0,.78488806E-01,.38125967E-01,14,13,-2.2888764,.77179982,2.1388800,-.80336139
1,0,.79056027E-01,.0000000,14,1,-3.3414082,.75569180,2.1233788,-.52859557
1,0,.79753758E-01,.0000000,14,19,-3.2064693,.82460568,2.1099254,-.52353222
1,0,.79800131E-01,.0000000,14,5,-4.6607716,1.0784441,2.2503252,-.32832226
1,0,.81144986E-01,.32121445E-01,14,5,-3.7713574,1.2379802,1.9770251,-.40199810
1,0,.81683863E-01,.0000000,14,5,-4.2018118,1.6596706,1.7356982,-.72334455
1,0,.83200549E-01,.0000000,14,9,-3.7901260,1.1215210,2.1884340,-1.2337441
1,0,.83695926E-01,.12510429E-01,14,9,-2.1629238,.98992792,2.1872771,-1.3108049
1,0,.84343711E-01,.0000000,14,3,-2.6875754,.77058286,2.1976058,-1.4945128
1,0,.84984927E-01,.0000000,14,9,-1.7872168,.91721863,2.2113636,-1.1420572
1,0,.85120334E-01,.15320542E-01,14,16,-.94659888,.94834498,2.0848110,-1.2927445
1,0,.85548611E-01,.0000000,14,2,-1.8394950,.87724210,2.2241073,-1.0264172
1,0,.85886031E-01,.0000000,14,9,-1.9030747,1.1383366,2.0458519,-.84847021
1,0,.87710633E-01,.15181212E-01,14,10,-2.3237156,1.2339649,1.8555667,-.80583442
1,0,.88423969E-01,.0000000,14,6,-6.0032386,1.3817973,1.6340131,-.47909684E-01
1,0,.89828666E-01,.0000000,14,2,-4.0268082,1.4862074,1.9692706,-.67731897
1,0,.91223806E-01,.65356550E-02,14,2,-3.7330974,1.4220604,2.0077547,-.80710927
1,0,.91158861E-01,.0000000,14,15,-1.9204238,1.0463884,2.1532336,-.97756521
1,0,.91178519E-01,.0000000,14,4,-6.2418654,1.6864551,1.8269730,-.31395824E-01
1,0,.92673292E-01,.0000000,14,1,-5.0339310,1.6596914,1.8911489,-.48367500
1,0,.94032342E-01,.0000000,14,2,-4.5930068,.75487547,1.9526638,-.41698499
