NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,113,.11133315,.11122182,.16899991,.16899991,29.742489
1999,278,.14018405,.16900609,.15199995,.32099986,22.772515
2999,477,.15764918,.19256198,.16000009,.48099995,19.686713
3999,672,.16900032,.20304239,.17000008,.65100002,18.724001
4999,882,.17801282,.21405380,.13999987,.79099989,17.145506
5999,1158,.19408812,.27444855,.13000011,.92100000,14.985736
6999,1392,.20010858,.23622529,.12999988,1.0509999,14.049573
7999,1650,.20808909,.26394467,.12500000,1.1759999,13.078544
8999,1926,.21701364,.28840111,.12500000,1.3009999,12.208864
9999,2201,.22372245,.28409509,.12900019,1.4300001,11.564094
10999,2502,.23076471,.30118026,.12099981,1.5509999,10.847081
11999,2809,.23590635,.29245919,.13000011,1.6810000,10.287672
12999,3102,.23925757,.27946887,.12999988,1.8109999,9.8653371
13999,3369,.24138151,.26899060,.12500000,1.9359999,9.5570240
14999,3665,.24499302,.29555065,.13000011,2.0660000,9.2082155
15999,3938,.24674124,.27296267,.12500000,2.1910000,8.9364758
16999,4194,.24797933,.26778754,.11999989,2.3109999,8.7095050
17999,4473,.24969579,.27887388,.17000008,2.4809999,8.6122258
18999,4735,.25107020,.27580835,.11999989,2.6009998,8.3852719
19999,5018,.25318283,.29332058,.13500023,2.7360001,8.1687431
20999,5315,.25579066,.30794475,.13399982,2.8699999,7.9296234
21999,5635,.25882817,.32261266,.13100004,3.0009999,7.6502864
22999,5956,.26132562,.31626701,.13000011,3.1310000,7.3827677
23999,6277,.26353131,.31426015,.13899994,3.2700000,7.1489899
24999,6553,.26409707,.27767479,.12100005,3.3910000,6.9584583
25999,6832,.26496729,.28672172,.14999986,3.5409999,6.8249248
26999,7130,.26620979,.29851351,.17000008,3.7110000,6.6985371
27999,7449,.26815361,.32063483,.25499988,3.9659998,6.6824089
28999,7764,.26964040,.31126913,.14900017,4.1150000,6.4852061
29999,8079,.27124330,.31772575,.14499998,4.2600000,6.2858596
30999,8381,.27203201,.29569267,.14499998,4.4050000,6.1068721
31999,8664,.27276227,.29539963,.17599988,4.5809999,5.9937920
32999,8945,.27310667,.28412683,.13000011,4.7110000,5.8222588
33999,9235,.27354678,.28807001,.13499999,4.8460000,5.6488565
34999,9502,.27361384,.27589401,.14499998,4.9909999,5.5141567
35999,9781,.27375588,.27872723,.14000010,5.1310000,5.3607698
36999,10117,.27517160,.32613578,.12999988,5.2609999,5.1393162
37999,10413,.27576871,.29786150,.14000010,5.4010000,4.9725715
38999,10728,.27658191,.30748239,.12999988,5.5309999,4.7803347
39999,11081,.27812574,.33833390,.14499998,5.6759999,4.5685627
40999,11373,.27880748,.30607603,.16499996,5.8409998,4.4306960
41999,11652,.27908102,.29029611,.15000010,5.9909999,4.2922131
42999,11987,.28006010,.32118048,.14000010,6.1310000,4.0984152
43999,12305,.28084698,.31468198,.12999988,6.2609999,3.9153510
44999,12598,.28114119,.29408621,.13000011,6.3910000,3.7550549
45999,12867,.28111311,.27984936,.12999988,6.5209999,3.6150068
46999,13150,.28136580,.29298918,.13899994,6.6599998,3.4692775
47999,13480,.28214095,.31857235,.15100002,6.8109999,3.2943412
48999,13763,.28228766,.28932970,.18000007,6.9909999,3.1681223
49999,14070,.28301639,.31872324,.15000010,7.1410000,3.0096752
50999,14306,.28260857,.26221799,.12999988,7.2709999,2.8939657
51999,14603,.28287932,.29668746,.14000010,7.4110000,2.7389692
52999,14918,.28340568,.31077586,.12999988,7.5409999,2.5689343
53999,15182,.28346882,.28681537,.12500000,7.6659999,2.4328012
54999,15476,.28370394,.29640013,.12500000,7.7909999,2.2774931
55999,15811,.28439257,.32226633,.13000011,7.9210000,2.0986066
56999,16086,.28424884,.27620003,.13499999,8.0560000,1.9601631
57999,16387,.28454172,.30123586,.12999988,8.1859999,1.8048464
58999,16671,.28486087,.30337118,.12500000,8.3109999,1.6596076
59999,16976,.28542521,.31872036,.14499998,8.4559999,1.5062997
60999,17266,.28560580,.29644158,.14000010,8.5960000,1.3611412
61999,17541,.28548509,.27812142,.12999988,8.7259998,1.2232617
62999,17866,.28579281,.30487107,.16500020,8.8910000,1.0619833
63999,18179,.28625624,.31545204,.14499998,9.0360000,.90514088
64999,18478,.28637411,.29391798,.13499999,9.1710000,.75539896
65999,18763,.28654567,.29769666,.12999988,9.3009999,.61319282
66999,19025,.28638047,.27547758,.13499999,9.4359999,.48357949
67999,19318,.28664951,.30467503,.13499999,9.5709999,.33789326
68999,19608,.28667275,.28825276,.12900019,9.7000000,.19392085
69999,19909,.28675241,.29224892,.13099980,9.8309999,.44935506E-01
70349,20000,.28658961,.25403087,.70000172E-01,9.9010000,.0000000
