SampleLogFunc,intercept,slope,logSigma
-2.3312689,.96085411,1.9672028,-.79467121
-2.3312689,.96085411,1.9672028,-.79467121
-2.0348495,1.2100467,1.9532195,-1.4994362
-2.0348495,1.2100467,1.9532195,-1.4994362
-1.7258148,1.1837555,1.9476251,-.89853961
-1.7258148,1.1837555,1.9476251,-.89853961
-1.7168607,1.1407961,2.0707927,-.99025342
-1.7168607,1.1407961,2.0707927,-.99025342
-3.4307354,1.1179899,2.0686536,-1.6849657
-3.9151938,1.5051622,1.7589563,-1.1897719
-2.6000728,1.0520095,1.8908575,-.77040054
-2.6000728,1.0520095,1.8908575,-.77040054
-2.6000728,1.0520095,1.8908575,-.77040054
-2.3567700,.93763484,2.1027292,-.68540677
-4.0152874,1.0687885,1.7653609,-.72311065
-1.8330281,.86370572,2.0548461,-1.3125311
-1.7274847,1.0688972,1.9260808,-.99664634
-2.0602991,.75254634,2.2196963,-.90437857
-2.0602991,.75254634,2.2196963,-.90437857
-2.4754976,1.2504954,1.8003531,-.95829462
-1.1674747,1.0465224,2.0574327,-1.0423969
-2.2888764,.77179982,2.1388800,-.80336139
-3.2064693,.82460568,2.1099254,-.52353222
-3.7713574,1.2379802,1.9770251,-.40199810
-2.1629238,.98992792,2.1872771,-1.3108049
-.94659888,.94834498,2.0848110,-1.2927445
-1.9030747,1.1383366,2.0458519,-.84847021
-4.0268082,1.4862074,1.9692706,-.67731897
-6.2418654,1.6864551,1.8269730,-.31395824E-01
-5.5739980,.32545262,2.1995808,-.43386447
-1.5692755,1.2238086,1.9552115,-1.0172588
-4.4981577,1.3565115,1.6523008,-.43838354
-2.2438343,1.1479485,2.1136267,-1.1603418
-4.9395907,.40051544,2.1948436,-.62513857
-3.2046664,1.1370116,2.1263725,-.58384975
-2.0736077,.77588718,2.2558956,-1.2029995
-3.3659024,1.0994412,2.1045521,-.49165490
-3.3659024,1.0994412,2.1045521,-.49165490
-4.0263762,1.1448617,2.2393464,-.79385527
-2.1025373,1.0370479,1.9751778,-.77445431
-1.5150069,.80955129,2.1889962,-1.1707836
-1.5150069,.80955129,2.1889962,-1.1707836
-2.5272503,1.1425324,1.9442630,-.66135864
-3.0399915,1.4398272,1.7834466,-.74375216
-4.9650451,1.1875686,1.6498071,-.47372600
-4.0165789,.73444294,2.4330880,-.76237873
-6.7779344,.38730071E-01,2.5235553,-.37368663E-01
-5.7339110,1.3368955,1.5690631,-.21224697
-2.3656262,.84203161,2.0907549,-.73652643
-3.7337772,.49094259,2.3251971,-.62474701
-.98766630,.98961058,2.0544307,-1.1359398
-.98766630,.98961058,2.0544307,-1.1359398
-1.7935047,1.2753724,1.8739191,-1.1014219
-.92041388,1.0343655,2.0203866,-1.2133116
-2.1221036,1.2955130,1.8295229,-1.0628945
-1.4724858,1.2301712,1.9206064,-1.2075971
-2.0232322,1.0661892,2.1425871,-1.2843318
-1.4336288,.92851767,2.0599945,-1.4496998
-1.2439339,1.0823717,2.0654293,-1.0687037
