SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-6.9382917,-8.7724631,14.819618,17.513950,-2.2910501
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.2962863,-9.1200586,16.174065,18.331863,-1.6823162
-5.7972820,-9.2045346,14.451356,19.390683,1.3412322
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.2816315,-9.1767670,16.344999,21.114753,.30037056
-5.3549450,-10.971454,13.446450,18.853397,.50261596E-01
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.6082862,-10.973926,14.231712,19.417402,-.88869778
-5.9079353,-11.678711,15.383288,21.758026,-.19496261
-5.6746761,-11.881090,14.498327,21.873023,.72819205
-5.7052261,-9.3911514,13.634611,18.086077,-1.0216325
-5.2002266,-11.445693,15.583455,22.029190,.69410324
-5.2002266,-11.445693,15.583455,22.029190,.69410324
-3.0956589,-9.8097537,14.254671,19.788828,.59469058
-3.0956589,-9.8097537,14.254671,19.788828,.59469058
-5.1859873,-9.7842470,16.221080,22.071560,1.5041847
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.2996023,-8.2900454,15.725280,20.434095,1.5150049
-4.7520877,-8.6965363,16.402310,21.139600,1.0726336
-4.5861556,-8.2789024,14.880643,19.049987,.40213431
-4.3544890,-11.179618,13.767479,20.912389,.94236876
-6.0402680,-7.9291412,16.948981,20.614068,.92608049E-01
-3.0513823,-9.5049870,14.659040,19.915064,.69038448
-3.0513823,-9.5049870,14.659040,19.915064,.69038448
-4.4660790,-8.5639083,16.200359,19.227858,-1.2037416
-3.5163931,-10.620911,14.916876,19.299755,-1.0997169
-3.5163931,-10.620911,14.916876,19.299755,-1.0997169
-4.0445483,-11.609189,14.263226,20.797474,.13392220
-4.0260098,-11.181602,15.515101,20.938564,-.42301943
-4.0260098,-11.181602,15.515101,20.938564,-.42301943
-4.0260098,-11.181602,15.515101,20.938564,-.42301943
-4.0260098,-11.181602,15.515101,20.938564,-.42301943
-7.1926625,-12.458366,14.881369,20.252703,-1.6215586
-5.2832703,-9.4108463,16.644270,19.244180,-1.6316296
-3.7060712,-9.9849723,16.112719,20.826471,.33086928
-5.5018520,-8.8451034,16.504798,18.791675,-1.4332197
-7.3600809,-10.064387,15.955313,19.261792,-2.7021274
-8.5935971,-9.6793979,14.643090,18.225800,-2.6823353
-6.8412084,-11.143539,15.954179,19.934027,-2.3352932
-3.5658492,-9.8869183,13.992792,18.951362,.50158248E-01
-4.2078114,-8.9837212,14.302228,19.419256,.94465561
-4.2078114,-8.9837212,14.302228,19.419256,.94465561
-5.4688217,-10.526285,15.802445,22.360411,1.6636452
-5.2755292,-9.0693659,14.392544,17.698048,-1.3866743
-4.1669050,-9.2979680,14.917601,19.404830,-.78340313
-4.1669050,-9.2979680,14.917601,19.404830,-.78340313
-4.1669050,-9.2979680,14.917601,19.404830,-.78340313
-4.7152221,-11.437661,14.726652,21.040368,-.27229107
-2.7527819,-9.8267639,15.188947,19.544014,-.55744120
-2.7527819,-9.8267639,15.188947,19.544014,-.55744120
-2.7527819,-9.8267639,15.188947,19.544014,-.55744120
-4.4403005,-9.6522824,16.319452,21.642562,1.0178239
-4.4403005,-9.6522824,16.319452,21.642562,1.0178239
-4.1072969,-10.068082,14.365437,20.599033,.57705564
-4.1072969,-10.068082,14.365437,20.599033,.57705564
-4.1072969,-10.068082,14.365437,20.599033,.57705564
-3.7491180,-11.010620,13.944780,20.741292,1.0243882
-3.7491180,-11.010620,13.944780,20.741292,1.0243882
-3.7491180,-11.010620,13.944780,20.741292,1.0243882
-5.3236226,-9.9623160,16.737751,21.644330,-.13396449
-5.2582962,-11.948611,13.447879,20.989145,.82277051
-7.3605521,-11.510625,16.530370,22.530557,.26138042
-6.8499112,-10.478672,12.241155,18.959775,.66905857
-3.2923129,-9.4770176,14.700814,18.840216,-.49731006
-3.2923129,-9.4770176,14.700814,18.840216,-.49731006
-3.2923129,-9.4770176,14.700814,18.840216,-.49731006
-3.2923129,-9.4770176,14.700814,18.840216,-.49731006
-3.3799752,-9.6494890,14.621554,18.726699,-.75579538
-2.8799794,-10.709558,14.538857,20.201623,-.32181798E-01
-2.8799794,-10.709558,14.538857,20.201623,-.32181798E-01
-2.8799794,-10.709558,14.538857,20.201623,-.32181798E-01
-3.4551767,-8.9327580,15.544959,19.064315,-.73427702
-3.1191072,-9.8009042,14.974575,19.598622,.16988623
-4.8995694,-9.0062391,16.854126,20.220524,-.14187195
-4.8995694,-9.0062391,16.854126,20.220524,-.14187195
-7.0926331,-12.164180,14.873969,19.664391,-2.0062405
-5.8063676,-10.310823,13.703416,21.224177,2.2841478
-3.4614838,-9.6600183,15.828950,20.921615,.21383340
-4.5165180,-9.7590879,14.752543,19.023346,-1.4301872
-5.5135062,-9.7957044,13.441163,17.895311,-1.1072936
-5.5527183,-9.7609427,13.027687,19.031162,1.0594398
-4.3774120,-10.997945,13.446602,19.761729,-.12502880
-3.9819426,-8.7899030,15.500286,19.259290,.12715466
-3.0205639,-10.413388,14.693932,20.738157,.66329880
-5.2909316,-9.1080939,14.592479,20.293447,1.9476982
-5.2909316,-9.1080939,14.592479,20.293447,1.9476982
-4.1700489,-8.4315316,16.361676,20.089869,.22230728
-4.1700489,-8.4315316,16.361676,20.089869,.22230728
-7.3013474,-11.322286,15.265814,19.317080,-2.6569017
-7.0834803,-10.032738,15.585412,18.100086,-2.9896583
-6.4824958,-11.996114,13.996121,19.119407,-1.0622600
-4.4362106,-9.1389333,16.782765,20.573289,.58413220E-01
-4.8682549,-9.2874009,15.054637,20.050628,1.3706988
-5.4256503,-9.5799403,13.829430,17.715229,-.93228989
-7.1959101,-10.329906,13.278870,18.380870,.48862666
-7.1959101,-10.329906,13.278870,18.380870,.48862666
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-3.6470358,-9.2718975,14.936721,20.018785,1.0530582
-4.3862569,-11.807167,14.692164,20.625825,-.32325367
-7.0912670,-8.1563229,17.090864,18.567274,-1.9996889
-3.7182996,-10.943965,13.732977,19.694600,.39312718
-3.7182996,-10.943965,13.732977,19.694600,.39312718
-3.7182996,-10.943965,13.732977,19.694600,.39312718
-2.6674321,-9.9825475,14.848789,20.166899,.43331680
-2.6674321,-9.9825475,14.848789,20.166899,.43331680
-4.1247347,-10.741990,13.860867,19.860074,.87723346
-6.6860602,-9.6827857,16.435906,21.437013,1.5559585
-7.3240324,-11.434882,13.024758,19.942033,1.6048017
-7.3739263,-9.0358610,14.817824,21.337378,2.9324781
-5.4415347,-9.5129334,15.251913,20.366253,-.50793378
-5.5882501,-9.3597455,14.135719,20.222673,.69875151
-6.3551131,-7.4748225,16.407293,20.191593,.95421688
-5.1929464,-9.1900120,16.661492,20.277972,.18057550
-5.1929464,-9.1900120,16.661492,20.277972,.18057550
-5.0320749,-9.6258660,15.059245,20.823419,1.8943425
-4.9020353,-10.485065,14.252644,18.881860,-1.6306823
-3.6275372,-10.636673,15.081174,19.474904,-1.3047396
-3.6001735,-8.7634199,15.508338,20.027255,.22612023
-3.9214583,-11.455761,14.690317,20.745960,-.25117219
-3.7896641,-9.1762238,14.893112,19.654128,-.25044217
-3.7896641,-9.1762238,14.893112,19.654128,-.25044217
-3.7896641,-9.1762238,14.893112,19.654128,-.25044217
-2.9568584,-10.270295,15.470546,19.992215,-.52341098
-2.7438061,-10.104093,15.122993,20.549955,.31732666
-2.8077434,-10.078955,15.457520,20.227001,-.91780854E-02
-2.8077434,-10.078955,15.457520,20.227001,-.91780854E-02
-4.1194220,-8.6791126,14.679372,19.549968,.75923106
-5.5137096,-11.130317,12.926996,18.473424,-.74765211
-5.6939882,-9.5679447,13.162740,19.410988,.96032972
-4.1183486,-8.7757839,15.573840,20.499606,.57007091
-5.9993297,-9.7514609,14.726395,21.693452,2.5847223
-4.8271740,-9.6479856,13.971123,20.511104,1.4030876
-4.8493971,-8.1236880,15.210314,19.457195,.28092898
-4.1620299,-10.134800,14.404582,21.105977,1.4392866
-3.1456664,-11.029653,14.480970,20.157786,-.23582338
-3.1456664,-11.029653,14.480970,20.157786,-.23582338
-3.2261774,-9.4511335,15.076515,18.929726,-.79572869
-3.2261774,-9.4511335,15.076515,18.929726,-.79572869
-5.2386043,-11.307175,14.345853,19.353505,-1.6980869
-3.5719414,-9.9207792,15.949842,21.150202,.72075813
-5.4211218,-11.490771,14.883102,19.377291,-1.8337058
-5.9379225,-8.9758389,14.231018,17.429168,-1.2952807
-3.7589379,-10.325669,14.886684,18.880938,-1.3596289
-3.2300222,-9.7263826,15.911980,20.035912,-.78486142
-3.3781578,-9.6894042,15.990262,20.368112,-.57070968
-5.6539694,-10.610498,13.645095,17.906513,-1.3599023
