NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
20000,210,.10642637E-01,.10642637E-01,.37400007,.37400007,53.054582
40000,664,.16751363E-01,.22860088E-01,1.1520000,1.5260000,67.419784
60000,1428,.23938603E-01,.38313085E-01,.43300009,1.9590001,39.196464
80000,2486,.31249388E-01,.53181743E-01,.38899994,2.3480000,25.986675
100000,3801,.38260606E-01,.66305477E-01,.42600012,2.7740002,19.120240
120000,5411,.45373988E-01,.80940899E-01,.36399984,3.1380000,14.259893
140000,7250,.51971276E-01,.91555005E-01,.56500006,3.7030001,11.619759
160000,9296,.58167217E-01,.10153880,.54399991,4.2470000,9.4588950
180000,11458,.63740981E-01,.10833109,.63100004,4.8780000,7.8938625
200000,13854,.69246270E-01,.11879387,.53999996,5.4180000,6.3143516
220000,16357,.74526132E-01,.12732475,.54100013,5.9590001,4.9702659
240000,19041,.79485702E-01,.13404097,.56599998,6.5250001,3.7554475
260000,21826,.84031855E-01,.13858569,.47000003,6.9950001,2.6196798
280000,24836,.88554332E-01,.14734654,.37899995,7.3740001,1.5332315
300000,27780,.92603179E-01,.14928703,.31800008,7.6920002,.61469548
313770,30000,.95588976E-01,.16063902,.22799993,7.9200001,.0000000
