SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-10.498065,-9.6746625,14.291261,16.540614,-3.5315861
-12.712630,-11.190016,15.446477,17.459313,-4.0372676
-12.712630,-11.190016,15.446477,17.459313,-4.0372676
-13.600124,-10.518774,12.887716,17.501950,-2.8944913
-8.3453607,-10.235981,12.557595,17.851243,-1.2316869
-4.6138350,-10.779761,13.711326,18.618950,-1.2692389
-4.6138350,-10.779761,13.711326,18.618950,-1.2692389
-4.6138350,-10.779761,13.711326,18.618950,-1.2692389
-5.1005118,-9.7197975,13.843664,17.985054,-1.3459479
-5.1005118,-9.7197975,13.843664,17.985054,-1.3459479
-5.4564775,-10.789446,15.594426,19.766345,-2.0020500
-4.5466617,-8.7714111,14.998245,18.827697,.19625743
-4.5466617,-8.7714111,14.998245,18.827697,.19625743
-3.1857809,-9.7701102,15.014836,19.033580,-.72653207
-5.3871214,-9.6427605,13.142936,19.226008,1.1255122
-3.6893162,-8.9244602,15.071285,19.577380,-.18024706
-3.5343183,-10.021916,15.152211,21.210821,1.2390549
-3.5343183,-10.021916,15.152211,21.210821,1.2390549
-4.4521736,-10.006576,14.625886,19.770533,.91604264
-4.6375514,-11.552441,14.584760,20.005955,-.25279451
-4.6375514,-11.552441,14.584760,20.005955,-.25279451
-4.6375514,-11.552441,14.584760,20.005955,-.25279451
-2.7944837,-10.071230,14.839969,19.821948,-.39154144
-4.2139326,-10.495980,15.728537,20.697726,-.82959755
-4.4892377,-8.7797941,14.624187,18.335135,-.87055982
-4.4107061,-9.9904542,15.879282,21.746153,.86428513
-3.0666773,-10.721553,15.046375,20.018114,-.39653310
-4.2475441,-9.6386093,16.346194,21.401571,.88643728
-5.7453326,-9.1292422,16.163485,20.556656,1.1919975
-4.0802167,-9.1474771,16.107867,20.469670,.71438602
-4.2507858,-10.729676,15.396537,21.822648,1.0506545
-3.2322725,-10.012429,15.153821,21.014411,1.0150640
-5.8527916,-8.8939581,14.356916,18.437274,.44536573
-4.1024730,-10.229655,14.434593,20.303818,-.67934441E-01
-4.1024730,-10.229655,14.434593,20.303818,-.67934441E-01
-5.9988503,-9.4065534,16.301009,22.214689,1.8706576
-5.8780478,-9.9616637,16.765167,19.759374,-2.0648510
-3.7356477,-8.7541961,15.381444,19.569183,.47615334
-4.2491360,-10.140975,14.263468,20.990272,1.7601704
-4.2491360,-10.140975,14.263468,20.990272,1.7601704
-5.5309043,-9.7606704,15.285982,21.605198,.96479900
-3.4831334,-10.252354,15.740937,20.692542,-.46326376
-3.4831334,-10.252354,15.740937,20.692542,-.46326376
-6.2514822,-11.373511,14.410454,20.688910,1.3120727
-5.2675092,-10.345230,14.239871,18.354031,-1.9533419
-4.6446487,-11.267690,13.411970,20.656427,.91759179
-4.6425823,-10.019341,15.478721,19.374922,-1.8012595
-6.6618793,-10.425100,16.606990,22.232331,1.3824021
-6.3937171,-11.209175,13.353922,19.547523,1.0158934
-4.8963724,-10.487279,15.760509,21.635334,.14615290
-3.1019226,-10.399058,14.484642,19.465018,-.71169527
-3.1019226,-10.399058,14.484642,19.465018,-.71169527
-5.5167693,-10.880904,13.346594,20.493856,1.9000506
-2.9391751,-10.730094,14.442227,20.364686,.43175145
-2.9391751,-10.730094,14.442227,20.364686,.43175145
-3.0315435,-9.6287019,15.306567,19.855360,-.54028373
-3.0315435,-9.6287019,15.306567,19.855360,-.54028373
-3.0315435,-9.6287019,15.306567,19.855360,-.54028373
-5.9037521,-7.8398065,16.784757,18.919358,-1.2183170
-3.3624762,-9.0969136,15.559626,19.364766,-.81245087
-3.3433565,-10.353331,15.033069,19.744896,-1.0027763
-3.4220319,-9.5253546,16.213054,20.654031,-.15470700
-3.4220319,-9.5253546,16.213054,20.654031,-.15470700
-3.4220319,-9.5253546,16.213054,20.654031,-.15470700
-5.3427035,-8.4769196,16.157404,18.396585,-1.6691207
-5.1512093,-8.5929535,17.184847,20.632674,-.21877340E-01
-5.1512093,-8.5929535,17.184847,20.632674,-.21877340E-01
-5.4889062,-11.182280,16.264621,21.277747,-.79377306
-5.9910195,-11.328329,13.736110,18.319918,-1.4629209
-4.9077506,-11.895310,14.371613,21.174691,.82208467E-01
-4.9077506,-11.895310,14.371613,21.174691,.82208467E-01
-4.6655507,-11.443898,14.281715,20.639921,-.36498861
-4.5398154,-11.371308,13.717913,19.701760,-.71859646
-3.4669225,-11.171776,13.950344,20.055116,.25160791
-3.4669225,-11.171776,13.950344,20.055116,.25160791
-3.6788824,-10.455345,13.820622,19.796677,.84209161
-4.4391164,-11.799072,14.244338,20.679044,.41680244
-4.6085591,-11.315431,13.087147,19.338555,-.26946400E-01
-3.3182211,-9.8563441,15.860707,20.149458,-.80371866
-4.0068137,-9.2282780,14.706935,18.416254,-1.1334670
-7.2856910,-7.1614574,16.570145,18.390818,-.97025896
-2.7522005,-9.9885665,15.287712,19.733341,-.56363686
-2.7522005,-9.9885665,15.287712,19.733341,-.56363686
-5.1644387,-10.577220,13.206965,18.476200,-.11636967
-8.0049673,-10.004478,17.814909,22.290163,.21943842
-6.4272550,-9.1618970,13.225395,18.546970,.14510476E-01
-4.2572050,-9.0441574,14.861462,18.839558,.11629280
-4.2572050,-9.0441574,14.861462,18.839558,.11629280
-6.0867621,-11.296214,14.545482,19.186993,-.60230842
-4.2808872,-10.753104,14.935872,19.142933,-1.0474049
-3.8663866,-11.343540,14.794821,20.651994,.27956477
-4.5289145,-10.274637,13.872937,19.948550,1.3748931
-3.4752650,-9.1885672,16.271032,19.955471,-.51763034
-5.2900362,-9.6477856,15.945269,19.884812,-1.5885636
-5.3463504,-8.5514000,17.204932,20.896948,-.13555555E-01
-10.349854,-7.0932227,15.949315,17.521982,-.49664093
-6.2530976,-10.102179,16.622007,19.507545,-2.3369770
-3.7380541,-8.7954042,15.846918,20.296252,.73241893
-3.8078424,-8.4901202,15.877913,19.879599,.31418684
-4.5190724,-9.3813765,16.741161,20.348314,-.25873998
-3.0285031,-9.4529823,15.898934,19.943131,-.42505165
-3.0285031,-9.4529823,15.898934,19.943131,-.42505165
-3.3675031,-9.6774899,16.110077,20.896641,.28991305
-3.3675031,-9.6774899,16.110077,20.896641,.28991305
-3.3675031,-9.6774899,16.110077,20.896641,.28991305
-3.3675031,-9.6774899,16.110077,20.896641,.28991305
-3.4688923,-9.2013328,14.740318,19.660523,.75553251
