NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,78,.76494266E-01,.76494266E-01,.42000055E-01,.42000055E-01,16.111867
2000,204,.98822304E-01,.12115034,.13999939E-01,.55999994E-01,8.1792933
3000,355,.11668373,.15240658,.13999939E-01,.69999933E-01,5.8454874
4000,555,.13523024,.19086978,.13000011E-01,.82999945E-01,4.4034836
5000,745,.14784385,.19829827,.13999939E-01,.96999884E-01,3.8090357
6000,950,.15736573,.20497513,.14000177E-01,.11100006,3.3942650
7000,1176,.16681873,.22353674,.14999866E-01,.12599993,3.0882839
8000,1396,.17376646,.22240060,.13999939E-01,.13999987,2.8685933
9000,1622,.18004827,.23030272,.14000177E-01,.15400004,2.6943362
10000,1860,.18683033,.24786886,.13999939E-01,.16799998,2.5416772
11000,2135,.19457868,.27206222,.16000032E-01,.18400002,2.4014803
12000,2393,.20003918,.26010467,.16000032E-01,.20000005,2.3073135
13000,2664,.20520347,.26717493,.14999866E-01,.21499991,2.2061703
14000,2944,.21007869,.27345657,.15000105E-01,.23000002,2.1137502
15000,3233,.21513498,.28592298,.14999866E-01,.24499989,2.0284293
16000,3507,.21810024,.26257911,.16000032E-01,.26099992,1.9716769
17000,3799,.22245666,.29215948,.15000105E-01,.27600002,1.9035211
18000,4105,.22584913,.28352105,.14999866E-01,.29099989,1.8356741
19000,4374,.22833931,.27316258,.13999939E-01,.30499983,1.7869057
20000,4669,.23122710,.28609508,.14000177E-01,.31900001,1.7306895
21000,4958,.23368578,.28285947,.14999866E-01,.33399987,1.6869756
22000,5227,.23534350,.27015564,.15000105E-01,.34899998,1.6540609
23000,5509,.23721403,.27836573,.17999887E-01,.36699986,1.6315472
24000,5804,.23936429,.28882007,.18000126E-01,.38499999,1.6050069
25000,6075,.24095485,.27912830,.14999866E-01,.39999986,1.5753081
26000,6349,.24230258,.27599602,.15000105E-01,.41499996,1.5459386
27000,6651,.24441073,.29922243,.13999939E-01,.42899990,1.5060470
28000,6937,.24569782,.28044924,.19000053E-01,.44799995,1.4894368
29000,7217,.24667542,.27404836,.13000011E-01,.46099997,1.4553086
30000,7523,.24866271,.30629396,.14999866E-01,.47599983,1.4221784
31000,7822,.25026246,.29825521,.16000032E-01,.49199986,1.3949850
32000,8118,.25216399,.31111120,.15000105E-01,.50699997,1.3666141
33000,8407,.25331900,.29027932,.19000053E-01,.52600002,1.3510073
34000,8673,.25388672,.27262145,.14999866E-01,.54099989,1.3303245
35000,8977,.25486837,.28824454,.19000053E-01,.55999994,1.3114491
36000,9255,.25554560,.27924884,.16000032E-01,.57599998,1.2910988
37000,9555,.25672722,.29926553,.16000032E-01,.59200001,1.2667127
38000,9839,.25751948,.28683314,.17999887E-01,.60999990,1.2499449
39000,10119,.25829333,.28769952,.16000032E-01,.62599993,1.2299145
40000,10426,.25934002,.30016079,.16000032E-01,.64199996,1.2053047
41000,10695,.25975226,.27624192,.15000105E-01,.65700006,1.1859174
42000,10979,.26040604,.28721104,.14999866E-01,.67199993,1.1642327
43000,11292,.26147152,.30622169,.19000053E-01,.69099998,1.1448129
44000,11586,.26244435,.30427588,.14999866E-01,.70599985,1.1220681
45000,11870,.26322249,.29746086,.17000198E-01,.72300005,1.1042958
46000,12174,.26422838,.30949359,.18999815E-01,.74199986,1.0864867
47000,12457,.26489940,.29576625,.19999981E-01,.76199985,1.0731126
48000,12760,.26578408,.30736394,.15000105E-01,.77699995,1.0498024
49000,13030,.26599703,.27621841,.15000105E-01,.79200006,1.0314843
50000,13339,.26678057,.30517428,.14999866E-01,.80699992,1.0079785
51000,13669,.26772719,.31505819,.15000105E-01,.82200003,.98208226
52000,13966,.26832431,.29877718,.16000032E-01,.83800006,.96208599
53000,14290,.26908334,.30855310,.15999794E-01,.85399985,.93886198
54000,14599,.26962451,.29830642,.16000032E-01,.86999989,.91779356
55000,14870,.27000163,.29036629,.16000032E-01,.88599992,.90149151
56000,15139,.27029799,.28659769,.15000105E-01,.90100002,.88445481
57000,15459,.27103867,.31251691,.16000032E-01,.91700006,.86254595
58000,15764,.27164166,.30601220,.15999794E-01,.93299985,.84256444
59000,16075,.27206859,.29683011,.15000105E-01,.94799995,.82120680
60000,16345,.27228878,.28527988,.15000105E-01,.96300006,.80451305
61000,16640,.27288221,.30848818,.14999866E-01,.97799993,.78522109
62000,16960,.27358389,.31638630,.18000126E-01,.99600005,.76579249
63000,17273,.27409075,.30551631,.19999981E-01,1.0160000,.74860374
64000,17580,.27470961,.31369793,.16000032E-01,1.0320001,.72909220
65000,17889,.27517184,.30475463,.21999836E-01,1.0539999,.71356659
66000,18216,.27576853,.31455340,.19000053E-01,1.0730000,.69412777
67000,18525,.27634866,.31463697,.15000105E-01,1.0880001,.67394336
68000,18835,.27669164,.29967157,.14999866E-01,1.1029999,.65383563
69000,19170,.27737365,.32375006,.16000032E-01,1.1190000,.63217369
70000,19474,.27778211,.30596580,.15000105E-01,1.1340001,.61294468
71000,19791,.27821208,.30831020,.17999887E-01,1.1520000,.59424827
72000,20092,.27844575,.29503607,.16000032E-01,1.1680000,.57597769
73000,20402,.27893571,.31421294,.19000053E-01,1.1870000,.55841713
74000,20696,.27922024,.29999054,.15999794E-01,1.2029998,.54081515
75000,20984,.27943295,.29517369,.15000105E-01,1.2179999,.52332670
76000,21282,.27973143,.30211728,.15000105E-01,1.2330000,.50508854
77000,21567,.27987620,.29087859,.15999794E-01,1.2489998,.48837648
78000,21866,.28024670,.30877528,.15000105E-01,1.2639999,.47019919
79000,22195,.28066737,.31347960,.16000032E-01,1.2800000,.45011939
80000,22509,.28109362,.31476787,.16000032E-01,1.2960000,.43130908
81000,22822,.28144921,.30989623,.14999866E-01,1.3109999,.41233709
82000,23139,.28188152,.31689844,.16000032E-01,1.3269999,.39347190
83000,23463,.28242269,.32679856,.15000105E-01,1.3420000,.37389311
84000,23788,.28283549,.31709850,.16000032E-01,1.3580000,.35462823
85000,24113,.28318835,.31282836,.16999960E-01,1.3750000,.33569548
86000,24408,.28333935,.29617430,.16000032E-01,1.3910000,.31868536
87000,24694,.28341875,.29024681,.14999866E-01,1.4059999,.30210721
88000,25007,.28367215,.30571800,.16000032E-01,1.4219999,.28392233
89000,25320,.28402707,.31526016,.15000105E-01,1.4370000,.26560664
90000,25639,.28447031,.32391878,.15999794E-01,1.4529998,.24714428
91000,25956,.28474562,.30952388,.15000105E-01,1.4679999,.22871751
92000,26293,.28509310,.31671319,.18000126E-01,1.4860001,.20950832
93000,26609,.28533286,.30739084,.20999908E-01,1.5070000,.19204919
94000,26903,.28556095,.30677343,.17999887E-01,1.5249999,.17555383
95000,27224,.28584113,.31217843,.22000074E-01,1.5469999,.15774581
96000,27513,.28589120,.29064752,.15000105E-01,1.5620000,.14119486
97000,27829,.28621347,.31715160,.15999794E-01,1.5779998,.12310315
98000,28144,.28641231,.30569920,.17000198E-01,1.5950000,.10518477
99000,28465,.28673752,.31860862,.16000032E-01,1.6110001,.86874586E-01
100000,28761,.28685656,.29864115,.17999887E-01,1.6289999,.70175965E-01
101000,29059,.28702553,.30392252,.17999887E-01,1.6469998,.53333798E-01
102000,29368,.28723592,.30848519,.19000053E-01,1.6659999,.35852354E-01
103000,29679,.28748218,.31260127,.23000002E-01,1.6889999,.18267764E-01
104000,29976,.28764550,.30446690,.16999960E-01,1.7059999,.13658926E-02
104075,30000,.28768511,.34261603,.20000935E-02,1.7079999,.0000000
