SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-11.333071,-12.375346,15.343058,19.618140,-3.2442304
-11.582955,-10.716241,15.402106,17.249282,-3.6013625
-9.9625002,-8.3517054,16.414887,17.196737,-2.5711587
-7.6620883,-8.5768746,15.949969,17.757498,-2.8356839
-5.0453158,-9.7334372,17.020082,20.594023,-1.0416558
-5.0710402,-12.197015,14.370732,20.947809,.50377123E-01
-4.1857752,-9.2616056,14.935207,18.706080,-1.3364519
-4.7767336,-11.103404,15.193047,21.999309,1.0291391
-6.7005462,-10.482448,15.236873,21.138758,-.51323491
-6.7005462,-10.482448,15.236873,21.138758,-.51323491
-6.7005462,-10.482448,15.236873,21.138758,-.51323491
-8.7904584,-6.8460664,17.774990,19.619923,-.34685356
-8.7904584,-6.8460664,17.774990,19.619923,-.34685356
-5.2373569,-10.419041,14.158693,21.448807,1.6343733
-5.2373569,-10.419041,14.158693,21.448807,1.6343733
-4.8711316,-9.3283013,14.644246,20.539049,.71699691
-4.8711316,-9.3283013,14.644246,20.539049,.71699691
-4.8711316,-9.3283013,14.644246,20.539049,.71699691
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-3.4575614,-9.7890814,15.205874,19.035206,-.77646359
-5.9038826,-12.430653,13.315295,20.754572,.34000329
-4.2215732,-9.4524879,15.907091,19.528960,-1.4730427
-4.2215732,-9.4524879,15.907091,19.528960,-1.4730427
-4.2215732,-9.4524879,15.907091,19.528960,-1.4730427
-4.2215732,-9.4524879,15.907091,19.528960,-1.4730427
-5.1876268,-8.5873421,15.452561,18.560062,-1.5494472
-5.1876268,-8.5873421,15.452561,18.560062,-1.5494472
-5.1876268,-8.5873421,15.452561,18.560062,-1.5494472
-5.7905070,-8.7515381,13.830952,18.395120,.58509369
-4.0426686,-9.1773979,14.378817,19.550176,1.0255152
-6.3127906,-10.525036,14.115118,20.928525,2.3350355
-6.5126549,-10.684897,13.983053,20.296432,1.8242721
-2.9834311,-9.3279391,15.025984,20.057426,.58933142
-2.9834311,-9.3279391,15.025984,20.057426,.58933142
-3.9451284,-10.842864,15.264283,19.836655,-.60626037
-3.9451284,-10.842864,15.264283,19.836655,-.60626037
-3.9451284,-10.842864,15.264283,19.836655,-.60626037
-3.9451284,-10.842864,15.264283,19.836655,-.60626037
-3.9451284,-10.842864,15.264283,19.836655,-.60626037
-5.3781811,-10.866442,15.361460,21.121391,1.1719108
-5.3781811,-10.866442,15.361460,21.121391,1.1719108
-6.0772517,-8.1082032,14.196299,18.482148,.32928005
-4.3678652,-9.8127319,16.010142,21.675728,.83302111
-3.3744826,-9.4844250,15.631117,20.930172,.73069030
