ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,1.0000000,.0000000,1,1,-329.22317,.0000000,.0000000,.0000000,.0000000
1,0,.66666667,.0000000,1,2,-319.38776,-1.1314671,-1.0114699,2.4409968,-1.6380039
1,0,.60000000,.0000000,2,2,-292.87086,-2.7086895,-1.7464301,2.8874169,.42833054
1,0,.57142857,.0000000,3,2,-290.73338,-4.9133278,-2.9019973,2.3510471,-.17945322E-01
1,0,.62500000,.0000000,4,1,-246.42733,-6.3118797,-1.0692085,3.3947139,.74613393
1,0,.44339013,.0000000,5,6,-221.08733,-6.0304844,-.79774808E-01,5.5681717,2.8266385
1,0,.48049746,.0000000,6,1,-202.40197,-4.3554141,.72122999,7.2478948,.97219316
1,0,.51296637,.59390401,7,1,-193.81687,-4.5113634,1.1759642,6.7295817,-.97407638E-01
1,0,.54161540,.0000000,8,1,-184.47848,-5.2852795,1.2274968,6.1575672,.90476793
1,0,.56708122,.0000000,9,1,-132.43471,-8.6517902,1.3597608,10.389047,2.3234489
1,0,.58986641,.0000000,10,1,-74.016495,-11.072057,5.1673705,15.561394,5.2464529
1,0,.58130771,.0000000,11,2,-52.732345,-11.785871,7.2550737,17.402937,5.1324109
1,0,.60033918,.0000000,12,1,-42.889482,-12.198813,6.4457901,18.136693,3.3685577
1,0,.56829849,.0000000,13,3,-40.160816,-13.490221,6.8333150,19.808658,4.3306435
1,0,.55865470,.0000000,14,3,-35.607210,-15.080492,8.6603437,22.913775,5.0956270
1,0,.48960697,.57260151,15,6,-31.535578,-13.959637,9.0189551,21.938921,3.1208826
1,0,.34602098,.0000000,16,17,-30.668004,-14.034244,9.3014733,21.677418,5.1968917
1,0,.35183151,.0000000,16,2,-23.750256,-13.153782,11.446052,23.836539,4.1317230
1,0,.31435139,.0000000,18,11,-21.063506,-14.392272,12.179171,23.122825,3.9629911
1,0,.31520132,.0000000,18,3,-19.168101,-13.454555,11.575031,22.330096,4.2521995
1,0,.18395837,.32040457,19,52,-20.394973,-13.447531,10.420763,22.136761,3.2117681
1,0,.14109192,.0000000,19,47,-13.634534,-11.281953,11.548897,21.426675,3.5178233
1,0,.13992020,.0000000,22,6,-14.073290,-11.584189,10.927128,20.075207,3.1698410
1,0,.13339804,.0000000,22,16,-13.521311,-10.004245,10.978633,18.679393,1.5992310
1,0,.12123312,.26847371,22,33,-7.2788322,-10.609075,14.000948,21.591041,1.2341820
1,0,.12245235,.0000000,25,6,-6.7957175,-11.312136,14.586340,22.185570,1.0420441
1,0,.11052129,.0000000,25,35,-4.7254600,-11.363133,13.571979,21.002667,1.2238827
1,0,.10256043,.0000000,25,32,-3.3186989,-10.033207,14.031057,19.861312,.45206313
1,0,.99258756E-01,.31847012,27,15,-4.1648291,-10.642277,15.081296,21.358045,.42274683
1,0,.88304501E-01,.0000000,27,51,-4.2545720,-9.1960902,14.932158,20.391736,.49293041
1,0,.77696380E-01,.0000000,27,65,-4.6589211,-8.9944775,15.358361,20.893006,.92059370
1,0,.76189658E-01,.0000000,27,23,-4.2430084,-8.8632162,15.463872,20.659562,.77820555
1,0,.77071120E-01,.0000000,26,8,-3.5894038,-9.2555827,14.807934,20.136188,1.1394115
1,0,.76166520E-01,.19369593,26,22,-3.8551621,-8.9537411,15.275136,19.744714,.75484540
1,0,.75859135E-01,.0000000,26,9,-4.5199520,-10.037642,15.373310,21.782364,1.6916624
1,0,.75658793E-01,.0000000,26,2,-7.4435661,-9.1079928,15.228749,21.652776,1.4019103
1,0,.72449118E-01,.0000000,26,27,-10.695689,-8.7425594,15.336565,21.142913,.32755746
1,0,.71774213E-01,.44668985E-01,26,22,-8.0522921,-9.4554816,13.928065,20.298646,.43348141
1,0,.72161771E-01,.0000000,26,12,-6.7230803,-7.4088578,17.155351,20.261024,.25034201
1,0,.71868382E-01,.0000000,26,21,-6.2781684,-7.5889935,17.139125,19.657047,-.28835357
1,0,.73490990E-01,.0000000,26,1,-4.0993060,-8.6620179,16.584605,19.925084,-.48363194
1,0,.73173290E-01,.0000000,26,3,-7.3748694,-9.6860008,12.515701,18.959924,.84532580
1,0,.73167144E-01,.52615036E-01,26,14,-6.1692503,-11.125267,13.823463,21.069423,.47259622
1,0,.73431662E-01,.0000000,26,9,-6.4018033,-7.8120215,15.419701,19.333637,-.23416337
1,0,.73371177E-01,.0000000,26,34,-4.9359675,-9.3083243,16.305822,20.828350,1.0043887
1,0,.73681389E-01,.0000000,26,8,-6.0981055,-10.253530,17.094838,22.034795,.15364195
1,0,.74796829E-01,.0000000,26,10,-3.6487683,-9.9367026,15.924290,21.239948,.82272830
1,0,.74289771E-01,.0000000,26,5,-6.8314546,-12.288260,14.330977,21.764468,1.4711625
1,0,.75015111E-01,.44800579E-01,26,7,-4.3529144,-10.542301,16.163042,21.383831,-.19022906
1,0,.74262508E-01,.0000000,26,23,-3.3656996,-9.2621732,15.117494,20.345739,.52754585
1,0,.73615759E-01,.0000000,26,9,-5.2955162,-8.4314607,14.958971,18.948414,-.67134637
1,0,.74948686E-01,.0000000,26,1,-3.9667160,-9.2767582,14.967639,19.661669,.82112425
1,0,.70196409E-01,.25747822E-01,25,65,-4.0535036,-10.844250,15.000608,21.345088,1.2679254
1,0,.70113084E-01,.0000000,25,2,-6.6187557,-11.318750,16.044522,22.033356,1.0379493
1,0,.70903026E-01,.0000000,25,6,-5.1918342,-9.9231212,17.035081,21.438514,-.41158841E-01
1,0,.70671760E-01,.0000000,25,3,-8.7159243,-10.311261,17.669812,22.649169,.76269101
1,0,.71875553E-01,.0000000,25,1,-8.2422944,-9.9556306,17.874969,22.196919,.28934627
1,0,.72950763E-01,.37391054E-01,25,13,-6.8208217,-8.9295753,17.169001,21.407518,1.1848147
1,0,.74130215E-01,.0000000,25,1,-5.6807022,-8.4607159,15.990403,19.707763,.80405636
1,0,.74047104E-01,.0000000,25,8,-6.3213937,-11.219780,15.482808,22.493796,1.8514613
1,0,.75330342E-01,.0000000,25,13,-3.6057529,-8.8615285,15.501429,20.092486,.14958735
1,0,.74547489E-01,.13774210E-01,25,16,-4.5184311,-10.036175,16.473677,21.474616,.62765885
1,0,.75220850E-01,.0000000,25,7,-3.6461728,-11.036205,14.398827,20.455771,.71255106
1,0,.75286834E-01,.0000000,25,16,-3.2653099,-10.523760,14.077777,19.732256,.44661743
1,0,.75291980E-01,.0000000,25,2,-5.1300456,-10.322537,13.568607,19.359766,-.48726906
1,0,.76309518E-01,.54343395E-01,25,18,-3.4330774,-10.824922,15.236546,20.499986,-.57885685
1,0,.75997814E-01,.0000000,25,5,-5.6547549,-12.096864,14.303020,20.243877,-.95959824E-01
1,0,.76551776E-01,.0000000,25,1,-6.2362654,-10.826191,16.855397,20.930223,-1.0607675
1,0,.77509166E-01,.0000000,25,4,-4.4362470,-10.921029,14.919290,19.963907,.90629624E-01
1,0,.76014571E-01,.35435553E-01,25,33,-4.8369311,-10.143984,16.584823,20.114402,-1.1528793
1,0,.75969622E-01,.0000000,25,17,-5.1170091,-10.918370,15.947546,20.598269,-.20106257
1,0,.76083364E-01,.0000000,25,6,-5.6992563,-10.815433,14.339044,20.507522,-.50879354
1,0,.77073628E-01,.0000000,25,1,-3.8123171,-10.460332,13.482821,19.384492,.12698428
1,0,.76836818E-01,.0000000,25,4,-6.2618628,-9.6249164,15.134122,19.720515,-1.3560764
1,0,.76772311E-01,.73050889E-01,25,16,-5.9287789,-8.8253430,15.316587,19.485762,-1.0300174
1,0,.77692000E-01,.0000000,25,2,-5.4206288,-11.384183,15.590219,20.285281,-.68497134
1,0,.78411900E-01,.0000000,25,4,-3.8925229,-10.587025,15.634975,19.893363,-.75355607
1,0,.76267166E-01,.0000000,25,45,-4.2505922,-10.317513,14.238629,19.082161,.96467194E-01
1,0,.76567654E-01,.0000000,25,2,-5.1104151,-8.8038355,14.659041,17.832215,-1.0683612
1,0,.75142600E-01,.36534244E-01,25,28,-5.7765191,-11.212106,12.981718,19.097170,-.74114284
1,0,.76265984E-01,.0000000,25,7,-3.9092967,-10.639471,13.967375,20.262258,.18731173
1,0,.77045858E-01,.0000000,25,1,-4.0270726,-10.653186,14.076122,20.802896,.79567739
1,0,.76744010E-01,.0000000,25,21,-4.4421728,-8.6386369,14.768814,19.943864,1.1398302
1,0,.77191043E-01,.0000000,25,8,-4.5742597,-9.0211231,15.174808,20.440709,1.6006021
1,0,.77661780E-01,.63329894E-01,25,1,-5.1158519,-10.774838,15.406734,20.981905,1.0216491
1,0,.76426831E-01,.0000000,25,56,-2.7326155,-10.168663,14.587663,20.191493,.38869925
1,0,.75939201E-01,.0000000,26,12,-4.8510437,-10.445712,16.570542,21.642288,.11234976
1,0,.75260272E-01,.0000000,26,40,-4.1089897,-10.298105,14.829410,18.789330,-1.0036861
1,0,.74890053E-01,.0000000,26,12,-5.0534183,-11.191175,13.732576,19.046986,-.19917927
1,0,.75968585E-01,.0000000,26,6,-5.4289296,-10.337333,12.838776,18.587091,.30547233
1,0,.76944631E-01,.55786114E-01,26,9,-4.0713543,-9.6843108,13.865280,18.898431,-.38991760
1,0,.76209907E-01,.0000000,26,16,-6.4058791,-8.3874076,15.506613,21.147990,1.5954256
