NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,78,.76494266E-01,.76494266E-01,.23000002E-01,.23000002E-01,8.8231546
2000,204,.98822304E-01,.12115034,.19999981E-01,.42999983E-01,6.2805269
3000,355,.11668373,.15240658,.23000002E-01,.65999985E-01,5.5114635
4000,555,.13523024,.19086978,.29000044E-01,.95000029E-01,5.0401367
5000,745,.14784385,.19829827,.23000002E-01,.11800003,4.6336791
6000,950,.15736573,.20497513,.26000023E-01,.14400005,4.4033701
7000,1176,.16681873,.22353674,.26000023E-01,.17000008,4.1667366
8000,1396,.17376646,.22240060,.25000095E-01,.19500017,3.9955479
9000,1622,.18004827,.23030272,.21999836E-01,.21700001,3.7965636
10000,1860,.18683033,.24786886,.26999950E-01,.24399996,3.6914832
11000,2135,.19457868,.27206222,.29000044E-01,.27300000,3.5630656
12000,2393,.20003918,.26010467,.29999971E-01,.30299997,3.4955789
13000,2664,.20520347,.26717493,.27000189E-01,.33000016,3.3862179
14000,2944,.21007869,.27345657,.28999805E-01,.35899997,3.2992877
15000,3233,.21513498,.28592298,.27000189E-01,.38600016,3.1958139
16000,3507,.21810024,.26257911,.29999971E-01,.41600013,3.1425981
17000,3799,.22245666,.29215948,.32000065E-01,.44800019,3.0897744
18000,4105,.22584913,.28352105,.33999920E-01,.48200011,3.0405342
19000,4374,.22833931,.27316258,.30999899E-01,.51300001,3.0055186
20000,4669,.23122710,.28609508,.29000044E-01,.54200006,2.9405447
21000,4958,.23368578,.28285947,.26999950E-01,.56900001,2.8739206
22000,5227,.23534350,.27015564,.26000023E-01,.59500003,2.8199609
23000,5509,.23721403,.27836573,.32999992E-01,.62800002,2.7918585
24000,5804,.23936429,.28882007,.29999971E-01,.65799999,2.7431027
25000,6075,.24095485,.27912830,.29999971E-01,.68799996,2.7095307
26000,6349,.24230258,.27599602,.27000189E-01,.71500015,2.6634854
27000,6651,.24441073,.29922243,.26999950E-01,.74200010,2.6048655
28000,6937,.24569782,.28044924,.23000002E-01,.76500010,2.5433469
29000,7217,.24667542,.27404836,.22000074E-01,.78700018,2.4844430
30000,7523,.24866271,.30629396,.25999784E-01,.81299996,2.4290576
31000,7822,.25026246,.29825521,.32000065E-01,.84500003,2.3958592
32000,8118,.25216399,.31111120,.23999929E-01,.86899996,2.3423820
33000,8407,.25331900,.29027932,.24000168E-01,.89300013,2.2936305
34000,8673,.25388672,.27262145,.23000002E-01,.91600013,2.2524541
35000,8977,.25486837,.28824454,.23999929E-01,.94000006,2.2013614
36000,9255,.25554560,.27924884,.23999929E-01,.96399999,2.1607974
37000,9555,.25672722,.29926553,.27000189E-01,.99100018,2.1204603
38000,9839,.25751948,.28683314,.23999929E-01,1.0150001,2.0798269
39000,10119,.25829333,.28769952,.26000023E-01,1.0410001,2.0452736
40000,10426,.25934002,.30016079,.27999878E-01,1.0690000,2.0069639
41000,10695,.25975226,.27624192,.42999983E-01,1.1120000,2.0072146
42000,10979,.26040604,.28721104,.44000149E-01,1.1560001,2.0027579
43000,11292,.26147152,.30622169,.62000036E-01,1.2180002,2.0179195
44000,11586,.26244435,.30427588,.41999817E-01,1.2600000,2.0025582
45000,11870,.26322249,.29746086,.40000200E-01,1.3000002,1.9855942
46000,12174,.26422838,.30949359,.39999962E-01,1.3400002,1.9621195
47000,12457,.26489940,.29576625,.31999826E-01,1.3720000,1.9321663
48000,12760,.26578408,.30736394,.28000116E-01,1.4000001,1.8915362
49000,13030,.26599703,.27621841,.32000065E-01,1.4320002,1.8650071
50000,13339,.26678057,.30517428,.31999826E-01,1.4640000,1.8286006
51000,13669,.26772719,.31505819,.28000116E-01,1.4920001,1.7825630
52000,13966,.26832431,.29877718,.24999857E-01,1.5170000,1.7416281
