SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-7.2788322,-10.609075,14.000948,21.591041,1.2341820
-7.2788322,-10.609075,14.000948,21.591041,1.2341820
-4.7254600,-11.363133,13.571979,21.002667,1.2238827
-4.7254600,-11.363133,13.571979,21.002667,1.2238827
-4.7254600,-11.363133,13.571979,21.002667,1.2238827
-3.3186989,-10.033207,14.031057,19.861312,.45206313
-3.3186989,-10.033207,14.031057,19.861312,.45206313
-4.1648291,-10.642277,15.081296,21.358045,.42274683
-4.2545720,-9.1960902,14.932158,20.391736,.49293041
-4.2545720,-9.1960902,14.932158,20.391736,.49293041
-4.2545720,-9.1960902,14.932158,20.391736,.49293041
-4.2545720,-9.1960902,14.932158,20.391736,.49293041
-4.6589211,-8.9944775,15.358361,20.893006,.92059370
-4.6589211,-8.9944775,15.358361,20.893006,.92059370
-4.6589211,-8.9944775,15.358361,20.893006,.92059370
-4.6589211,-8.9944775,15.358361,20.893006,.92059370
-4.2430084,-8.8632162,15.463872,20.659562,.77820555
-4.2430084,-8.8632162,15.463872,20.659562,.77820555
-3.5894038,-9.2555827,14.807934,20.136188,1.1394115
-3.8551621,-8.9537411,15.275136,19.744714,.75484540
-4.5199520,-10.037642,15.373310,21.782364,1.6916624
-10.695689,-8.7425594,15.336565,21.142913,.32755746
-10.695689,-8.7425594,15.336565,21.142913,.32755746
-8.0522921,-9.4554816,13.928065,20.298646,.43348141
-8.0522921,-9.4554816,13.928065,20.298646,.43348141
-6.7230803,-7.4088578,17.155351,20.261024,.25034201
-6.2781684,-7.5889935,17.139125,19.657047,-.28835357
-6.1692503,-11.125267,13.823463,21.069423,.47259622
-6.4018033,-7.8120215,15.419701,19.333637,-.23416337
-4.9359675,-9.3083243,16.305822,20.828350,1.0043887
-4.9359675,-9.3083243,16.305822,20.828350,1.0043887
-6.0981055,-10.253530,17.094838,22.034795,.15364195
-3.6487683,-9.9367026,15.924290,21.239948,.82272830
-3.3656996,-9.2621732,15.117494,20.345739,.52754585
-3.3656996,-9.2621732,15.117494,20.345739,.52754585
-5.2955162,-8.4314607,14.958971,18.948414,-.67134637
-4.0535036,-10.844250,15.000608,21.345088,1.2679254
-4.0535036,-10.844250,15.000608,21.345088,1.2679254
-4.0535036,-10.844250,15.000608,21.345088,1.2679254
-4.0535036,-10.844250,15.000608,21.345088,1.2679254
-4.0535036,-10.844250,15.000608,21.345088,1.2679254
-8.7159243,-10.311261,17.669812,22.649169,.76269101
-6.8208217,-8.9295753,17.169001,21.407518,1.1848147
-3.6057529,-8.8615285,15.501429,20.092486,.14958735
-4.5184311,-10.036175,16.473677,21.474616,.62765885
-3.6461728,-11.036205,14.398827,20.455771,.71255106
-3.2653099,-10.523760,14.077777,19.732256,.44661743
-3.4330774,-10.824922,15.236546,20.499986,-.57885685
-5.6547549,-12.096864,14.303020,20.243877,-.95959824E-01
-4.8369311,-10.143984,16.584823,20.114402,-1.1528793
-4.8369311,-10.143984,16.584823,20.114402,-1.1528793
-5.1170091,-10.918370,15.947546,20.598269,-.20106257
-5.1170091,-10.918370,15.947546,20.598269,-.20106257
-5.9287789,-8.8253430,15.316587,19.485762,-1.0300174
-5.4206288,-11.384183,15.590219,20.285281,-.68497134
-4.2505922,-10.317513,14.238629,19.082161,.96467194E-01
-4.2505922,-10.317513,14.238629,19.082161,.96467194E-01
-4.2505922,-10.317513,14.238629,19.082161,.96467194E-01
-5.1104151,-8.8038355,14.659041,17.832215,-1.0683612
-5.7765191,-11.212106,12.981718,19.097170,-.74114284
-5.7765191,-11.212106,12.981718,19.097170,-.74114284
-4.4421728,-8.6386369,14.768814,19.943864,1.1398302
-4.4421728,-8.6386369,14.768814,19.943864,1.1398302
-2.7326155,-10.168663,14.587663,20.191493,.38869925
-2.7326155,-10.168663,14.587663,20.191493,.38869925
-2.7326155,-10.168663,14.587663,20.191493,.38869925
-2.7326155,-10.168663,14.587663,20.191493,.38869925
-4.8510437,-10.445712,16.570542,21.642288,.11234976
