SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-10.811068,-11.826134,17.349351,21.930347,-.88850220
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-3.3304880,-10.336402,14.361177,19.208424,-.20922958
-6.9382917,-8.7724631,14.819618,17.513950,-2.2910501
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-4.4446575,-9.2505269,14.932720,18.745783,-.11172164
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.8835106,-10.167535,16.274463,18.951777,-1.7558079
-6.2962863,-9.1200586,16.174065,18.331863,-1.6823162
-5.7972820,-9.2045346,14.451356,19.390683,1.3412322
-5.7972820,-9.2045346,14.451356,19.390683,1.3412322
-5.7972820,-9.2045346,14.451356,19.390683,1.3412322
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-4.9183643,-9.7992107,14.884145,20.599166,1.7337837
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-5.0372287,-12.071686,13.352629,20.268612,.25840495
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.5235049,-8.6073463,14.405823,19.042113,.30875706
-4.2816315,-9.1767670,16.344999,21.114753,.30037056
-4.2816315,-9.1767670,16.344999,21.114753,.30037056
-5.3549450,-10.971454,13.446450,18.853397,.50261596E-01
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.2384475,-9.8660775,15.769483,20.815890,.59022954
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-3.1722844,-9.1425168,15.511234,20.364498,.57641357
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-4.0234489,-9.5940482,14.527783,20.516262,.82614988
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-3.1543838,-9.7087333,15.521262,19.385148,-1.0108254
-4.0718551,-9.1171666,16.194543,20.412121,-.46726556
-3.6082862,-10.973926,14.231712,19.417402,-.88869778
-5.9079353,-11.678711,15.383288,21.758026,-.19496261
-5.9079353,-11.678711,15.383288,21.758026,-.19496261
-5.6746761,-11.881090,14.498327,21.873023,.72819205
-5.7052261,-9.3911514,13.634611,18.086077,-1.0216325
-5.7052261,-9.3911514,13.634611,18.086077,-1.0216325
-4.5878859,-9.8564326,13.955476,20.299766,.79560054
-5.2002266,-11.445693,15.583455,22.029190,.69410324
-5.2002266,-11.445693,15.583455,22.029190,.69410324
-5.5289622,-11.721667,13.880104,21.239647,.48201557
-3.5277700,-11.026726,13.802453,20.256438,.59773074
-3.0956589,-9.8097537,14.254671,19.788828,.59469058
-3.0956589,-9.8097537,14.254671,19.788828,.59469058
-3.0956589,-9.8097537,14.254671,19.788828,.59469058
-5.1859873,-9.7842470,16.221080,22.071560,1.5041847
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.8367504,-9.6606367,14.924743,21.412805,2.4771773
-5.2996023,-8.2900454,15.725280,20.434095,1.5150049
-4.5833006,-9.9059092,14.020195,20.445465,1.8227301
-4.7520877,-8.6965363,16.402310,21.139600,1.0726336
-4.7520877,-8.6965363,16.402310,21.139600,1.0726336
-4.5861556,-8.2789024,14.880643,19.049987,.40213431
-3.8288911,-9.8231113,14.772944,19.056635,-1.2543221
