NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
20000,210,.10642637E-01,.10642637E-01,.17900014,.17900014,25.392448
40000,664,.16751363E-01,.22860088E-01,.18000007,.35900021,15.860889
60000,1428,.23938603E-01,.38313085E-01,.18099999,.54000020,10.804542
80000,2486,.31249388E-01,.53181743E-01,.18799996,.72800016,8.0571989
100000,3801,.38260606E-01,.66305477E-01,.19099998,.91900015,6.3343554
120000,5411,.45373988E-01,.80940899E-01,.20000005,1.1190002,5.0850297
140000,7250,.51971276E-01,.91555005E-01,.20999980,1.3290000,4.1703103
160000,9296,.58167217E-01,.10153880,.22900009,1.5580001,3.4699692
180000,11458,.63740981E-01,.10833109,.22099996,1.7790000,2.8788810
200000,13854,.69246270E-01,.11879387,.28900003,2.0680001,2.4101292
220000,16357,.74526132E-01,.12732475,.20300007,2.2710001,1.8941893
240000,19041,.79485702E-01,.13404097,.20199990,2.4730000,1.4233290
260000,21826,.84031855E-01,.13858569,.21500015,2.6880002,1.0066762
280000,24836,.88554332E-01,.14734654,.23599982,2.9240000,.60796973
300000,27780,.92603179E-01,.14928703,.21500015,3.1390002,.25084883
313770,30000,.95588976E-01,.16063902,.14100003,3.2800002,.0000000
