ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
3,0,.50000000,.0000000,1,2,-157.53670,-21.871057,5.3881243,11.333972,-9.0388044
3,0,.33333626,.0000000,1,4,-144.45709,-19.682864,5.2456447,9.8728089,-9.9500788
3,0,.30000176,.0000000,2,4,-127.20030,-18.189698,5.4262459,9.6676768,-9.3111310
3,0,.36363796,.0000000,3,1,-121.77621,-17.672207,4.4459981,9.9917322,-8.5710389
3,0,.41666813,.0000000,4,1,-120.79870,-18.584040,5.7102332,10.458054,-7.7966626
3,0,.46153981,.0000000,4,1,-99.883246,-17.221385,6.6724627,11.115781,-6.1649540
3,0,.50000126,.0000000,6,1,-79.424926,-17.299552,7.0778809,12.663833,-5.8345888
3,0,.53651165,.88698286,7,2,-66.981432,-16.936185,6.5457449,13.759956,-4.9217598
3,0,.56377567,.0000000,8,1,-61.985290,-17.374732,6.5813471,14.802921,-3.6279722
3,0,.58801036,.0000000,9,1,-47.838772,-17.818984,7.3539335,17.770891,-1.4817801
3,0,.60969402,.0000000,10,1,-33.718183,-16.378009,7.9817309,19.786634,1.1167880
3,0,.59652925,.0000000,11,1,-34.778349,-16.114120,7.7063214,19.454519,.75844101
3,0,.51773388,.0000000,11,6,-32.635598,-14.259685,7.7774740,20.085553,2.4282699
3,0,.46187053,.0000000,11,5,-32.958539,-14.535751,7.4488186,17.155676,.91532645E-01
3,0,.38308747,.60787850,11,11,-31.558157,-13.975151,7.5617549,18.908894,1.7614900
3,0,.37982433,.0000000,11,4,-31.326619,-13.357758,7.5033132,17.431771,.68542494
3,0,.34187001,.0000000,11,6,-32.513072,-13.246489,7.9746356,20.490283,3.6694089
3,0,.30944781,.0000000,11,9,-30.690258,-12.576370,7.7784353,18.453072,1.9112612
3,0,.30578948,.27103178,13,4,-27.547669,-10.885304,8.5498033,18.441993,3.0264562
3,0,.26479116,.0000000,19,12,-29.365565,-14.205307,7.8361331,17.581755,.32579736
3,0,.25975687,.0000000,19,2,-31.391477,-12.910176,8.6018676,21.435416,4.6190565
3,0,.25041297,.0000000,19,7,-27.901931,-13.828748,8.4047739,20.540078,3.4129847
3,0,.23637640,.15692373,19,11,-26.873429,-13.726571,8.3199130,19.779877,3.0276311
3,0,.23088155,.0000000,19,4,-27.813699,-13.985663,8.0470668,18.825617,2.1979733
3,0,.23409463,.0000000,19,1,-28.395991,-14.398636,8.3212334,18.448741,1.8066627
3,0,.23483468,.0000000,19,4,-28.010046,-13.716671,9.1686955,20.304626,4.1530916
3,0,.21191498,.18142812,19,17,-26.705042,-13.305330,8.8330839,20.352522,4.1397963
3,0,.21157521,.0000000,19,3,-27.369483,-13.927683,8.3149010,19.500490,2.9828442
3,0,.21440985,.0000000,19,3,-27.190943,-13.865800,8.5722423,20.244336,3.6509423
3,0,.21720619,.0000000,19,4,-26.379674,-13.922589,8.9334863,19.115034,2.7223718
3,0,.21611541,.0000000,19,6,-23.592078,-11.940651,9.2051923,19.609784,3.8874879
3,0,.20332840,.15261846,23,15,-23.136142,-12.850153,9.1575213,19.628681,3.4356207
3,0,.20376253,.0000000,30,6,-21.421409,-12.154735,9.4684261,19.530146,3.5095237
3,0,.20482026,.0000000,31,1,-22.404754,-11.907900,9.3974379,19.919863,3.9045216
3,0,.19877792,.0000000,31,10,-20.898228,-12.599684,10.095541,19.297130,3.0768516
3,0,.19586003,.0000000,31,3,-23.473822,-12.656200,10.188555,21.577829,5.0074805
3,0,.19589501,.34573929,31,6,-20.239691,-12.799748,9.4243601,19.582425,2.9303151
3,0,.18329861,.0000000,31,24,-17.626224,-12.217329,10.015949,18.437288,1.9765526
3,0,.18530069,.0000000,35,1,-18.147564,-12.019605,11.200819,21.139147,4.3709494
3,0,.18517513,.0000000,35,2,-19.218291,-14.491462,10.496767,19.171239,.69960203
3,0,.18909256,.35095353,35,1,-16.945028,-13.957401,11.044513,18.848062,.35519529
3,0,.18798753,.0000000,37,9,-15.742147,-12.050368,12.178272,21.264123,3.8995733
3,0,.19171236,.0000000,38,1,-9.5484530,-11.213766,12.330155,18.161959,.46003700
3,0,.19014542,.0000000,43,10,-9.1810320,-10.594903,11.870191,19.264189,2.0331795
3,0,.18846075,.0000000,43,8,-8.3721609,-10.420689,12.242488,17.900703,.43522566
3,0,.18379527,.48876794,43,9,-9.2461599,-10.843796,12.146422,17.414436,-.36665134
3,0,.18728315,.0000000,43,5,-8.1036843,-9.0349208,12.618311,18.377727,1.0887391
3,0,.18443655,.0000000,43,13,-5.9767230,-9.4035034,14.100091,18.532173,.51978169
3,0,.18450840,.0000000,43,2,-6.9236925,-8.8772763,13.239508,18.433367,1.0286047
3,0,.18545592,.0000000,43,1,-7.7525479,-8.0237374,14.244810,18.782540,1.4744934
3,0,.18713167,.0000000,43,3,-6.8546424,-9.4823668,12.941988,19.112667,.60108615
3,0,.18198215,.34017254,43,19,-4.9498205,-8.7070723,16.069569,18.632590,-1.1196397
3,0,.17644306,.0000000,45,13,-5.3987433,-11.088465,12.630509,19.477503,.62605096
3,0,.16481733,.0000000,45,30,-4.5808187,-9.8160420,14.364035,18.810409,.11331023
3,0,.16733294,.0000000,45,1,-4.5766128,-8.6653531,15.533101,19.087063,.13538051
3,0,.16710450,.0000000,45,1,-6.9706391,-11.961818,12.161417,19.332314,.44102592
3,0,.16764681,.29654246,45,5,-5.6270484,-10.624849,14.004256,18.417639,-.59894688
3,0,.16883039,.0000000,45,5,-5.2276126,-9.4190372,16.059757,20.009187,.44440224
3,0,.17124658,.0000000,45,1,-4.4569561,-10.311898,14.367307,18.440353,-1.0081288
3,0,.16883807,.0000000,45,10,-5.2978681,-11.321205,13.201662,20.189285,1.3450547
3,0,.17070050,.0000000,45,2,-3.7000179,-10.991678,13.908306,19.486301,-.62372232
3,0,.16555453,.14839698,48,18,-3.9878522,-9.1418805,16.450585,20.039436,-.90495006
3,0,.16504862,.0000000,48,5,-4.4405276,-11.406867,13.803784,19.180399,-.72092015
3,0,.15767432,.0000000,48,28,-4.0277803,-10.376448,14.245200,18.690761,-.68362166
3,0,.15973885,.0000000,48,1,-3.8761806,-9.9570611,15.636406,20.581809,.76031107
3,0,.15911831,.0000000,48,2,-6.6087728,-9.1541789,13.403462,19.011193,1.5391789
3,0,.15377717,.75373366E-01,48,18,-7.1754663,-8.7452839,14.459146,19.433854,1.8018600
3,0,.14789657,.0000000,48,26,-3.6255285,-9.8916234,13.966576,19.427597,.68320886
3,0,.14687202,.0000000,48,10,-3.6221571,-9.7126941,14.923056,18.656971,-1.2329477
3,0,.14179072,.0000000,48,28,-4.1492514,-10.895643,13.970327,18.842049,-1.1441907
3,0,.13919050,.86331425E-01,48,15,-4.8231356,-9.6557040,14.011401,17.911898,-1.1237442
3,0,.13541294,.0000000,48,25,-4.6334299,-9.0763467,14.315532,19.913500,1.5205305
3,0,.13390544,.0000000,48,12,-6.0437942,-10.036824,14.513270,19.458711,.95727317
3,0,.13549460,.0000000,48,1,-5.7359538,-9.4006492,15.868492,19.488704,.15085884
3,0,.13707795,.0000000,48,1,-4.2008564,-10.941313,13.606384,19.206506,.59134996E-01
3,0,.13712197,.0000000,48,4,-4.8282885,-8.2024902,15.066525,19.670043,.74106047
3,0,.13813528,.0000000,48,4,-3.3400587,-9.3000752,15.688657,19.311214,-.61662769
3,0,.13846255,.0000000,48,3,-5.4295396,-7.8240900,16.182541,18.939142,-.26722614
3,0,.13975707,.0000000,48,2,-3.1729781,-10.546972,15.108493,20.321860,.26460274
3,0,.13479479,.48622266E-01,48,34,-3.6781123,-10.059763,13.929256,20.204065,1.0219927
3,0,.13487986,.0000000,48,8,-3.2969533,-10.994376,14.418291,20.698964,.37905822
3,0,.13269341,.0000000,48,15,-3.9346289,-11.426788,14.424594,20.537490,-.31300914
3,0,.13204352,.0000000,48,19,-3.9209370,-10.340275,15.752646,21.618941,.80402151
3,0,.13086635,.15278712,48,12,-4.6460112,-10.325479,15.420763,21.903316,1.6906875
3,0,.13129126,.0000000,48,6,-4.8082626,-10.831271,15.987785,20.580450,-.27932316
3,0,.13052717,.0000000,48,4,-8.6203234,-10.951335,15.326759,21.594767,2.1283016
3,0,.13263021,.0000000,48,2,-8.0120203,-9.8662018,15.371367,22.611733,1.9700824
3,0,.13191114,.66792551E-01,48,13,-7.3250291,-10.872939,15.588842,19.649736,-2.5196130
3,0,.13117856,.0000000,48,5,-9.1639233,-10.454624,14.098862,18.678749,-2.4298711
3,0,.13226852,.0000000,48,2,-7.9021581,-8.5208996,16.424284,19.293064,-2.1012149
3,0,.13310738,.0000000,48,4,-7.3146634,-10.157359,14.131789,17.666826,-2.6363493
3,0,.13283542,.0000000,48,9,-3.1269800,-9.1964342,15.917855,20.302518,.13866289
3,0,.13307191,.0000000,48,4,-4.5082674,-9.2332058,16.556314,19.851493,-.47365966
3,0,.13431571,.0000000,48,1,-3.9909671,-10.467585,15.127540,20.834578,-.19953342
3,0,.12556659,.33595540E-01,48,73,-2.7417081,-9.8943262,15.057535,19.627555,-.18600868
3,0,.12519347,.0000000,48,6,-3.8958466,-9.3103191,14.179874,19.173226,.62335198
3,0,.12421179,.0000000,48,12,-4.7263084,-8.7253836,14.625571,19.281096,.98298365
3,0,.12323197,.0000000,48,18,-4.2683779,-8.3720527,15.946056,19.480046,.15745631
3,0,.12238792,.76325419E-01,48,29,-4.3322344,-9.0574174,15.708724,18.613603,-1.5930399
3,0,.12214164,.0000000,48,2,-8.0274533,-7.6823785,14.594103,19.900936,1.7123401
3,0,.12250754,.0000000,48,6,-5.7125168,-10.182295,13.274378,19.548656,1.5556761
3,0,.12155853,.0000000,48,18,-3.8164550,-10.068738,13.724087,19.950634,.97299336
3,0,.12131804,.25979155E-01,48,11,-3.3297318,-10.298303,15.084960,21.150165,.82476790
