ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,1.0000000,.0000000,1,1,-329.22317,.0000000,.0000000,.0000000,.0000000
1,0,.40000001,.0000000,1,4,-319.38776,-1.1314671,-1.0114699,2.4409968,-1.6380039
1,0,.37500000,.0000000,2,3,-292.87086,-2.7086895,-1.7464301,2.8874169,.42833054
3,0,.30907970,.0000000,3,5,-281.97342,-2.9653976,-1.1303069,2.2026349,.15745088
2,0,.35843115,.0000000,4,1,-245.69651,-3.2225053,.79377334,2.8285600,.21222459
1,0,.40120241,.0000000,5,1,-225.81929,-4.6210572,2.6265622,3.8722268,.97630385
1,0,.38989109,.49216009,6,3,-205.78993,-4.3396619,3.6159959,6.0456846,3.0568084
3,0,.36793358,.0000000,7,4,-167.33236,-6.0941821,4.6490162,7.8358132,2.9514445
1,0,.38005224,.0000000,8,2,-160.77425,-4.5272652,3.1132267,6.7280997,.76099688
2,0,.37486125,.0000000,9,3,-145.78861,-4.7181949,3.5133796,7.6956685,.89119529
3,0,.35875012,.0000000,10,4,-128.98082,-4.8157274,4.1216493,9.0789591,1.2193542
1,0,.35650770,.36783403,11,3,-117.70895,-5.0103134,4.8565975,8.9988212,.80191921
3,0,.37489320,.0000000,12,1,-97.581688,-5.4282693,5.6566557,10.806614,1.8562611
1,0,.39225728,.0000000,13,1,-43.963037,-7.8038240,8.2012090,16.128963,2.7808517
1,0,.39792795,.0000000,14,2,-21.818048,-9.5116682,14.526315,21.203546,4.5888924
2,0,.33368980,.46001459,15,12,-10.783881,-8.1235634,14.067527,20.415609,3.3180590
3,0,.30386995,.0000000,16,10,-8.4291634,-9.1790947,14.653481,21.807865,3.3122349
1,0,.24105377,.0000000,16,17,-10.876397,-9.2477151,13.363762,21.053202,2.2105739
2,0,.23294388,.0000000,16,7,-10.720960,-9.6996298,12.222169,20.141850,2.2866645
1,0,.19589132,.31956192,16,21,-10.126758,-11.099734,14.868440,22.676118,3.3538614
3,0,.19799912,.0000000,16,1,-10.995884,-11.955340,12.736486,22.300081,2.3828652
1,0,.19643459,.0000000,16,3,-11.855171,-11.240554,12.478117,19.840000,2.6042417
3,0,.13688533,.0000000,16,62,-7.6116757,-12.067952,13.193034,21.662562,1.2865714
2,0,.12868256,.40648209,16,19,-6.9366196,-11.338814,13.156284,20.878482,2.3117738
1,0,.11859196,.0000000,17,17,-9.5541372,-12.261158,11.465634,19.424028,1.1829642
2,0,.11493599,.0000000,17,13,-10.126506,-12.124532,11.380414,19.158008,1.2285459
1,0,.97282001E-01,.0000000,17,52,-7.5123719,-12.792033,13.706832,21.962185,1.3891722
1,0,.93272047E-01,.19379467,17,23,-7.2287183,-12.546168,12.472689,20.534157,.80666102
2,0,.81066261E-01,.0000000,17,64,-5.6932932,-11.531734,14.846303,22.164369,1.6981714
1,0,.69314973E-01,.0000000,17,84,-4.4881449,-10.271396,13.867757,20.599908,1.7808958
3,0,.68504757E-01,.0000000,23,8,-6.1655554,-9.9302588,12.794255,19.544715,1.4049637
2,0,.67471790E-01,.21217341,23,24,-5.0422322,-10.717110,13.370333,20.257204,1.6652398
3,0,.67135348E-01,.0000000,23,16,-7.1529119,-10.780795,13.853299,21.706027,1.5149168
1,0,.67155348E-01,.0000000,23,7,-7.8900383,-9.9788703,14.311139,21.696276,1.5196044
1,0,.65279553E-01,.0000000,23,39,-5.7160764,-10.829073,13.308191,20.968912,1.5808871
3,0,.65423402E-01,.61724511E-01,23,14,-5.7495322,-11.364717,14.598068,22.191473,1.4481365
2,0,.66054619E-01,.0000000,23,27,-4.8502614,-10.748172,12.884008,19.414849,.60176524
3,0,.67361933E-01,.0000000,23,1,-5.0450733,-10.169822,12.984727,18.697951,.42523541E-01
1,0,.68895547E-01,.0000000,23,6,-4.2645053,-11.771854,14.260089,20.391770,-.40116157
3,0,.70935621E-01,.0000000,23,6,-4.1616826,-10.945848,13.405866,19.798147,.11903888
3,0,.68840787E-01,.10644490,23,42,-4.9590448,-10.893212,14.081470,20.362009,1.3606689
3,0,.70824699E-01,.0000000,23,6,-4.2272766,-8.9656232,15.000574,20.570513,1.4307211
3,0,.72276536E-01,.0000000,23,1,-3.7935830,-8.7786964,15.453702,20.272101,.97409584
1,0,.73040218E-01,.0000000,24,7,-3.4298483,-9.7669349,15.575257,20.929503,.32351549
1,0,.73991142E-01,.0000000,24,2,-4.5568816,-9.1470536,14.285434,18.558817,-.84163588
2,0,.74211072E-01,.13554805,24,9,-4.7959641,-8.5568350,16.144820,20.778362,.47717803
3,0,.73793251E-01,.0000000,24,6,-6.6035406,-8.9933792,17.001751,21.793099,.33756238
3,0,.75186043E-01,.0000000,24,1,-4.9257257,-9.5016873,16.298043,21.711369,.72372901
1,0,.76459848E-01,.0000000,24,2,-4.2258092,-9.3565254,15.167351,18.748224,-.47808473
2,0,.75962249E-01,.71255709E-01,24,6,-6.3335939,-11.427260,16.182773,21.016817,-.41978980
3,0,.74883686E-01,.0000000,24,20,-6.6350235,-10.932413,13.918549,17.870564,-1.6797693
2,0,.75578030E-01,.0000000,24,1,-7.2206478,-12.200739,15.634850,20.707000,-1.1456997
1,0,.76400665E-01,.0000000,24,6,-5.8590716,-10.738316,15.224303,19.039989,-2.3982649
3,0,.77792280E-01,.17113736,24,8,-5.6936855,-11.589516,15.069548,19.555141,-1.8439560
2,0,.78431410E-01,.0000000,24,7,-4.7961869,-10.149871,14.926798,18.989363,-1.8596655
1,0,.78184715E-01,.0000000,24,3,-7.6413449,-10.967807,12.962354,17.486137,-1.9370841
3,0,.78852894E-01,.0000000,24,7,-5.4814546,-11.794280,14.341732,19.313517,-1.5129682
1,0,.79398926E-01,.0000000,24,9,-5.0600497,-10.924763,14.670889,18.667077,-1.8576104
3,0,.79809601E-01,.82286872E-01,24,6,-5.5529156,-10.100585,14.661913,17.888133,-1.9600517
3,0,.80260594E-01,.0000000,24,12,-4.0191021,-9.5777946,15.889779,19.871981,-1.1988294
3,0,.80530566E-01,.0000000,24,1,-5.2794701,-11.191993,16.224083,21.100405,-.56997990
1,0,.81641755E-01,.0000000,24,2,-5.2470614,-10.666619,15.746933,20.242969,-.23235864E-01
2,0,.81798450E-01,.0000000,24,11,-3.7194431,-9.1483042,14.517320,19.661172,.91769300
2,0,.82369839E-01,.40288055E-01,24,8,-3.5256745,-9.1671121,14.491928,19.614558,.46630837
2,0,.82222994E-01,.0000000,24,16,-3.7910902,-9.6410819,16.490221,20.400603,-.64970463
1,0,.82921189E-01,.0000000,23,6,-3.8369927,-10.285334,13.545532,19.631830,.44346969
3,0,.81947923E-01,.0000000,23,10,-7.5706881,-12.303352,12.876735,21.527978,1.5860868
1,0,.81935775E-01,.0000000,23,2,-9.4409666,-11.206679,11.476333,19.578094,1.7775894
2,0,.81728091E-01,.43676602E-01,23,18,-8.4697357,-10.845369,13.338713,21.223716,1.0845984
3,0,.81885097E-01,.0000000,23,6,-9.1169001,-11.282220,14.678430,22.001169,.20989217
3,0,.81563684E-01,.0000000,23,23,-3.1436055,-10.224349,14.971488,20.737979,.32684102
2,0,.81090288E-01,.0000000,24,12,-4.6626506,-9.8958681,15.604870,21.728470,1.0329591
3,0,.82148940E-01,.0000000,24,1,-3.3655390,-9.8965709,15.594495,19.379329,-.98521368
1,0,.82086522E-01,.0000000,24,1,-6.9443888,-12.272910,15.663681,21.705490,-.35579113
1,0,.82517054E-01,.25363367E-01,24,14,-5.7059683,-11.195351,15.186087,19.168132,-1.5480890
2,0,.82511879E-01,.0000000,24,34,-5.2368978,-8.9645761,14.396231,18.564481,.39454775
1,0,.81191418E-01,.0000000,24,33,-3.0329660,-9.7173625,15.192628,19.608928,-.74662761
3,0,.81221965E-01,.0000000,24,3,-4.3406904,-10.405593,14.557543,18.792076,-1.6803949
3,0,.82170844E-01,.37598124E-01,24,10,-4.7397131,-11.183583,15.081627,21.072506,-.42685294
1,0,.81862636E-01,.0000000,24,18,-3.6602425,-10.700657,13.579857,19.806576,.33857863
3,0,.81348382E-01,.0000000,24,8,-7.1125288,-10.453778,13.976441,19.498318,-1.2676220
2,0,.81822891E-01,.0000000,24,7,-5.9714120,-9.6155765,15.991754,19.486415,-2.0776600
1,0,.81641234E-01,.27710871E-01,24,19,-4.3702032,-9.4716449,16.231526,20.109406,-1.1712302
1,0,.82050294E-01,.0000000,24,8,-3.4500664,-10.493373,15.101676,20.869541,.54164916E-01
2,0,.82419385E-01,.0000000,24,1,-4.2265951,-9.2256942,14.554987,18.440007,-1.1319368
1,0,.82793828E-01,.0000000,24,4,-4.5626235,-9.4836041,16.638019,20.284769,-1.1670809
1,0,.82918791E-01,.0000000,24,5,-5.2014833,-10.638248,16.060692,21.700663,-.10807780
2,0,.82916055E-01,.0000000,24,1,-7.7260975,-8.2790523,15.106701,18.606948,-1.5118546
1,0,.83802126E-01,.0000000,24,1,-7.5276553,-8.2519533,16.673035,19.002490,-2.1874214
1,0,.83966229E-01,.0000000,24,1,-8.8988142,-7.8981613,13.690482,18.525587,1.5504700
1,0,.84849579E-01,.0000000,24,1,-4.4060504,-10.851440,16.099841,21.169678,-.45257233
1,0,.84915056E-01,.0000000,24,2,-5.8430645,-9.3411874,17.333997,21.212708,-.59374109
2,0,.84903182E-01,.19334093E-01,24,8,-6.2645207,-8.2342894,17.593774,20.082917,-.77845858
2,0,.85776366E-01,.0000000,24,1,-3.5896874,-8.8359684,15.454921,19.152022,-.19485277
1,0,.83897084E-01,.0000000,24,41,-3.2013452,-10.429297,14.196789,20.441689,.84540586
2,0,.84242249E-01,.0000000,24,8,-3.3580614,-9.1232354,15.492771,19.444441,-.74537087
2,0,.83166032E-01,.28818495E-01,24,18,-5.7413207,-9.4538477,16.178421,18.616818,-1.7298893
3,0,.83621967E-01,.0000000,23,5,-5.8222240,-9.1547980,17.455758,20.394052,-.93176744
2,0,.84255747E-01,.0000000,23,3,-5.8603520,-7.9990898,14.497351,18.468925,.30185689
3,0,.85128661E-01,.0000000,23,8,-6.0347586,-7.7075218,15.253080,18.984352,.72610970
2,0,.84894789E-01,.20682435E-01,23,26,-4.7779656,-9.6474265,14.195904,20.094525,1.6966294
2,0,.85197070E-01,.0000000,23,17,-3.6991123,-9.2354965,14.472793,18.599499,-.56141239
2,0,.85720545E-01,.0000000,23,11,-3.1366887,-10.395924,15.512012,20.711893,.30904437
2,0,.86049036E-01,.0000000,23,14,-2.6365560,-10.176966,15.139511,19.994253,-.26701926
2,0,.85664560E-01,.19133376E-01,24,6,-6.5183565,-7.8312528,17.281242,20.206346,.28299953
3,0,.85790591E-01,.0000000,24,5,-7.0616753,-8.3439740,13.917917,18.352696,.93678848
2,0,.85805817E-01,.0000000,24,31,-4.4463889,-8.5606886,15.763599,18.704003,-.72409718
1,0,.86025225E-01,.0000000,24,10,-3.4813924,-10.346441,15.957910,20.432175,-.66348686
1,0,.86081504E-01,.0000000,24,5,-4.1730691,-10.146931,16.274035,19.979809,-1.1604536
2,0,.86125600E-01,.31080037E-01,24,9,-4.3592552,-9.1461113,16.321377,19.501678,-.59910609
3,0,.86112991E-01,.0000000,24,28,-4.3902725,-10.755614,13.986886,19.474130,-.91818503
1,0,.86138039E-01,.0000000,24,17,-3.9255380,-10.695603,15.004703,20.041257,-1.0649403
2,0,.86345215E-01,.0000000,24,1,-4.9534692,-10.830867,13.781326,18.754141,-1.4474833
