SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-10.876397,-9.2477151,13.363762,21.053202,2.2105739
-10.126758,-11.099734,14.868440,22.676118,3.3538614
-10.126758,-11.099734,14.868440,22.676118,3.3538614
-7.6116757,-12.067952,13.193034,21.662562,1.2865714
-7.6116757,-12.067952,13.193034,21.662562,1.2865714
-7.6116757,-12.067952,13.193034,21.662562,1.2865714
-6.9366196,-11.338814,13.156284,20.878482,2.3117738
-9.5541372,-12.261158,11.465634,19.424028,1.1829642
-10.126506,-12.124532,11.380414,19.158008,1.2285459
-7.5123719,-12.792033,13.706832,21.962185,1.3891722
-7.5123719,-12.792033,13.706832,21.962185,1.3891722
-7.5123719,-12.792033,13.706832,21.962185,1.3891722
-7.2287183,-12.546168,12.472689,20.534157,.80666102
-5.6932932,-11.531734,14.846303,22.164369,1.6981714
-5.6932932,-11.531734,14.846303,22.164369,1.6981714
-5.6932932,-11.531734,14.846303,22.164369,1.6981714
-5.6932932,-11.531734,14.846303,22.164369,1.6981714
-4.4881449,-10.271396,13.867757,20.599908,1.7808958
-4.4881449,-10.271396,13.867757,20.599908,1.7808958
-4.4881449,-10.271396,13.867757,20.599908,1.7808958
-4.4881449,-10.271396,13.867757,20.599908,1.7808958
-6.1655554,-9.9302588,12.794255,19.544715,1.4049637
-5.0422322,-10.717110,13.370333,20.257204,1.6652398
-7.1529119,-10.780795,13.853299,21.706027,1.5149168
-5.7160764,-10.829073,13.308191,20.968912,1.5808871
-5.7160764,-10.829073,13.308191,20.968912,1.5808871
-5.7495322,-11.364717,14.598068,22.191473,1.4481365
-4.8502614,-10.748172,12.884008,19.414849,.60176524
-4.8502614,-10.748172,12.884008,19.414849,.60176524
-4.9590448,-10.893212,14.081470,20.362009,1.3606689
-4.9590448,-10.893212,14.081470,20.362009,1.3606689
-4.9590448,-10.893212,14.081470,20.362009,1.3606689
-4.5568816,-9.1470536,14.285434,18.558817,-.84163588
-4.2258092,-9.3565254,15.167351,18.748224,-.47808473
