ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1
1,0,.41046845,.0000000,1,3,-.91893853,.0000000
1,0,.54110729,.80007385,1,1,-.98826309,.37235617
1,0,.63288583,.0000000,1,1,-.92187579,.76645318E-01
1,0,.68386506,.0000000,1,1,-.98506996,.36367959
1,0,.72711793,.47431884E-01,1,2,-1.0470970,.50627759
1,0,.75743816,.0000000,1,1,-.92703943,-.12728625
1,0,.76926198,.0000000,1,1,-1.0597981,.53077222
1,0,.79393663,.10536687,1,2,-.92023701,-.50960331E-01
1,0,.80345754,.0000000,1,1,-1.0061126,-.41755008
1,0,.80341836,.0000000,1,1,-1.2256264,-.78318302
1,0,.80440419,.0000000,1,1,-1.4262678,-1.0073026
1,0,.81662893,.14807210,1,1,-1.3552853,-.93418072
1,0,.82741546,.0000000,1,1,-1.0126407,-.43290220
1,0,.83700349,.0000000,1,1,-.92152543,.71929060E-01
1,0,.84527173,.0000000,1,1,-.92744289,-.13041748
1,0,.85111563,.21841232E-01,1,1,-.96602796,-.30688572
1,0,.85292322,.0000000,1,1,-1.0836016,.57386949
1,0,.85484062,.0000000,1,1,-1.1944149,.74226185
1,0,.86115190,.0000000,1,1,-.94270801,-.21803432
1,0,.86512834,.13083248,1,1,-.98709199,-.36919767
1,0,.85862083,.0000000,1,1,-1.3402865,-.91798476
1,0,.86405849,.0000000,1,1,-1.1687340,-.70681749
1,0,.86909336,.0000000,1,1,-.96501970,-.30358250
1,0,.85490357,.11671761,1,2,-1.0955695,.59435845
1,0,.85927291,.0000000,1,1,-1.1096850,.61765120
1,0,.85060851,.0000000,1,1,-1.6361716,-1.1976920
1,0,.85527700,.17344209,1,1,-1.5614955,-1.1336287
1,0,.84208023,.0000000,1,2,-1.0902577,.58535316
1,0,.84389881,.96280435E-02,1,2,-.92744750,-.13045281
1,0,.82853780,.0000000,1,2,-.91907056,-.16249433E-01
1,0,.83242721,.0000000,1,1,-.93904387,-.20052598
1,0,.83521282,.24577455E-01,1,1,-.99683041,.39469452
1,0,.82193055,.0000000,1,2,-.93288424,-.16700724
1,0,.81761715,.0000000,1,1,-1.3847269,.96518222
1,0,.82176222,.79986945E-02,1,1,-.93333952,.16971147
1,0,.82572306,.0000000,1,1,-.92740988,-.13016410
1,0,.80782786,.22018294E-01,1,4,-.96040115,.28796743
1,0,.80806507,.0000000,1,1,-1.1592327,-.69324482
1,0,.81182850,.0000000,1,1,-1.1235123,-.63964645
1,0,.80333064,.11444639E-03,1,2,-.93737239,-.19200967
1,0,.80662452,.0000000,1,1,-.95635102,.27354154
1,0,.79814460,.14274206E-01,1,2,-1.0001563,.40303302
1,0,.79441627,.0000000,1,2,-1.0379647,.48790605
1,0,.79790074,.0000000,1,1,-.97554074,.33645865
1,0,.80126906,.15507012E-01,1,1,-.91937875,.29672253E-01
1,0,.80182305,.0000000,1,1,-1.0996280,.60114795
1,0,.79126773,.0000000,1,2,-1.3005150,.87358630
1,0,.79396025,.77086731E-02,1,1,-1.3376050,.91505901
1,0,.79713010,.0000000,1,1,-1.1936362,.74121201
1,0,.78770150,.0000000,1,1,-2.9375036,2.0092611
1,0,.78088245,.75882738E-01,1,2,-3.5192887,2.2805044
1,0,.78405806,.0000000,1,1,-1.4327069,1.0136748
1,0,.77296056,.0000000,1,1,-6.3618023,3.2993526
1,0,.76982677,.0000000,1,1,-6.9588011,3.4755899
1,0,.77302362,.12870842,1,1,-2.0737106,1.5197184
1,0,.77143284,.0000000,1,2,-1.1448407,-.67216391
1,0,.77448040,.0000000,1,1,-.92064222,-.58372775E-01
1,0,.77662523,.27303920E-02,1,1,-.98519388,.36402018
1,0,.77363400,.0000000,1,1,-1.5897804,1.1583108
1,0,.76575254,.0000000,1,2,-1.6726784,1.2277947
1,0,.76868063,.79579890E-02,1,1,-.93019289,-.15002904
1,0,.77153643,.0000000,1,1,-.91906584,-.15956423E-01
1,0,.77416218,.0000000,1,1,-.93230469,-.16350020
1,0,.77468497,.0000000,1,1,-1.1337437,.65544663
1,0,.77736729,.95380242E-02,1,1,-.92514678,-.11142936
1,0,.77630541,.0000000,1,1,-1.3004112,-.87346745
1,0,.77069446,.0000000,1,2,-1.2612384,-.82740542
1,0,.76148094,.36941562E-02,1,2,-1.6215098,-1.1853871
1,0,.75713485,.0000000,1,2,-.95156868,.25546093
1,0,.75126401,.43556476E-01,1,1,-2.4793456,1.7665826
1,0,.74594735,.0000000,1,2,-2.0442424,1.5002026
1,0,.74299633,.48963369E-02,1,2,-1.8727318,1.3811541
1,0,.74515399,.0000000,1,1,-1.9216189,1.4161076
1,0,.74775446,.0000000,1,1,-1.5240378,1.1000903
1,0,.74367945,.10424822E-02,1,2,-.94090637,.20960839
1,0,.74621728,.0000000,1,1,-.92440886,-.10459759
1,0,.74870534,.0000000,1,1,-.91944745,-.31903596E-01
1,0,.74746260,.60859819E-02,1,2,-1.1821903,.72560566
1,0,.74986772,.0000000,1,1,-1.1557769,-.68824184
1,0,.73972748,.10028239E-02,1,3,-1.5926587,-1.1607930
1,0,.74211530,.0000000,1,1,-1.2490150,-.81249791
1,0,.73851924,.0000000,1,1,-2.3087478,-1.6672188
1,0,.73436120,.46674362E-02,1,2,-1.0154360,-.43931189
1,0,.73018539,.0000000,1,1,-2.3529613,-1.6935305
1,0,.72630634,.0000000,1,2,-.94387264,-.22331193
1,0,.72310391,.95932826E-02,1,2,-.91962310,.37001877E-01
1,0,.72503793,.0000000,1,1,-.96953080,.31809516
1,0,.72269343,.0000000,1,1,-1.7768702,1.3099097
1,0,.72500432,.87268899E-02,1,1,-1.1834917,-.72739696
1,0,.72709883,.0000000,1,1,-1.2052871,-.75676755
1,0,.72933573,.0000000,1,1,-.94161807,-.21297670
1,0,.73153625,.0000000,1,1,-.93014371,-.14970088
1,0,.73283262,.74620878E-02,1,1,-1.0441116,-.50034605
1,0,.73389724,.0000000,1,1,-1.1880860,.73368590
1,0,.73591896,.0000000,1,1,-1.1995181,.74910560
1,0,.73799833,.0000000,1,1,-1.0807045,-.56879866
1,0,.74004522,.15111995E-02,1,1,-.94994749,-.24903396
1,0,.72955264,.0000000,1,5,-.94537931,-.22995988
1,0,.72816924,.0000000,1,1,-1.5538599,1.1268730
1,0,.73018280,.0000000,1,1,-.92244292,.83718378E-01
1,0,.73100740,.65548788E-02,1,1,-1.0940275,-.59175834
1,0,.71671443,.0000000,1,3,-3.6632184,-2.3427675
1,0,.71564077,.15263142E-01,1,2,-3.0831725,-2.0804971
1,0,.71764330,.0000000,1,1,-2.2219175,-1.6142979
1,0,.71961783,.0000000,1,1,-1.6691193,-1.2248925
1,0,.72118413,.32434332E-01,1,2,-1.2834818,.85386559
1,0,.71979069,.0000000,1,2,-.92143722,.70692085E-01
1,0,.71684441,.53364161E-02,1,2,-.92776897,-.13289421
1,0,.71385673,.0000000,1,2,-1.2492301,.81276262
1,0,.71362204,.94652925E-02,1,1,-1.6375687,-1.1988579
1,0,.71668242,.0000000,1,2,-.93929186,.20175890
1,0,.71484160,.60503464E-02,1,3,-1.0204018,-.45047368
1,0,.71214511,.0000000,1,1,-2.2624398,1.6392079
1,0,.71395551,.0000000,1,1,-1.8557633,1.3688132
1,0,.71574329,.20512042E-01,1,1,-1.2226845,-.77941764
1,0,.70950725,.0000000,1,3,-1.0492365,.51048607
1,0,.71127855,.75215177E-02,1,1,-.92992482,.14823146
1,0,.71302837,.0000000,1,1,-.92442282,-.10473092
1,0,.71297997,.0000000,1,1,-1.2739886,-.84267445
1,0,.71074545,.0000000,1,1,-2.3533439,-1.6937564
1,0,.70939900,.44049234E-02,1,2,-2.0148862,-1.4805051
1,0,.71110842,.0000000,1,1,-1.3793947,-.95964173
1,0,.71279784,.0000000,1,1,-1.3329446,-.90995171
1,0,.71422175,.10647470E-02,1,2,-.94793497,-.24081712
1,0,.70812565,.0000000,1,2,-1.9661633,1.4472213
1,0,.70978403,.63347146E-02,1,1,-.92691272,.12628689
1,0,.70928597,.0000000,1,1,-1.4023270,-.98324815
1,0,.70695651,.0000000,1,2,-.96942881,-.31777438
1,0,.69853165,.38507197E-02,1,4,-1.4441346,-1.0248864
1,0,.69584677,.41636104E-02,1,3,-1.0424493,-.49701268
1,0,.69747325,.0000000,1,1,-.97184384,.32528543
1,0,.69486736,.15079076E-02,1,2,-1.1797379,.72221787
1,0,.69200178,.59736631E-02,1,3,-.94300307,.21938340
1,0,.69197960,.0000000,1,1,-1.3173759,-.89267842
1,0,.69356733,.0000000,1,1,-1.2398028,-.80107966
1,0,.69520272,.42382974E-02,1,2,-1.1213763,.63629828
1,0,.68945271,.0000000,1,3,-1.4783926,-1.0577845
1,0,.68777570,.98582227E-03,1,2,-.95455261,.26688603
1,0,.68831970,.0000000,1,1,-1.1806202,.72343855
1,0,.68985507,.0000000,1,1,-1.0738477,-.55661329
1,0,.69063989,.90867463E-03,1,1,-1.2364165,.79684120
1,0,.69135692,.0000000,1,1,-1.4135950,-.99464214
1,0,.68645393,.0000000,1,2,-2.8059286,-1.9426735
1,0,.68796137,.25249780E-02,1,1,-1.6698247,-1.2254682
1,0,.68685777,.0000000,1,1,-2.4522172,-1.7511589
1,0,.68834893,.0000000,1,1,-2.2822775,-1.6512656
1,0,.68658684,.23110834E-01,1,2,-1.2700907,.83803601
1,0,.68796259,.0000000,1,1,-1.2906802,.86225476
1,0,.68755056,.0000000,1,2,-1.1225698,-.63817118
1,0,.68855861,.14641166E-02,1,1,-1.2220684,-.77862679
1,0,.68999383,.0000000,1,1,-1.1277884,-.64629696
1,0,.68982169,.0000000,1,1,-1.5547806,1.1276897
1,0,.68639839,.85521036E-02,1,2,-2.0339703,1.4933397
1,0,.68781740,.0000000,1,1,-1.6408510,1.2015927
1,0,.68920665,.0000000,1,1,-1.6446276,1.2047316
1,0,.68752061,.31465143E-02,1,2,-1.1474388,.67601816
1,0,.68502350,.0000000,1,3,-1.1957055,-.74399866
1,0,.68346745,.16450028E-02,1,1,-2.3036258,-1.6641438
1,0,.68364907,.0000000,1,2,-1.4570340,-1.0373962
1,0,.68501855,.0000000,1,1,-.92357944,.96342188E-01
1,0,.68612217,.17262021E-02,1,1,-.98432993,-.36163905
1,0,.68284369,.0000000,1,6,-.92836645,.13731657
1,0,.68412763,.0000000,1,1,-.93871571,-.19888278
1,0,.68355001,.85838598E-02,1,2,-1.3219168,-.89775086
1,0,.68485765,.0000000,1,1,-.93856425,-.19811974
1,0,.68447119,.0000000,1,1,-1.4645919,1.0446562
1,0,.68097808,.29220370E-02,1,3,-1.1267151,-.64463408
1,0,.68226967,.0000000,1,1,-.93285176,.16681264
1,0,.68346392,.27505473E-02,1,1,-.95464368,.26722705
1,0,.68355175,.0000000,1,1,-1.3037269,-.87725517
1,0,.68481754,.0000000,1,1,-.92043781,.54759019E-01
1,0,.68354938,.35738390E-02,1,2,-1.0384473,-.48889420
1,0,.68264505,.0000000,1,1,-1.8264413,1.3472214
1,0,.68259479,.26658104E-02,1,3,-1.1529704,.68415184
1,0,.68269309,.0000000,1,1,-1.4984837,-1.0766106
1,0,.68157744,.0000000,1,2,-.93566659,-.18291013
1,0,.67799776,.30191920E-02,1,3,-1.0404120,-.49289649
1,0,.67712979,.0000000,1,1,-1.8395392,-1.3569087
1,0,.67223331,.25872248E-02,1,4,-1.1436479,.67038695
1,0,.67253967,.32319128E-02,1,2,-1.5996822,1.1668279
1,0,.67375248,.0000000,1,1,-.92102276,-.64563564E-01
1,0,.67027085,.14107322E-02,1,3,-.92213826,.79996617E-01
1,0,.67033861,.0000000,1,1,-1.2948902,-.86712358
1,0,.67076929,.0000000,1,1,-1.5321630,1.1074516
1,0,.67191648,.47727642E-02,1,1,-1.5448499,1.1188489
1,0,.67310090,.0000000,1,1,-1.2226338,-.77935262
1,0,.67498104,.0000000,1,2,-.93439215,.17580453
1,0,.67583176,.19626931E-02,1,1,-1.0252092,.46102215
1,0,.67389915,.0000000,1,1,-3.0443723,-2.0617632
1,0,.67505553,.0000000,1,1,-2.4617258,-1.7565804
1,0,.67620375,.0000000,1,1,-2.3239208,-1.6762949
1,0,.67693389,.10593643E-02,1,1,-2.4477121,-1.7485843
1,0,.67806746,.0000000,1,1,-.94488989,.22782167
1,0,.67912798,.0000000,1,1,-.96368915,.29916756
1,0,.67788772,.26840297E-02,1,2,-1.0636943,-.53806277
1,0,.67900229,.0000000,1,1,-.94973298,-.24817112
1,0,.67505966,.20884095E-02,1,3,-1.1640812,.70020373
1,0,.67418562,.0000000,1,1,-2.0340514,1.4933941
1,0,.67529383,.0000000,1,1,-1.6642054,1.2208741
1,0,.67095436,.96861040E-02,1,4,-1.1762343,-.71735030
1,0,.66776425,.10396012E-03,1,2,-2.1992868,-1.6002176
1,0,.66683729,.0000000,1,2,-1.7192842,-1.2651843
1,0,.66500774,.16736460E-02,1,2,-1.9835611,-1.4591933
1,0,.66610608,.0000000,1,1,-1.1939083,-.74157908
1,0,.66488883,.0000000,1,2,-1.3808035,-.96110867
1,0,.66410232,.33538805E-02,1,2,-1.3238217,-.89987022
1,0,.66478175,.0000000,1,1,-1.4576669,-1.0380062
1,0,.66500904,.31950115E-02,1,2,-1.0795023,-.56668117
1,0,.66607929,.0000000,1,1,-1.0596505,.53049412
1,0,.66506689,.0000000,1,2,-1.1105105,.61898622
1,0,.66545047,.36177339E-02,1,2,-.95739486,.27733129
1,0,.66498608,.0000000,1,2,-1.0820546,.57116726
1,0,.66443803,.37005514E-02,1,3,-.95307922,.26130703
1,0,.66504130,.0000000,1,1,-1.1047239,.60956605
1,0,.66083676,.18677051E-02,1,3,-1.6252745,1.1885588
1,0,.66096147,.0000000,1,1,-1.9796443,-1.4565066
1,0,.66199512,.12169951E-01,1,1,-1.1793158,-.72163319
1,0,.66286988,.0000000,1,2,-.97210214,.32607855
1,0,.66282624,.0000000,1,1,-1.4053109,.98627827
1,0,.66084935,.28254354E-02,1,4,-.99750736,.39640591
1,0,.66185873,.38796027E-02,1,1,-.97587147,.33744018
1,0,.66179637,.0000000,1,1,-1.4208383,-1.0018979
1,0,.65821164,.10351960E-02,1,4,-1.0588946,.52906715
1,0,.65921102,.0000000,1,1,-.98777924,.37105446
1,0,.65973877,.0000000,1,1,-1.1618593,.69702339
1,0,.66072790,.26698930E-02,1,1,-.93030039,-.15074389
1,0,.66118155,.0000000,1,1,-1.1321278,-.65297672
1,0,.66137913,.0000000,1,2,-1.1623260,-.69769253
1,0,.66218717,.33615676E-02,1,1,-1.2214631,-.77784901
1,0,.66214590,.0000000,1,1,-1.6556629,-1.2138570
1,0,.66311120,.0000000,1,1,-1.2732550,.84180340
1,0,.66290279,.37749162E-02,1,2,-1.0892559,.58363921
1,0,.66093430,.0000000,1,2,-1.8817796,1.3876895
1,0,.66188941,.0000000,1,1,-1.3243635,-.90047207
1,0,.66269176,.67616023E-02,1,1,-1.3782662,.95846508
1,0,.66184573,.0000000,1,2,-1.3224652,.89836149
1,0,.65929171,.13762849E-02,1,4,-.91893867,.52680973E-03
1,0,.66022657,.0000000,1,1,-.92029234,-.52034775E-01
1,0,.65979621,.36547301E-02,1,2,-.97361743,-.33069289
1,0,.65883677,.0000000,1,2,-1.0077888,-.42154545
1,0,.65976385,.36377239E-02,1,1,-.97291728,-.32856887
1,0,.66068503,.0000000,1,1,-.97323662,-.32953933
1,0,.65715134,.30319163E-02,1,5,-.95398247,.26474116
1,0,.65762338,.0000000,1,1,-1.1353066,.65782676
1,0,.65667269,.22179879E-02,1,2,-1.4279761,1.0089971
1,0,.65586719,.0000000,1,2,-.98122071,.35293676
1,0,.65422413,.20679993E-02,1,2,-1.4213194,-1.0023780
1,0,.65342219,.0000000,1,2,-1.1728052,-.71255409
1,0,.65300053,.26007803E-02,1,2,-1.0173128,-.44356348
1,0,.65389949,.0000000,1,1,-.96308587,.29714419
1,0,.65239489,.11139105E-02,1,2,-1.5252972,1.1012345
1,0,.64914005,.0000000,1,3,-1.9079053,-1.4063903
1,0,.65003510,.10761285E-02,1,1,-1.8290869,-1.3491837
1,0,.65092559,.0000000,1,1,-1.6954372,-1.2461931
1,0,.65181157,.0000000,1,1,-.91908404,-.17059183E-01
1,0,.65253626,.0000000,1,1,-.98301915,-.35799613
1,0,.65158344,.11187119E-02,1,2,-1.1088746,-.61633774
1,0,.65245886,.0000000,1,1,-.93423553,.17491140
1,0,.65207286,.26770970E-02,1,3,-.94504113,-.22848454
1,0,.65139239,.0000000,1,1,-1.9165152,-1.4124990
1,0,.65217173,.0000000,1,1,-1.9516585,-1.4371639
1,0,.65110058,.14295575E-02,1,3,-.92064672,-.58449833E-01
1,0,.64906710,.61278840E-05,1,3,-1.4629685,1.0431012
1,0,.64974447,.0000000,1,1,-1.5389985,1.1136067
1,0,.65059667,.0000000,1,1,-1.3011473,.87430972
1,0,.65144474,.17230575E-02,1,1,-1.0504066,.51277293
1,0,.64835123,.0000000,1,4,-.93399755,-.17354547
1,0,.64744513,.0000000,1,2,-1.0197435,-.44901003
1,0,.64718543,.63809956E-02,1,2,-.92957144,-.14582800
1,0,.64800054,.0000000,1,1,-.93927358,.20166830
1,0,.64765016,.0000000,1,1,-1.6321348,-1.1943168
1,0,.64612761,.35539796E-02,1,2,-2.2473447,-1.6299731
1,0,.64696025,.0000000,1,1,-1.1702360,.70893926
1,0,.64564846,.0000000,1,1,-3.5991023,2.3152381
1,0,.63985946,.99128574E-02,1,5,-4.8442311,2.8018896
1,0,.64069311,.63134962E-02,1,1,-4.4429105,2.6547964
1,0,.64152292,.0000000,1,1,-3.4305888,2.2412721
1,0,.64234891,.0000000,1,1,-.94450201,-.22611271
1,0,.64193869,.0000000,1,1,-1.7125766,-1.2598715
1,0,.64275993,.11652149E-01,1,1,-.94809936,-.24149878
1,0,.64335121,.0000000,1,2,-1.1730878,-.71295065
1,0,.64416362,.0000000,1,1,-.96148367,-.29170238
1,0,.64355925,.25669206E-02,1,2,-1.1033209,-.60726003
1,0,.64327935,.0000000,1,2,-1.5239649,-1.1000240
1,0,.64274499,.34621320E-03,1,1,-2.4253105,-1.7357258
1,0,.64271509,.0000000,1,1,-2.8882369,-1.9845898
1,0,.64351618,.0000000,1,1,-.95200435,-.25716071
1,0,.64354302,.0000000,1,1,-1.3743421,-.95436218
1,0,.64433868,.32080559E-02,1,1,-.93599686,.18470695
1,0,.64347727,.0000000,1,2,-1.0522813,.51641598
1,0,.64389671,.0000000,1,1,-1.2354343,.79560770
1,0,.64217592,.25632963E-02,1,3,-1.0484140,.50887214
1,0,.64296234,.0000000,1,1,-1.0014611,.40625746
1,0,.64240290,.25681209E-02,1,3,-.91903482,.13876822E-01
1,0,.64304905,.0000000,1,1,-.98199005,.35510990
1,0,.64382503,.27996696E-02,1,1,-.96726602,.31089382
1,0,.64335386,.0000000,1,1,-1.8191309,1.3417841
1,0,.64412582,.0000000,1,1,-1.3330290,-.91004451
1,0,.64436167,.28973137E-02,1,2,-.97025577,-.32036615
1,0,.64226675,.0000000,1,3,-1.0166014,-.44195662
1,0,.64093101,.35829678E-03,1,2,-1.4482057,1.0288510
1,0,.64041899,.0000000,1,1,-2.3637891,-1.6999121
1,0,.63871596,.63062256E-02,1,3,-1.5240476,-1.1000992
1,0,.63947816,.0000000,1,1,-.97218216,-.32632384
1,0,.64000402,.69464849E-03,1,2,-.93546261,.18179151
1,0,.64002996,.0000000,1,1,-1.3625958,.94197376
1,0,.64076691,.0000000,1,2,-1.0100186,.42680212
1,0,.64018688,.15507703E-02,1,2,-.92929902,-.14394780
1,0,.64060030,.0000000,1,1,-1.1043008,.60887150
