SampleLogFunc,SampleVariable1
-.92703943,-.12728625
-.92152543,.71929060E-01
-.94270801,-.21803432
-1.5614955,-1.1336287
-.91907056,-.16249433E-01
-.96040115,.28796743
-.93737239,-.19200967
-.91937875,.29672253E-01
-1.4327069,1.0136748
-.92064222,-.58372775E-01
-1.1337437,.65544663
-1.6215098,-1.1853871
-1.5240378,1.1000903
-1.1821903,.72560566
-1.0154360,-.43931189
-1.1834917,-.72739696
-1.1995181,.74910560
-.92244292,.83718378E-01
-3.0831725,-2.0804971
-.92776897,-.13289421
-1.0204018,-.45047368
-1.0492365,.51048607
-.94793497,-.24081712
-1.4023270,-.98324815
-1.0424493,-.49701268
-.94300307,.21938340
-.95455261,.26688603
-2.8059286,-1.9426735
-1.1225698,-.63817118
-1.1474388,.67601816
-1.4570340,-1.0373962
-.92836645,.13731657
-1.4645919,1.0446562
-1.0384473,-.48889420
-1.4984837,-1.0766106
-1.1436479,.67038695
-1.2948902,-.86712358
-1.0252092,.46102215
-.94973298,-.24817112
-1.6642054,1.2208741
-1.9835611,-1.4591933
-1.3238217,-.89987022
-.95739486,.27733129
-1.6252745,1.1885588
-.99750736,.39640591
-1.0588946,.52906715
-1.1623260,-.69769253
-1.8817796,1.3876895
-.91893867,.52680973E-03
-.97323662,-.32953933
-1.4279761,1.0089971
-1.1728052,-.71255409
-1.8290869,-1.3491837
-1.1088746,-.61633774
-.92064672,-.58449833E-01
-1.3011473,.87430972
-.92957144,-.14582800
-4.8442311,2.8018896
-.94450201,-.22611271
-1.5239649,-1.1000240
-1.0522813,.51641598
-.91903482,.13876822E-01
-.97025577,-.32036615
-1.5240476,-1.1000992
-.92929902,-.14394780
-.97033976,.32062822
-1.5674040,1.1388287
-1.0019366,-.40742627
-2.7558868,1.9167411
-1.0030980,-.41026693
-1.4975971,1.0757867
-3.7698478,2.3878481
-.92022121,-.50649252E-01
-.96881490,.31583657
-2.1150357,1.5466720
-1.4138848,.99493341
-1.0214421,-.45277720
-.95488909,-.26814384
-1.9527491,1.4379225
-3.5811564,2.3074739
-.96009870,.28691521
-.91992618,.44444354E-01
-1.8850699,-1.3900585
-.92287523,-.88732153E-01
-1.0331275,.47788902
-1.1112843,.62023507
-1.8780033,1.3849655
-.99106802,-.37981438
-2.1510058,-1.5697562
-1.4684961,-1.0483869
-1.1696555,-.70812006
-2.2220868,-1.6144028
-1.6230601,1.1866942
-2.7905858,1.9347595
-1.0523107,.51647296
-1.0681149,.54621667
-2.2258995,-1.6167628
-1.1329311,.65420576
-1.9509173,1.4366480
-1.0103911,.42767415
-2.0162476,-1.4814244
-1.4024946,-.98341863
-1.6594599,-1.2169810
-1.4973298,1.0755382
-2.4143558,1.7294029
-1.0118960,.43117856
-1.6453504,-1.2053314
-.92159885,.72942646E-01
-.97956434,.34821203
-1.1676524,.70528557
-.92789147,.13381284
-1.1196811,.63362857
-1.0982419,-.59883780
-1.9763197,1.4542222
-.91977866,-.40990873E-01
-.92494239,-.10957971
-2.0483361,-1.5029288
-.98206170,.35531160
-1.2001891,-.75000076
-1.0280698,.46718568
-1.1897477,.73594722
-1.0746229,-.55800431
-.92247078,-.84050556E-01
-1.1656558,.70244897
-1.1906107,-.73711892
-.97534585,.33587889
-.99835840,-.39854703
-2.4478273,-1.7486502
-1.0834564,.57361637
-1.1100692,.61827287
-1.7224985,1.2677224
-2.4136834,1.7290141
-2.1747240,1.5847937
-1.4033664,-.98430469
-1.2669793,-.83431507
-1.4044376,-.98539236
-.95654272,-.27424146
-1.2922295,.86404975
-1.6235207,1.1870822
-2.2943050,1.6585334
-.96990034,-.31925479
-1.5301786,-1.1056583
-.98753954,-.37040790
-1.0017565,-.40698392
-.98882623,.37386547
-.99285304,-.38448538
-.96561714,.30554414
-1.2628072,-.82929931
-.97986794,-.34908282
-.95889395,.28268505
-1.0511629,-.51424585
-1.2206080,-.77674901
-1.1789640,-.72114553
-1.4203889,1.0014494
-2.4978947,1.7770516
-.91922196,.23808645E-01
-2.5366077,-1.7987046
-1.6775436,1.2317508
-1.3961585,-.97695444
-.92109476,.65669244E-01
-1.2209435,.77718080
-1.6691397,1.2249091
-1.5261542,-1.1020124
-1.3986033,-.97945369
-.93465536,.17729538
-1.2646448,.83151216
-1.5939600,-1.1619135
-1.0945251,-.59259860
-.92554026,.11490629
-.92047218,-.55383123E-01
-.93910273,.20081932
-1.3376911,.91515308
-1.9471052,1.4339921
-1.0174033,.44376753
-.94617021,.23337384
-.92809304,.13531079
-2.1015103,1.5379023
-1.4125403,.99358117
-.96657118,.30865077
-1.3445984,-.92266984
-1.8860638,1.3907734
-1.9895678,1.4633039
-.92234934,.82593069E-01
-.92801314,-.13471903
-1.0913743,.58725761
-.99237970,.38325231
-1.3014171,.87461824
-1.8815494,-1.3875236
-1.3032596,-.87672235
-2.4622629,-1.7568861
-1.7392528,-1.2808702
-2.1709280,-1.5823966
-1.1746128,-.71508639
-.93996193,.20505314
-.92007559,.47687639E-01
-1.7265625,1.2709240
-.95383966,.26420117
-.92334792,.93908303E-01
-.97738528,-.34189691
-1.0023696,.40848762
-1.0494861,.51097462
-1.0513241,-.51455915
-2.0604573,-1.5109724
-1.0094273,.42541453
-.95737549,.27726146
-1.0042237,.41300155
-1.8518778,-1.3659716
-.93622386,-.18593185
-1.4211739,1.0022328
-1.9151003,1.4114969
-1.3153853,-.89044573
-.93692327,-.18965622
-3.1230031,-2.0995545
-.97604586,-.33795659
-1.3967168,-.97752577
-1.7361412,-1.2784386
-1.5582952,1.1308021
-3.3250534,2.1936795
-.96432968,-.30130101
-1.2975194,-.87015035
-1.0524620,.51676590
-1.0661681,-.54264081
-.92487459,-.10895919
-.93408486,-.17404786
-.92726236,.12902576
-1.1666012,-.70379353
-.94416287,.22460781
-.92959222,-.14597044
-2.0223161,-1.4855151
-2.5215633,-1.7903211
-1.2556232,-.82059088
-1.0778979,-.56384278
-1.0437072,-.49953720
-1.6403829,1.2012030
-.93545331,-.18174034
-1.0619093,-.53473494
-1.0466648,.50542307
-1.2623543,-.82875304
-1.0488250,.50967922
-2.1316979,-1.5574077
-1.4747556,-1.0543406
-.91902952,-.13490099E-01
-1.8564890,-1.3693432
-1.2049313,.75629719
-.92029464,-.52078822E-01
-1.9103749,-1.4081451
-.92573376,-.11657814
-.94977690,.24834802
-1.2107330,.76392989
-1.1420399,-.66798403
-2.6655515,-1.8690174
-2.3829907,-1.7111704
-1.6441347,-1.2043223
-.94329587,.22071403
-1.4403182,1.0211559
-1.3246442,.90078377
-.95538588,.26999018
-1.1378530,.66168650
-1.6434462,-1.2037505
-1.1078865,.61473234
-1.1858981,.73069776
-1.1634223,-.69926217
-1.8381754,-1.3559033
-.92138258,-.69914889E-01
-1.0034020,.41100731
-.99009517,.37724431
-1.6517257,-1.2106091
-2.4231825,1.7344994
-1.3922961,-.97299291
-1.2705248,-.83855386
-1.4771916,-1.0566486
-1.2664920,-.83373075
-2.0540108,-1.5066999
-.99576271,.39198004
-1.5301830,1.1056622
-1.1991785,.74865208
-1.3404872,-.91820332
-1.0009756,.40506060
-1.2031028,.75387568
-.92350864,-.95604505E-01
-1.0172081,-.44332723
-.95813944,-.28000323
-1.8801838,-1.3865391
-1.4481845,-1.0288303
-3.3541189,2.2068894
-1.1685037,-.70649154
-1.2451902,-.80777678
-1.0864618,.57883205
-1.6961241,-1.2467442
-.94025713,-.20648776
-1.1009610,-.60336143
-1.3401772,.91786559
-1.3524902,.93118383
-1.4801600,1.0594541
-1.0466741,-.50544155
-1.3574445,-.93648918
-.98831126,.37248551
-.93964835,-.20351812
-1.1607629,.69544855
-1.2824048,.85260343
-1.0820748,-.57120271
-1.0066621,-.41886416
-2.0234876,1.4863035
-.92945303,-.14501377
-.93454180,-.17665369
-.92709305,-.12770681
-1.1795623,-.72197480
-.91991777,-.44254610E-01
-1.2700191,-.83795060
-3.7165321,2.3654148
-2.6402099,1.8554090
-.93228579,.16338458
-1.4234242,-1.0044756
-1.3941346,.97488053
-1.9691559,-1.4492877
-1.3121330,.88678568
-1.7527923,1.2913975
-.92089775,.62597467E-01
-1.1315750,.65212951
-1.2896676,-.86107958
-1.9984521,1.4693628
-.98271594,-.35714818
-3.5099618,-2.2764109
-1.7881854,-1.3185195
-1.1739964,.71422386
-1.0435025,.49912724
-1.4925383,-1.0710741
-1.4837778,-1.0628634
-1.4809233,1.0601743
-.99145905,.38084252
-1.0711799,.55179957
-1.0691769,-.54815750
-.96772154,-.31235560
-.95074784,.25222731
-.95246575,.25894872
-.95045673,.25107050
-1.0643481,.53927658
-3.9224064,-2.4509051
-.92413627,.10195824
-1.0643882,.53935084
-.92130890,-.68852964E-01
-2.1212121,1.5506602
-1.6569423,-1.2149105
-.92939641,-.14462277
-1.2436307,.80584389
-.92028635,.51919397E-01
-1.6084252,-1.1742970
-.96321806,-.29758874
-1.0820309,.57112588
-1.8409492,1.3579475
-1.2868650,.85781875
-1.3895300,.97014579
-.94771809,.23991480
-2.0069048,1.4751043
-1.0279003,.46682278
-3.3703201,-2.2142184
-1.1313985,.65185879
-.92736986,.12985631
-1.4802115,1.0595026
-.91955660,-.35158657E-01
-.91904985,-.14921162E-01
-.93090380,-.15469497
-1.0874616,.58055674
-3.0249958,2.0523437
-.99158578,-.38117514
-1.4576398,-1.0379800
-1.0047662,-.41431297
-.91993758,.44700129E-01
-1.3703251,.95014370
-.92225485,.81441013E-01
-1.3632999,-.94272091
-.93833145,.19694120
-1.5528861,1.1260085
-1.5097132,-1.0869910
-.91949297,-.33299709E-01
-.94175468,-.21361719
-1.0487653,-.50956202
-2.3258511,1.6774460
-2.8544770,1.9675053
-.99974903,-.40202113
-1.2288668,.78730970
-.95469260,-.26741003
-.98670475,.36814729
-.94127545,-.21136187
-1.1482223,-.67717617
-2.5424187,1.8019324
-2.5630559,1.8133490
-1.7976940,-1.3257115
-1.5156745,1.0924614
-1.3880988,-.96866948
-1.6421067,-1.2026372
-1.1469776,-.67533550
-.92030710,-.52317617E-01
-.92438857,.10440345
-.92283193,-.88242822E-01
-1.3908322,-.97148715
-1.8161418,-1.3395546
-1.0417471,-.49559769
-1.0896441,.58430396
-.95105794,-.25345376
-1.1491632,-.67856424
-3.2457796,2.1572395
-2.6070409,1.8374451
-.97982793,.34896818
-.92350465,-.95562706E-01
-.95474289,.26759804
-1.1114668,.62052920
-1.1272276,.64542866
-2.1513498,-1.5699753
-.91918901,-.22382098E-01
-.93151128,.15857332
-.91948447,-.33043368E-01
-1.0895721,-.58418080
-1.1570443,-.69008087
-1.9299966,1.4220113
-.96318466,.29747649
-.93757292,-.19305121
-1.1989664,.74836867
-1.1972823,-.74611499
-1.3618883,-.94122235
-.96257187,.29540935
-1.6040904,1.1705997
-1.0882352,.58188772
-.92054663,-.56711535E-01
-.92083446,-.61578040E-01
-1.6394055,-1.2003891
-1.1239329,.64030355
-.94508285,.22866707
-1.3989408,-.97979821
-.93948279,-.20270301
-1.7992522,-1.3268863
-.96837701,.31444707
-3.8199159,2.4087247
-1.5752883,1.1457310
-.96470177,.30253343
-1.0968207,.59645983
-.97072597,.32183051
-.94405570,.22413015
-1.5469649,1.1207376
-1.3795973,.95985292
-1.4478060,1.0284624
-1.2971908,-.86977268
-1.2993732,-.87227823
-.91901677,-.12509167E-01
-.94052826,.20779667
-.93147039,.15831524
-3.0531021,-2.0659930
-1.8448651,1.3608281
-.97904582,-.34671974
-1.1143903,-.62522277
-3.4378243,2.2444981
-1.1878056,.73330352
-.92926532,.14371354
-1.1965165,-.74508786
-1.5796007,1.1494887
-1.2882740,-.85945972
-1.0027015,-.40929921
-1.0880093,.58149943
-2.0743932,-1.5201675
-.98575830,.36556741
-1.4321665,1.0131416
-1.0142772,-.43666613
-1.4401065,1.0209486
-1.0993871,.60074714
-.92916046,-.14298202
-1.5509809,1.1243152
-1.3012748,-.87445558
-3.5106537,2.2767148
-1.0870910,.57991804
-1.5393423,-1.1139154
-.93059671,-.15269690
-1.2294839,-.78809311
-.92101561,.64452760E-01
-.92359207,-.96473191E-01
-3.1828452,2.1278659
-1.5106041,-1.0878102
-1.2883725,-.85957429
-1.1489880,-.67830593
-1.1929070,-.74022760
-.98177358,-.35449979
-1.1142271,-.62496163
-.95973788,-.28565485
-2.2702757,-1.6439812
-.95968239,.28546053
-.91988442,.43494455E-01
-3.1398848,-2.1075798
-1.1466567,-.67486025
-1.1865994,-.73165688
-1.4177413,-.99880205
-1.1348659,.65715650
-.91999476,.45961403E-01
-1.4176885,-.99874920
-1.0613550,.53369739
-.92733919,.12961989
-.92007974,-.47774612E-01
-.95557181,-.27067796
-3.3909413,-2.2235120
-.92265077,.86165385E-01
-2.4723380,-1.7626114
-1.1053115,-.61052916
-3.0179683,-2.0489167
-.96039659,.28795158
-1.4805277,1.0598010
-1.0795688,.56679856
-1.4489169,1.0295420
-.91893882,.76336643E-03
-1.1477390,.67646206
-2.6312457,1.8505714
-1.0407900,.49366273
-1.1989304,-.74832057
-1.1551246,-.68729337
-1.1100743,.61828116
-1.5549373,-1.1278287
-1.3385716,.91611465
-.91894728,-.41824322E-02
-1.0536986,-.51915332
-1.9821213,-1.4582063
-1.0945388,.59262179
