NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,505,.50154043,.50154043,.50000191E-01,.50000191E-01,.94010260
2000,990,.49748458,.49342872,.14999866E-01,.65000057E-01,.59156618
3000,1502,.50260640,.51285004,.25000095E-01,.90000153E-01,.50920193
4000,2023,.50323453,.50511892,.14999866E-01,.10500002,.41403122
5000,2530,.50402532,.50718849,.99999905E-02,.11500001,.33954548
6000,3058,.50570360,.51409501,.15000105E-01,.13000011,.29511471
7000,3588,.50929904,.53087164,.99999905E-02,.14000010,.25018971
8000,4116,.50995442,.51454210,.20999908E-01,.16100001,.23015648
9000,4630,.50995185,.50993130,.19000053E-01,.18000007,.20876898
10000,5140,.50953379,.50577122,.15000105E-01,.19500017,.18437759
11000,5669,.50998527,.51450008,.14999866E-01,.21000004,.16043573
12000,6188,.51146207,.52770684,.99999905E-02,.22000003,.13552684
13000,6722,.51383656,.54233041,.19999981E-01,.24000001,.11703660
14000,7249,.51430496,.52039421,.19999981E-01,.25999999,.98670158E-01
15000,7771,.51502394,.52508961,.15000105E-01,.27500010,.78879837E-01
16000,8299,.51512479,.51663754,.15000105E-01,.29000020,.59439733E-01
17000,8835,.51584236,.52732358,.99999905E-02,.30000019,.39558599E-01
18000,9349,.51546546,.50905814,.19999981E-01,.32000017,.22282609E-01
19000,9850,.51492795,.50525280,.14999866E-01,.33500004,.51015234E-02
19286,10000,.51490600,.51344765,.50001144E-02,.34000015,.0000000
