ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1
1,0,1.0000000,.0000000,1,1,-.91893853,.0000000
1,0,.34825944,.0000000,1,2,-4.0252810,2.4925258
1,0,.47728625,.19787702,1,2,-.93917364,-.20117208
1,0,.44144525,.10173165,1,3,-.94133118,.21162534
1,0,.48256802,.0000000,1,2,-.99963568,.40173909
1,0,.52902739,.0000000,1,1,-1.0060350,.41736430
1,0,.46281724,.69340749E-01,1,4,-.95593261,-.27200765
1,0,.49639116,.51756982E-01,1,1,-.91901342,-.12238271E-01
1,0,.49942600,.0000000,1,1,-1.5205238,1.0968913
1,0,.49817879,.0000000,1,2,-1.5457002,-1.1196086
1,0,.45262897,.87837224E-02,1,5,-1.6005432,-1.1675656
1,0,.43486707,.31909915E-01,1,5,-1.6810495,1.2345939
1,0,.45370483,.0000000,1,1,-.97873983,.34583608
1,0,.45662742,.25123888E-01,1,2,-.95812943,.27996747
1,0,.45829345,.0000000,1,1,-1.6283295,1.1911263
1,0,.47207153,.0000000,1,1,-1.7044027,1.2533668
1,0,.45920708,.0000000,1,1,-5.5295253,3.0366385
1,0,.47422911,.16968440E-02,1,1,-2.3180463,1.6727867
1,0,.48221660,.0000000,1,1,-2.5797145,-1.8225125
1,0,.48451558,.0000000,1,2,-2.2148920,-1.6099401
1,0,.49740269,.68247145E-02,1,1,-1.6186466,-1.1829692
1,0,.50966116,.0000000,1,1,-1.3039478,-.87750704
1,0,.51203888,.0000000,1,2,-1.0320153,.47555596
1,0,.52412802,.13229518E-01,1,4,-1.1111022,.61994147
1,0,.50405498,.17941779E-01,1,5,-.92453643,-.10581014
1,0,.50573179,.0000000,1,2,-.91909305,-.17579126E-01
1,0,.50635756,.34362369E-01,1,2,-.98810493,-.37193118
1,0,.51501796,.0000000,1,1,-.92008349,.47853103E-01
1,0,.51518859,.0000000,1,2,-.92138933,-.70011342E-01
1,0,.51901308,.16136197E-01,1,2,-.91895011,.48127262E-02
1,0,.51123384,.0000000,1,1,-4.2239283,2.5709881
1,0,.51088548,.69323350E-02,1,2,-1.2438028,.80605734
1,0,.50286691,.0000000,1,2,-2.0588748,1.5099247
1,0,.51028680,.0000000,1,1,-1.2013467,.75154267
1,0,.51748847,.28448648E-02,1,1,-.93715710,-.19088514
1,0,.52304076,.0000000,1,1,-1.0418545,-.49581447
1,0,.52941857,.0000000,1,2,-.91919061,.22453404E-01
1,0,.53234370,.95471061E-02,1,2,-1.3031766,-.87662770
1,0,.53719982,.0000000,1,1,-1.4178065,-.99886735
1,0,.54337048,.0000000,1,1,-1.0333696,.47839529
1,0,.54097546,.45879334E-02,1,3,-.92239085,-.83094184E-01
1,0,.54161804,.12003051E-01,1,2,-.92703020,-.12721371
1,0,.53815506,.0000000,1,3,-.91912742,.19436324E-01
1,0,.53269972,.68015145E-02,1,2,-1.4974819,-1.0756797
1,0,.53813344,.0000000,1,1,-.94770183,.23984701
1,0,.54027591,.77831656E-03,1,2,-1.2091875,.76190418
1,0,.53345477,.0000000,1,3,-.92990600,.14810446
1,0,.53256353,.63208217E-02,1,1,-1.7251726,1.2698300
1,0,.54000981,.0000000,1,2,-1.1608219,-.69553337
1,0,.54075818,.45354039E-02,1,2,-1.0057384,.41665299
1,0,.54615902,.0000000,1,2,-1.0771520,-.56251837
1,0,.54538544,.84275736E-02,1,2,-.94102764,-.21018614
1,0,.54205815,.0000000,1,1,-2.5048770,-1.7809764
1,0,.53966854,.48060986E-03,1,6,-.96005943,-.28677830
1,0,.53919940,.52268369E-02,1,1,-1.6754513,-1.2300510
1,0,.53995486,.0000000,1,1,-2.1509987,-1.5697517
1,0,.54413709,.0000000,1,1,-1.2374376,-.79812159
1,0,.54808685,.0000000,1,1,-1.2550305,-.81986819
1,0,.55086516,.64143212E-02,1,1,-1.4067167,.98770251
1,0,.54998181,.0000000,1,2,-.92241924,-.83435108E-01
1,0,.54803551,.71567702E-02,1,4,-1.0865462,-.57897788
1,0,.55108888,.0000000,1,1,-1.1793353,.72166022
1,0,.53550501,.95879505E-02,1,4,-3.0145354,2.0472405
1,0,.53925094,.97402833E-03,1,1,-2.6125169,1.8404230
1,0,.54293693,.0000000,1,1,-1.2689854,.83671610
1,0,.54399297,.0000000,1,2,-1.0846698,-.57572791
1,0,.53844493,.53476541E-02,1,2,-2.6069900,-1.8374175
1,0,.53788963,.0000000,1,2,-1.4705988,-1.0503906
1,0,.53668972,.50230248E-03,1,1,-2.4394925,-1.7438772
1,0,.53615398,.0000000,1,2,-2.1623859,-1.5769892
1,0,.53798207,.0000000,1,1,-2.4070779,-1.7251895
1,0,.54137926,.10912914E-02,1,1,-2.1871213,-1.5925971
1,0,.54472685,.0000000,1,1,-1.6452639,-1.2052596
1,0,.53515201,.11226804E-02,1,3,-2.8719980,-1.9763904
1,0,.53857552,.0000000,1,2,-1.3294114,.90606051
1,0,.54180226,.0000000,1,1,-1.2249020,-.78225760
1,0,.53940924,.56766194E-02,1,1,-2.8484028,1.9644156
1,0,.54258573,.0000000,1,1,-.92101916,-.64507768E-01
1,0,.54336854,.0000000,1,1,-1.3412791,.91906532
1,0,.54444909,.0000000,1,1,-1.6948019,1.2456833
1,0,.54773936,.28749331E-02,1,2,-.93868485,.19872754
1,0,.54950331,.0000000,1,1,-1.1465312,-.67467426
1,0,.55196117,.50032049E-02,1,3,-1.0423247,-.49676184
1,0,.54945749,.32284045E-02,1,3,-1.1460866,.67401493
1,0,.54895199,.0000000,1,2,-1.3018340,.87509478
1,0,.55040005,.0000000,1,1,-1.5513299,1.1246256
1,0,.55321005,.44067983E-02,1,1,-1.0825135,.57197019
1,0,.55339012,.0000000,1,2,-.97424111,.33257355
1,0,.54535577,.46479315E-03,1,3,-2.1230121,1.5518206
1,0,.54809459,.0000000,1,1,-1.6732893,1.2282921
1,0,.55080061,.0000000,1,1,-1.1529635,.68414173
1,0,.55286520,.35288829E-02,1,1,-1.2609374,-.82704155
1,0,.54455981,.0000000,1,3,-2.9911168,-2.0357693
1,0,.54499384,.21417785E-02,1,2,-1.4571084,-1.0374679
1,0,.54760882,.0000000,1,1,-1.4486626,-1.0292950
1,0,.54769681,.19483525E-03,1,2,-1.0355617,.48295579
1,0,.55000996,.0000000,1,2,-1.4193955,-1.0004569
1,0,.55148666,.0000000,1,1,-1.6247727,-1.1881365
1,0,.54424449,.35419282E-02,1,5,-1.1219797,-.63724589
1,0,.54670804,.0000000,1,1,-1.1018805,-.60488348
1,0,.54469626,.0000000,1,1,-2.8591364,-1.9698720
1,0,.54713104,.0000000,1,1,-1.9582577,1.4417484
1,0,.54953992,.11147495E-01,1,1,-1.9152455,1.4115998
1,0,.54920115,.0000000,1,2,-1.5134336,1.0904082
1,0,.55156135,.0000000,1,1,-1.0659891,.54231099
1,0,.54793812,.14664771E-02,1,2,-2.5128977,1.7854742
1,0,.54683196,.0000000,1,1,-3.6114814,2.3205787
1,0,.54650727,.14033557E-02,1,2,-2.9600109,2.0204318
1,0,.54749573,.0000000,1,1,-3.2594495,2.1635669
1,0,.54453206,.61857217E-03,1,3,-1.4964470,1.0747171
1,0,.54679807,.0000000,1,1,-1.2457658,.80848906
1,0,.54986749,.0000000,1,2,-1.2593786,.82515456
1,0,.55207402,.22845442E-02,1,1,-.99690491,-.39488321
1,0,.55030692,.0000000,1,3,-.95167965,.25589498
1,0,.55046239,.37785800E-02,1,2,-1.4029685,.98390036
1,0,.55260304,.0000000,1,1,-1.1187828,.63220931
1,0,.55193284,.38273716E-02,1,2,-1.2442834,.80665338
1,0,.55403644,.0000000,1,1,-1.0943472,.59229842
1,0,.55085376,.0000000,1,2,-2.0927799,1.5322150
1,0,.54860593,.35678674E-02,1,1,-4.8212020,2.7936583
1,0,.54392800,.0000000,1,3,-5.5710563,3.0502845
1,0,.54600105,.12334833E-01,1,1,-1.0071928,.42012914
1,0,.54118827,.0000000,1,5,-.98032612,.35039288
1,0,.54321841,.0000000,1,1,-.94763815,.23958139
1,0,.54239496,.60110147E-02,1,2,-1.1397266,-.66451190
1,0,.54417594,.0000000,1,1,-1.1907689,.73733357
1,0,.54610624,.0000000,1,1,-1.2026944,.75333376
1,0,.54754128,.0000000,1,1,-1.3332588,.91029695
1,0,.54908861,.35932079E-02,1,1,-1.4313979,1.0123827
1,0,.55102385,.0000000,1,1,-1.2238226,-.78087651
1,0,.55266315,.0000000,1,1,-1.2914399,.86313538
1,0,.55304932,.12862451E-02,1,2,-.98817471,-.37211874
1,0,.55309698,.0000000,1,1,-1.5602679,-1.1325452
1,0,.55497472,.0000000,1,1,-1.0164652,.44164837
1,0,.55683675,.0000000,1,1,-.94021486,-.20628292
1,0,.55854360,.15943079E-02,1,1,-.97430824,-.33277532
1,0,.56059748,.0000000,1,3,-.92911738,-.14268042
1,0,.56129762,.28698746E-02,1,1,-1.2418672,.80365251
1,0,.56308824,.0000000,1,1,-.92046398,.55234826E-01
1,0,.56284815,.0000000,1,1,-1.6055948,-1.1718842
1,0,.56041546,.13759536E-02,1,2,-2.2708011,-1.6443008
1,0,.56218086,.0000000,1,1,-1.9666102,-1.4475301
1,0,.56393214,.0000000,1,1,-1.4269526,-1.0079822
1,0,.56364420,.0000000,1,1,-2.1369187,-1.5607563
1,0,.56126723,.36408090E-02,1,4,-1.2883901,.85959478
1,0,.56298103,.20604118E-02,1,1,-.95264134,-.25962593
1,0,.56426514,.0000000,1,2,-.99123740,-.38026008
1,0,.56342585,.0000000,1,1,-2.0499868,-1.5040268
1,0,.56508105,.13450896E-02,1,2,-1.3647425,-.94424995
1,0,.56674104,.0000000,1,1,-1.2921986,.86401396
