NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,505,.50154043,.50154043,.46999931E-01,.46999931E-01,.88369178
2000,990,.49748458,.49342872,.14000177E-01,.61000109E-01,.55516261
3000,1502,.50260640,.51285004,.69999695E-02,.68000078E-01,.38473014
4000,2023,.50323453,.50511892,.19999981E-01,.88000059E-01,.34699776
5000,2530,.50402532,.50718849,.19000053E-01,.10700011,.31592523
6000,3058,.50570360,.51409501,.19999981E-01,.12700009,.28830433
7000,3588,.50929904,.53087164,.17999887E-01,.14499998,.25912483
8000,4116,.50995442,.51454210,.11000156E-01,.15600014,.22300894
9000,4630,.50995185,.50993130,.11999846E-01,.16799998,.19485095
10000,5140,.50953379,.50577122,.19999981E-01,.18799996,.17775872
11000,5669,.50998527,.51450008,.19000053E-01,.20700002,.15814378
12000,6188,.51146207,.52770684,.90000629E-02,.21600008,.13306275
13000,6722,.51383656,.54233041,.20999908E-01,.23699999,.11557363
14000,7249,.51430496,.52039421,.90000629E-02,.24600005,.93357172E-01
15000,7771,.51502394,.52508961,.20999908E-01,.26699996,.76585113E-01
16000,8299,.51512479,.51663754,.99999905E-02,.27699995,.56775143E-01
17000,8835,.51584236,.52732358,.18000126E-01,.29500008,.38899274E-01
18000,9349,.51546546,.50905814,.11999846E-01,.30699992,.21377361E-01
19000,9850,.51492795,.50525280,.14000177E-01,.32100010,.48883264E-02
19286,10000,.51490600,.51344765,.69999695E-02,.32800007,.0000000
