SampleLogFunc,SampleVariable1
-.93917364,-.20117208
-.94133118,.21162534
-.95888695,-.28266027
-.91903301,-.13745877E-01
-1.6588139,-1.2164501
-1.6588139,-1.2164501
-1.8280596,1.3484221
-.96619653,.30743454
-6.4550695,3.3275008
-2.5368876,-1.7988603
-1.0493205,.51065044
-1.1437778,.67058082
-.92851181,-.13837105
-.91973077,-.39805394E-01
-.92373030,-.97895507E-01
-5.0037589,2.8582583
-2.3302745,1.6800809
-.91894451,-.34581465E-02
-1.6014898,-1.1683760
-.92636445,-.12186806
-.91894693,-.40990338E-02
-1.7150339,-1.2618204
-.92916831,.14303688
-.92916831,.14303688
-1.4364570,-1.0173677
-3.8383965,-2.4163849
-1.1558851,-.68839892
-1.4143212,-.99537192
-1.0526367,-.51710370
-2.4283847,-1.7374960
-1.7610851,1.2978032
-1.4757677,1.0553001
-2.4403384,-1.7443623
-1.2703230,-.83831312
-2.2234558,-1.6152506
-2.7254920,-1.9008175
-1.0678742,-.54577598
-1.3590449,.93819654
-.91999140,-.45888309E-01
-.91999140,-.45888309E-01
-2.1541715,1.5717716
-1.3717518,.95164409
-1.0868347,.57947594
-2.5117998,-1.7848593
-1.1152277,-.62656072
-2.7484856,-1.9128759
-1.5956911,1.1634024
-1.6402122,1.2010609
-1.2292499,-.78779609
-1.0689934,.54782277
-1.3965770,.97738266
-1.0710203,-.55151022
-1.6050563,-1.1714246
-.98034462,-.35044568
-1.0705770,-.55070591
-2.3506732,1.6921789
-1.3992634,-.98012737
-1.0533941,.51856636
-1.1104199,-.61883989
-1.7320111,1.2752040
-.96134902,-.29124040
-.92427611,-.10332064
-.91942020,-.31037717E-01
-2.4276097,-1.7370499
-2.2672691,-1.6421514
-1.5318140,1.1071363
-.96569243,-.30579046
-.94386311,-.22326925
-.99775431,-.39702841
-.99775431,-.39702841
-1.4170093,.99806894
-.93804442,.19547831
-.94861344,.24361818
-.94677185,-.23593778
-1.2578377,-.82328509
-.95992819,.28632028
-1.2950537,.86731210
-.91969162,-.38809385E-01
-.91969162,-.38809385E-01
-2.8874256,-1.9841810
-1.2859907,.85679894
-1.3898532,-.97047895
-1.4134312,-.99447746
-1.0035146,-.41128117
-1.0079824,-.42200451
-1.0266129,-.46405674
-1.6551395,-1.2134257
-.93675519,.18876789
-1.4660034,-1.0460066
-.91899476,-.10604792E-01
