ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
2,0,1.0000000,.0000000,1,1,-2493.5350,6.6453160,-19.633861,-18.075483,21.621228
2,0,.66666667,.0000000,1,2,-2374.5597,5.6048872,-20.219068,-18.886638,19.333831
2,0,.60000000,.0000000,2,2,-2172.4870,7.0653441,-21.715248,-19.045023,17.954466
2,0,.57142857,.0000000,3,2,-2125.8030,7.3451271,-23.944781,-20.794951,15.691990
2,0,.62500000,.0000000,4,1,-1980.6221,7.1510369,-23.684414,-19.374185,15.305675
2,0,.60001024,.0000000,5,2,-1959.9707,7.3106250,-24.813561,-19.948605,14.221262
2,0,.63637295,.0000000,6,1,-1826.4886,5.8762228,-23.550801,-18.642200,13.564953
2,0,.66667520,.0000000,7,1,-1685.8113,4.5026320,-24.544503,-16.795253,13.010729
2,0,.64286446,.0000000,8,2,-1653.9019,3.9683257,-23.849753,-16.332284,13.133150
2,0,.66667349,.0000000,9,1,-1523.2056,4.2913013,-22.708004,-16.498235,10.231457
2,0,.42308698,.84670446,10,11,-1466.0469,4.9570766,-22.515013,-15.716928,9.5452237
2,0,.44445413,.0000000,11,1,-1376.1387,3.9180745,-22.060573,-15.224112,7.9359917
2,0,.43334205,.0000000,12,3,-1315.5971,3.7170119,-21.702799,-14.262554,7.2500556
2,0,.40000748,.0000000,13,5,-1287.4971,3.9213152,-21.129020,-14.387793,6.2722150
2,0,.41667393,.0000000,14,1,-1160.5885,2.6148641,-20.133408,-12.661035,4.0994822
2,0,.43243950,.0000000,15,1,-1061.8151,1.8916973,-18.688694,-10.931139,1.8868603
2,0,.44737531,.0000000,16,1,-942.73882,.28061494,-17.124393,-10.255752,2.7721269
2,0,.44189870,.0000000,17,3,-863.40987,-.59837997,-15.664324,-8.4342884,-1.1033812
2,0,.45518683,.0000000,18,1,-710.14395,-2.4611673,-13.697142,-6.0304040,.11215670
2,0,.39446759,.77068337,19,9,-704.27744,-1.8154694,-13.093583,-6.6605612,.85193174
