SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
-2.9648567,-9.7606492,14.748941,20.348948,.79435047
-5.0030789,-9.8991614,16.212488,20.942809,.83969892
-5.0030789,-9.8991614,16.212488,20.942809,.83969892
-5.5499769,-10.267551,16.895229,20.888398,-.44249365
-6.8899471,-8.1360098,15.323279,18.018378,-.30683554
-4.8846985,-11.306499,13.611985,19.010380,-1.1981218
-5.5014778,-8.0351302,15.462408,20.124461,1.4069692
-5.5014778,-8.0351302,15.462408,20.124461,1.4069692
-7.9860587,-7.5669123,16.917140,21.365803,1.6196257
-7.9860587,-7.5669123,16.917140,21.365803,1.6196257
-5.1567316,-9.9176626,16.701004,20.866712,-1.0215162
-3.5323889,-9.9979609,14.988106,21.066759,.92588065
-3.5323889,-9.9979609,14.988106,21.066759,.92588065
-3.5323889,-9.9979609,14.988106,21.066759,.92588065
-6.2054356,-8.1542430,16.721451,20.644994,1.1833425
-4.3246223,-8.4562405,16.262720,19.178101,-.96237486
-4.9673405,-11.689073,13.126823,19.682026,-.20719249
-4.5737650,-11.734218,13.996464,20.975226,.96622774
-4.5737650,-11.734218,13.996464,20.975226,.96622774
-3.9444968,-10.586117,13.362850,19.421620,.43848206
-4.4585697,-10.868673,14.438520,20.511922,-.34956138
-6.1898737,-7.6797999,15.970931,19.375506,-.47441939
-5.1534198,-9.1828576,15.412086,21.337411,1.2057345
-6.5487923,-9.3987017,16.926273,22.327646,1.5381612
-3.3240148,-9.2170910,15.447074,19.901919,.48838512
-5.1787088,-8.3493315,15.840439,20.719137,1.5128104
-3.7178549,-10.185420,14.320932,20.802821,1.1258217
-3.7497428,-10.401741,14.160054,20.792880,1.3794471
-4.4776424,-10.252896,14.821506,19.730634,-1.1655367
-4.4776424,-10.252896,14.821506,19.730634,-1.1655367
-5.0570054,-9.3823817,14.601149,19.506064,1.1357259
-5.6160964,-8.7904199,14.831413,17.617771,-1.6389726
-3.4298009,-9.4389313,16.145222,19.894616,-.84318355
-3.4298009,-9.4389313,16.145222,19.894616,-.84318355
-3.4298009,-9.4389313,16.145222,19.894616,-.84318355
-3.3915264,-10.129521,14.022795,20.153382,.92962575
-3.3915264,-10.129521,14.022795,20.153382,.92962575
-3.3915264,-10.129521,14.022795,20.153382,.92962575
-5.2426760,-10.753258,12.790614,18.698359,-.70057573E-02
-4.2139099,-8.8377889,15.491148,19.266433,-.97350374
-4.2139099,-8.8377889,15.491148,19.266433,-.97350374
-8.3550447,-11.071009,16.724755,22.693979,1.3602593
-7.9593300,-11.749139,11.771374,19.603420,1.0685793
-3.5476316,-10.141701,16.034567,20.399182,-.26717621
-6.7136574,-10.241319,15.055164,21.624205,.49195780
-4.3054466,-11.575943,13.581646,20.521257,.50661886
-4.0093796,-9.9018310,16.441492,21.242812,.28016594
-3.4538547,-9.5201609,16.041349,20.352292,-.53184088
-4.7007404,-8.6428854,16.137058,20.467888,-.75522407E-01
-7.6389265,-9.3780971,14.954605,17.643286,-2.8871340
-4.8271989,-10.932682,14.020887,18.585293,-1.6055961
-6.3651889,-10.356960,15.991555,20.163479,.14582818
-3.9439894,-9.5404212,15.570945,21.287489,1.0321542
-3.5906929,-10.870637,14.502243,19.977150,-.70511633
-3.4428155,-10.022969,15.583584,20.011114,-.97041039
-4.3780141,-10.655039,15.655345,21.764763,.57527985
-3.2118539,-9.4495662,16.045540,20.424229,-.21516061
-4.5239584,-10.390946,15.520527,21.109276,1.1957922
-4.1528256,-9.8710257,13.775062,20.043524,1.3393139
-3.6257839,-9.9593719,16.232326,20.355611,-.44553909
-3.2009864,-9.6600260,15.342340,20.190734,.61468267
-6.2975180,-10.288620,14.076235,18.207416,-2.1646783
-3.2929091,-9.6914878,14.764982,19.930804,-.14009659
-4.0615910,-9.8206759,13.658622,19.468068,.91346498
-5.5068101,-10.204526,15.632400,18.589628,-2.1317364
-4.5122771,-10.853063,16.070790,20.494210,-.84552781
-5.1253625,-9.8855492,14.635137,18.055573,-2.0401234
-9.0107856,-8.8399752,16.686221,17.888694,-3.3318715
-6.0953198,-9.8180652,16.180945,21.893623,.39212427
-3.3838334,-10.781330,14.366429,20.007650,-.43728550
-3.3838334,-10.781330,14.366429,20.007650,-.43728550
-3.8068029,-10.652220,14.721204,21.139835,1.3736878
-6.0302703,-9.5955551,13.763370,20.234027,2.2351919
-6.5098304,-11.128793,12.470061,20.134475,1.2134295
-8.4524856,-7.0338833,15.117609,17.627854,-.71484711
-3.0322134,-10.036739,14.373170,20.001772,.24412286
-5.5242891,-10.241232,13.636448,19.368917,-.59182461
-4.6539971,-8.9535247,15.284254,20.924602,1.1869853
-4.5835302,-11.514242,14.224170,19.782438,-1.1146553
-4.0264738,-8.5799509,16.405541,20.315198,.19974533
-4.0264738,-8.5799509,16.405541,20.315198,.19974533
-3.0795972,-10.425186,14.958013,20.147753,.30375222
-4.0495049,-9.2889680,14.787145,18.353075,-.88891257
-10.233236,-6.1766193,16.115949,18.470345,-.13101456
-6.2503107,-8.1088116,15.056786,20.371717,1.4433354
-5.6304341,-11.857816,14.509641,19.908508,-1.5177465
-4.1945691,-8.4449295,16.421637,19.730503,-.54969645
