NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
1000,83,.80868960E-01,.80868960E-01,.16999960E-01,.16999960E-01,6.1275639
2000,133,.65348402E-01,.49827845E-01,.12000084E-01,.29000044E-01,6.5123632
3000,223,.74345499E-01,.92339692E-01,.10999918E-01,.39999962E-01,5.3411608
4000,353,.86924046E-01,.12465969,.12000084E-01,.52000046E-01,4.3672673
5000,490,.97537977E-01,.13999370,.36999941E-01,.88999987E-01,5.3599788
6000,631,.10551041,.14537257,.12000084E-01,.10100007,4.7009050
7000,806,.11518241,.17321444,.13000011E-01,.11400008,4.1291791
8000,949,.11962396,.15071477,.13000011E-01,.12700009,3.8877552
9000,1126,.12619954,.17880417,.13000011E-01,.14000010,3.5900205
10000,1306,.13226489,.18685312,.13999939E-01,.15400004,3.3835201
11000,1518,.13940458,.21080140,.13000011E-01,.16700006,3.1333963
12000,1697,.14446536,.20013395,.12000084E-01,.17900014,2.9854101
13000,1905,.14986213,.21462337,.11999846E-01,.19099998,2.8168738
14000,2162,.15669703,.24555079,.13999939E-01,.20499992,2.6395874
15000,2402,.16223775,.23980775,.13000011E-01,.21799994,2.5047303
16000,2662,.16769226,.24950998,.15000105E-01,.23300004,2.3928456
17000,2891,.17144476,.23148481,.13000011E-01,.24600005,2.3067504
18000,3125,.17514921,.23812481,.15000105E-01,.26100016,2.2446013
19000,3391,.17915026,.25116906,.13999939E-01,.27500010,2.1579114
20000,3648,.18311540,.25845309,.13999939E-01,.28900003,2.0876450
21000,3906,.18632455,.25050755,.16000032E-01,.30500007,2.0375504
22000,4145,.18889571,.24289019,.13999939E-01,.31900001,1.9898058
23000,4421,.19186274,.25713733,.16000032E-01,.33500004,1.9382416
24000,4679,.19468962,.25970782,.13999939E-01,.34899998,1.8886575
25000,4945,.19752111,.26547702,.15000105E-01,.36400008,1.8442916
26000,5203,.19964790,.25281766,.16000032E-01,.38000011,1.8110442
27000,5481,.20231185,.27157454,.16000032E-01,.39600015,1.7714883
28000,5708,.20350178,.23562981,.13999939E-01,.41000009,1.7448707
29000,5986,.20560169,.26439917,.16000032E-01,.42600012,1.7089821
30000,6275,.20814994,.28204915,.17999887E-01,.44400001,1.6787092
31000,6548,.21013635,.26972854,.15000105E-01,.45900011,1.6439326
32000,6836,.21235209,.28104028,.13999939E-01,.47300005,1.6027755
33000,7108,.21392951,.26440689,.16999960E-01,.49000001,1.5780923
34000,7364,.21532027,.26121539,.15000105E-01,.50500011,1.5523062
35000,7639,.21682238,.26789410,.13999939E-01,.51900005,1.5192251
36000,7894,.21817022,.26534455,.13999939E-01,.53299999,1.4925890
37000,8154,.21957771,.27024747,.15000105E-01,.54800010,1.4681886
38000,8414,.22094254,.27144097,.16000032E-01,.56400013,1.4469345
39000,8661,.22192963,.25943926,.14999866E-01,.57900000,1.4265421
40000,8940,.22340379,.28089597,.16000032E-01,.59500003,1.4016444
41000,9195,.22432817,.26130326,.16999960E-01,.61199999,1.3847373
42000,9479,.22555020,.27565373,.15000105E-01,.62700009,1.3573867
43000,9779,.22705864,.29041289,.14999866E-01,.64199996,1.3275265
44000,10071,.22852404,.29153623,.16999960E-01,.65899992,1.3040621
45000,10356,.22981627,.28667427,.14000177E-01,.67300010,1.2765946
46000,10636,.23111478,.28954771,.13999939E-01,.68700004,1.2507586
47000,10931,.23265263,.30339411,.15000105E-01,.70200014,1.2246309
48000,11225,.23388666,.29188570,.14999866E-01,.71700001,1.1992584
49000,11483,.23472510,.27497035,.16000032E-01,.73300004,1.1820049
